train_sub,test_sub,train_task,test_task,acc,frames
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.6600000000000001,50
MSC02,MSC06,mem,mem,0.75,50
MSC02,MSC07,mem,mem,0.685,50
MSC05,MSC02,mem,mem,0.7449999999999999,50
MSC05,MSC06,mem,mem,0.6,50
MSC05,MSC07,mem,mem,0.55,50
MSC06,MSC02,mem,mem,0.77,50
MSC06,MSC05,mem,mem,0.6199999999999999,50
MSC06,MSC07,mem,mem,0.7050000000000002,50
MSC07,MSC02,mem,mem,0.575,50
MSC07,MSC05,mem,mem,0.74,50
MSC07,MSC06,mem,mem,0.65,50
MSC02,MSC05,mem,mem,0.655,51
MSC02,MSC06,mem,mem,0.7500000000000001,51
MSC02,MSC07,mem,mem,0.6500000000000001,51
MSC05,MSC02,mem,mem,0.755,51
MSC05,MSC06,mem,mem,0.6249999999999999,51
MSC05,MSC07,mem,mem,0.5449999999999999,51
MSC06,MSC02,mem,mem,0.775,51
MSC06,MSC05,mem,mem,0.62,51
MSC06,MSC07,mem,mem,0.685,51
MSC07,MSC02,mem,mem,0.5649999999999998,51
MSC07,MSC05,mem,mem,0.7300000000000001,51
MSC07,MSC06,mem,mem,0.66,51
MSC02,MSC05,mem,mem,0.655,51
MSC02,MSC06,mem,mem,0.7500000000000001,51
MSC02,MSC07,mem,mem,0.6500000000000001,51
MSC05,MSC02,mem,mem,0.755,51
MSC05,MSC06,mem,mem,0.6249999999999999,51
MSC05,MSC07,mem,mem,0.5449999999999999,51
MSC06,MSC02,mem,mem,0.775,51
MSC06,MSC05,mem,mem,0.62,51
MSC06,MSC07,mem,mem,0.685,51
MSC07,MSC02,mem,mem,0.5649999999999998,51
MSC07,MSC05,mem,mem,0.7300000000000001,51
MSC07,MSC06,mem,mem,0.66,51
MSC02,MSC05,mem,mem,0.655,51
MSC02,MSC06,mem,mem,0.7500000000000001,51
MSC02,MSC07,mem,mem,0.6500000000000001,51
MSC05,MSC02,mem,mem,0.755,51
MSC05,MSC06,mem,mem,0.6249999999999999,51
MSC05,MSC07,mem,mem,0.5449999999999999,51
MSC06,MSC02,mem,mem,0.775,51
