train,task,same_sub,diff_sub
MSC01,glass,0.5172661870503596,0.5172661870503596
MSC02,glass,0.481294964028777,0.481294964028777
MSC03,glass,0.5021582733812949,0.5021582733812949
MSC04,glass,0.49424460431654677,0.49424460431654677
MSC05,glass,0.5482014388489208,0.5482014388489208
MSC06,glass,0.4952380952380952,0.4952380952380952
MSC07,glass,0.4870503597122302,0.4870503597122302
MSC10,glass,0.47553956834532374,0.47553956834532374
MSC01,semantic,0.5142857142857142,0.5142857142857142
MSC02,semantic,0.46714285714285714,0.46714285714285714
MSC03,semantic,0.5242857142857142,0.5242857142857142
MSC04,semantic,0.45999999999999996,0.45999999999999996
MSC05,semantic,0.49714285714285716,0.49714285714285716
MSC06,semantic,0.5007142857142858,0.5007142857142858
MSC07,semantic,0.5064285714285715,0.5064285714285715
MSC10,semantic,0.5128571428571429,0.5128571428571429
MSC01,motor,0.43043478260869567,0.43043478260869567
MSC02,motor,0.48985507246376814,0.48985507246376814
MSC03,motor,0.4826086956521739,0.4826086956521739
MSC04,motor,0.5079710144927536,0.5079710144927536
MSC05,motor,0.486231884057971,0.486231884057971
MSC06,motor,0.5075939248601119,0.5075939248601119
MSC07,motor,0.4292565947242206,0.4292565947242206
MSC10,motor,0.5869565217391305,0.5869565217391305
MSC01,mem,0.5007246376811594,0.5007246376811594
MSC02,mem,0.4934782608695652,0.4934782608695652
MSC03,mem,0.48660714285714285,0.48660714285714285
MSC04,mem,0.43985507246376815,0.43985507246376815
MSC05,mem,0.4971014492753623,0.4971014492753623
MSC06,mem,0.48043478260869565,0.48043478260869565
MSC07,mem,0.5021739130434782,0.5021739130434782
MSC10,mem,0.5579710144927537,0.5579710144927537
MSC01,glass,0.4964028776978417,0.4964028776978417
MSC02,glass,0.4748201438848921,0.4748201438848921
MSC03,glass,0.5474820143884892,0.5474820143884892
MSC04,glass,0.5215827338129496,0.5215827338129496
MSC05,glass,0.48201438848920863,0.48201438848920863
MSC06,glass,0.49682539682539684,0.49682539682539684
MSC07,glass,0.4784172661870503,0.4784172661870503
MSC10,glass,0.5381294964028777,0.5381294964028777
MSC01,semantic,0.5071428571428571,0.5071428571428571
MSC02,semantic,0.5178571428571429,0.5178571428571429
MSC03,semantic,0.4707142857142857,0.4707142857142857
MSC04,semantic,0.5,0.5
MSC05,semantic,0.4857142857142857,0.4857142857142857
MSC06,semantic,0.45285714285714285,0.45285714285714285
MSC07,semantic,0.5192857142857142,0.5192857142857142
MSC10,semantic,0.4492857142857143,0.4492857142857143
MSC01,motor,0.47391304347826085,0.47391304347826085
MSC02,motor,0.513768115942029,0.513768115942029
MSC03,motor,0.4753623188405797,0.4753623188405797
MSC04,motor,0.5376811594202898,0.5376811594202898
MSC05,motor,0.4811594202898551,0.4811594202898551
MSC06,motor,0.5139888089528377,0.5139888089528377
MSC07,motor,0.44764188649080733,0.44764188649080733
MSC10,motor,0.5007246376811594,0.5007246376811594
