train_task,test_task,sub,diff
glass,semantic,MSC01,0.6
glass,motor,MSC01,0.3
glass,mem,MSC01,0.5
semantic,glass,MSC01,0.7
semantic,motor,MSC01,0.6
semantic,mem,MSC01,0.6
motor,glass,MSC01,0.4
motor,semantic,MSC01,0.3
motor,mem,MSC01,0.5
mem,glass,MSC01,0.8
mem,semantic,MSC01,0.9
mem,motor,MSC01,0.5
glass,semantic,MSC02,0.6
glass,motor,MSC02,0.7
glass,mem,MSC02,0.8
semantic,glass,MSC02,0.7
semantic,motor,MSC02,0.4
semantic,mem,MSC02,0.7
motor,glass,MSC02,0.6
motor,semantic,MSC02,0.8
motor,mem,MSC02,0.5
mem,glass,MSC02,0.9
mem,semantic,MSC02,0.3
mem,motor,MSC02,0.4
glass,semantic,MSC03,0.125
glass,motor,MSC03,0.75
glass,mem,MSC03,0.25
semantic,glass,MSC03,0.0
semantic,motor,MSC03,0.75
semantic,mem,MSC03,0.625
motor,glass,MSC03,0.875
motor,semantic,MSC03,0.5
motor,mem,MSC03,0.75
mem,glass,MSC03,0.25
mem,semantic,MSC03,0.75
mem,motor,MSC03,0.0
glass,semantic,MSC04,0.0
glass,motor,MSC04,0.6
glass,mem,MSC04,0.5
semantic,glass,MSC04,0.6
semantic,motor,MSC04,0.3
semantic,mem,MSC04,0.6
motor,glass,MSC04,0.6
motor,semantic,MSC04,0.7
motor,mem,MSC04,0.6
mem,glass,MSC04,0.6
mem,semantic,MSC04,0.9
mem,motor,MSC04,0.4
glass,semantic,MSC05,0.6
glass,motor,MSC05,0.6
glass,mem,MSC05,0.3
semantic,glass,MSC05,0.2
semantic,motor,MSC05,0.7
semantic,mem,MSC05,0.6
motor,glass,MSC05,0.2
motor,semantic,MSC05,0.0
motor,mem,MSC05,0.3
mem,glass,MSC05,0.4
mem,semantic,MSC05,0.2
mem,motor,MSC05,1.0
glass,semantic,MSC06,0.4444444444444444
glass,motor,MSC06,0.6666666666666666
