train_task,test_task,sub,diff
glass,semantic,MSC01,-0.09999999999999998
glass,motor,MSC01,0.0
glass,mem,MSC01,0.10000000000000009
semantic,glass,MSC01,0.30000000000000004
semantic,motor,MSC01,0.4
semantic,mem,MSC01,0.6
motor,glass,MSC01,0.09999999999999998
motor,semantic,MSC01,0.09999999999999998
motor,mem,MSC01,0.4
mem,glass,MSC01,0.0
mem,semantic,MSC01,0.0
mem,motor,MSC01,0.0
glass,semantic,MSC02,0.0
glass,motor,MSC02,0.09999999999999998
glass,mem,MSC02,0.20000000000000007
semantic,glass,MSC02,0.6000000000000001
semantic,motor,MSC02,0.9
semantic,mem,MSC02,0.7
motor,glass,MSC02,0.7
motor,semantic,MSC02,0.8
motor,mem,MSC02,0.9
mem,glass,MSC02,0.0
mem,semantic,MSC02,0.19999999999999996
mem,motor,MSC02,0.6
glass,semantic,MSC03,0.0
glass,motor,MSC03,-0.125
glass,mem,MSC03,0.25
semantic,glass,MSC03,0.5
semantic,motor,MSC03,0.125
semantic,mem,MSC03,0.125
motor,glass,MSC03,0.625
motor,semantic,MSC03,0.625
motor,mem,MSC03,0.75
mem,glass,MSC03,0.25
mem,semantic,MSC03,0.125
mem,motor,MSC03,0.0
glass,semantic,MSC04,0.09999999999999998
glass,motor,MSC04,0.09999999999999998
glass,mem,MSC04,0.09999999999999998
semantic,glass,MSC04,0.20000000000000007
semantic,motor,MSC04,0.5
semantic,mem,MSC04,0.20000000000000007
motor,glass,MSC04,0.0
motor,semantic,MSC04,0.30000000000000004
motor,mem,MSC04,0.30000000000000004
mem,glass,MSC04,0.0
mem,semantic,MSC04,0.0
mem,motor,MSC04,0.09999999999999998
glass,semantic,MSC05,-0.09999999999999998
glass,motor,MSC05,0.0
glass,mem,MSC05,-0.09999999999999998
semantic,glass,MSC05,0.30000000000000004
semantic,motor,MSC05,0.30000000000000004
semantic,mem,MSC05,0.09999999999999998
motor,glass,MSC05,0.30000000000000004
motor,semantic,MSC05,0.7
motor,mem,MSC05,0.0
mem,glass,MSC05,0.0
mem,semantic,MSC05,0.0
mem,motor,MSC05,0.0
glass,semantic,MSC06,0.11111111111111105
glass,motor,MSC06,0.11111111111111105
glass,mem,MSC06,-0.11111111111111116
semantic,glass,MSC06,0.4444444444444444
semantic,motor,MSC06,0.2222222222222222
semantic,mem,MSC06,0.0
motor,glass,MSC06,0.6666666666666667
motor,semantic,MSC06,0.5555555555555556
motor,mem,MSC06,0.2222222222222222
mem,glass,MSC06,0.2222222222222222
mem,semantic,MSC06,0.0
mem,motor,MSC06,0.11111111111111116
glass,semantic,MSC07,-0.11111111111111116
glass,motor,MSC07,0.5555555555555556
glass,mem,MSC07,0.11111111111111105
semantic,glass,MSC07,0.11111111111111116
semantic,motor,MSC07,0.8888888888888888
semantic,mem,MSC07,0.6666666666666667
motor,glass,MSC07,1.0
motor,semantic,MSC07,0.7777777777777778
motor,mem,MSC07,0.8888888888888888
mem,glass,MSC07,0.0
mem,semantic,MSC07,0.0
mem,motor,MSC07,0.0
glass,semantic,MSC10,0.09999999999999998
glass,motor,MSC10,0.0
glass,mem,MSC10,0.09999999999999998
semantic,glass,MSC10,0.0
semantic,motor,MSC10,0.6
semantic,mem,MSC10,0.09999999999999998
motor,glass,MSC10,0.19999999999999996
motor,semantic,MSC10,0.5
motor,mem,MSC10,0.19999999999999996
mem,glass,MSC10,0.09999999999999998
mem,semantic,MSC10,0.09999999999999998
mem,motor,MSC10,0.0
