train,same_sub,diff_sub,feat
MSC01,0.6,0.51,10
MSC02,0.68,0.47,10
MSC03,0.66,0.54,10
MSC04,0.69,0.47,10
MSC05,0.81,0.52,10
MSC06,0.7,0.51,10
MSC07,0.64,0.52,10
MSC10,0.6,0.48,10
MSC01,0.61,0.49,10
MSC02,0.51,0.49,10
MSC03,0.71,0.54,10
MSC04,0.69,0.53,10
MSC05,0.79,0.49,10
MSC06,0.7,0.5,10
MSC07,0.59,0.51,10
MSC10,0.57,0.45,10
MSC01,0.64,0.54,10
MSC02,0.61,0.49,10
MSC03,0.7,0.58,10
MSC04,0.68,0.56,10
MSC05,0.78,0.51,10
MSC06,0.68,0.56,10
MSC07,0.6,0.57,10
MSC10,0.61,0.51,10
MSC01,0.81,0.53,10
MSC02,0.64,0.59,10
MSC03,0.56,0.54,10
MSC04,0.54,0.47,10
MSC05,0.88,0.59,10
MSC06,0.74,0.58,10
MSC07,0.69,0.49,10
MSC10,0.51,0.52,10
MSC01,0.61,0.48,10
MSC02,0.7,0.54,10
MSC03,0.71,0.52,10
MSC04,0.72,0.54,10
MSC05,0.82,0.51,10
MSC06,0.74,0.5,10
MSC07,0.64,0.52,10
MSC10,0.59,0.54,10
MSC01,0.72,0.55,10
MSC02,0.76,0.55,10
MSC03,0.81,0.54,10
MSC04,0.65,0.58,10
MSC05,0.71,0.57,10
MSC06,0.68,0.59,10
MSC07,0.49,0.55,10
MSC10,0.64,0.57,10
MSC01,0.7,0.5,10
MSC02,0.61,0.54,10
MSC03,0.59,0.57,10
MSC04,0.72,0.53,10
MSC05,0.81,0.55,10
MSC06,0.6,0.49,10
MSC07,0.75,0.51,10
MSC10,0.55,0.42,10
MSC01,0.59,0.48,10
MSC02,0.55,0.54,10
MSC03,0.65,0.52,10
MSC04,0.72,0.57,10
MSC05,0.82,0.57,10
MSC06,0.75,0.52,10
MSC07,0.78,0.53,10
MSC10,0.57,0.55,10
MSC01,0.78,0.56,10
MSC02,0.74,0.59,10
MSC03,0.59,0.58,10
MSC04,0.85,0.56,10
MSC05,0.7,0.59,10
MSC06,0.54,0.51,10
MSC07,0.4,0.53,10
MSC10,0.57,0.55,10
MSC01,0.65,0.48,10
MSC02,0.59,0.53,10
MSC03,0.49,0.53,10
MSC04,0.75,0.57,10
MSC05,0.75,0.55,10
MSC06,0.65,0.55,10
MSC07,0.65,0.55,10
MSC10,0.59,0.54,10
MSC01,0.76,0.58,10
MSC02,0.57,0.56,10
MSC03,0.71,0.54,10
MSC04,0.76,0.53,10
MSC05,0.66,0.55,10
MSC06,0.42,0.5,10
MSC07,0.49,0.58,10
MSC10,0.76,0.54,10
MSC01,0.76,0.6,10
MSC02,0.53,0.46,10
MSC03,0.7,0.57,10
MSC04,0.71,0.61,10
MSC05,0.61,0.51,10
MSC06,0.51,0.56,10
MSC07,0.55,0.57,10
