Network,same_sub,diff_sub,feature,cv_mu,ds_mu,cv_std,ds_std,CV_z_score,DS_z_score
pon,0.7126302083333333,0.5362416411108272,21,0.7442369791666664,0.5562658968067921,0.08666955901828426,0.04334910850423196,-0.36468133900006516,-0.4619300462432813
pmn,0.7807291666666667,0.5551772315217083,45,0.8062157118055546,0.578292203211326,0.07613525832431726,0.041759869516288406,-0.3347535123650804,-0.5535211665496645
sm-lat,0.7965711805555556,0.5712736391515462,316,0.9406145833333334,0.6562116543797326,0.03862381146989945,0.0565466372913719,-3.729393793516068,-1.502087821606796
salience,0.8850260416666667,0.6270465080784848,494,0.9551328124999989,0.673384830881716,0.02974629541023421,0.06305742534631076,-2.3568235932065695,-0.7348590994437455
auditory,0.8641493055555556,0.5499199605304257,564,0.9572183159722201,0.6793697208323397,0.02817204534364098,0.061982901937762645,-3.3035943709948667,-2.0884753093989565
sm,0.9344618055555557,0.6110312491126444,2375,0.9745915798611064,0.7171517420618793,0.019045822905013166,0.08782312997351303,-2.1070118369623168,-1.208343325741638
van,0.9470052083333335,0.6112214537723258,3151,0.9769223090277731,0.7206891959240603,0.017762231624670874,0.0929362304755679,-1.6843097943214664,-1.177880161392091
co,0.9328125,0.64173170982764,4060,0.9774952256944401,0.7239147952347512,0.01698815101671656,0.09542440229389156,-2.6302288960388753,-0.8612376229929185
fp,0.9477864583333334,0.619864474188602,4620,0.9771063368055505,0.7239758824603676,0.016909209914826535,0.09582919167576039,-1.7339591039382898,-1.086426864832881
dan,0.9657118055555557,0.6122170666865435,5264,0.9777434895833281,0.7284934063535711,0.016344363316388208,0.09840577122232878,-0.7361365991973807,-1.1816008169309875
visual,0.9540364583333332,0.6563834582729932,8736,0.9789474826388832,0.7280129628743989,0.014323621345700997,0.10010776012726164,-1.7391568587525301,-0.7155239964449006
default,0.9617621527777778,0.7045232061220433,10824,0.9800078124999932,0.729587105805676,0.013940112889778861,0.10149298925162799,-1.308860255758296,-0.24695202957804907
unassign,0.9424045138888888,0.5904008539909702,14808,0.9795516493055488,0.7309256521428992,0.01386117656412991,0.10230693638605978,-2.679941002467984,-1.373560807467173
