train_task,test_task,train_sub,test_sub,acc
semantic,glass,MSC01,MSC02,0.49000000000000005
semantic,motor,MSC01,MSC02,0.53
semantic,mem,MSC01,MSC02,0.49000000000000005
glass,semantic,MSC01,MSC02,0.6950000000000001
glass,motor,MSC01,MSC02,0.565
glass,mem,MSC01,MSC02,0.505
motor,semantic,MSC01,MSC02,0.5999999999999999
motor,glass,MSC01,MSC02,0.485
motor,mem,MSC01,MSC02,0.45000000000000007
mem,semantic,MSC01,MSC02,0.7100000000000001
mem,glass,MSC01,MSC02,0.51
mem,motor,MSC01,MSC02,0.6950000000000001
semantic,glass,MSC01,MSC03,0.5
semantic,motor,MSC01,MSC03,0.5
semantic,mem,MSC01,MSC03,0.6500000000000001
glass,semantic,MSC01,MSC03,0.495
glass,motor,MSC01,MSC03,0.495
glass,mem,MSC01,MSC03,0.5399999999999999
motor,semantic,MSC01,MSC03,0.505
motor,glass,MSC01,MSC03,0.53
motor,mem,MSC01,MSC03,0.5
mem,semantic,MSC01,MSC03,0.6249999999999999
mem,glass,MSC01,MSC03,0.51
mem,motor,MSC01,MSC03,0.55
semantic,glass,MSC01,MSC04,0.5
semantic,motor,MSC01,MSC04,0.5
semantic,mem,MSC01,MSC04,0.5
glass,semantic,MSC01,MSC04,0.495
glass,motor,MSC01,MSC04,0.5
glass,mem,MSC01,MSC04,0.49000000000000005
motor,semantic,MSC01,MSC04,0.5
motor,glass,MSC01,MSC04,0.53
motor,mem,MSC01,MSC04,0.5
mem,semantic,MSC01,MSC04,0.6300000000000001
mem,glass,MSC01,MSC04,0.515
mem,motor,MSC01,MSC04,0.505
semantic,glass,MSC01,MSC05,0.5849999999999999
semantic,motor,MSC01,MSC05,0.5449999999999999
semantic,mem,MSC01,MSC05,0.5
glass,semantic,MSC01,MSC05,0.5549999999999999
glass,motor,MSC01,MSC05,0.51
glass,mem,MSC01,MSC05,0.5
motor,semantic,MSC01,MSC05,0.51
motor,glass,MSC01,MSC05,0.59
motor,mem,MSC01,MSC05,0.5
mem,semantic,MSC01,MSC05,0.615
mem,glass,MSC01,MSC05,0.605
mem,motor,MSC01,MSC05,0.6849999999999999
semantic,glass,MSC01,MSC06,0.5166666666666666
semantic,motor,MSC01,MSC06,0.59
semantic,mem,MSC01,MSC06,0.6400000000000001
glass,semantic,MSC01,MSC06,0.615
glass,motor,MSC01,MSC06,0.555
glass,mem,MSC01,MSC06,0.7300000000000001
motor,semantic,MSC01,MSC06,0.665
motor,glass,MSC01,MSC06,0.6166666666666669
motor,mem,MSC01,MSC06,0.5549999999999999
mem,semantic,MSC01,MSC06,0.66
mem,glass,MSC01,MSC06,0.5777777777777778
mem,motor,MSC01,MSC06,0.6650000000000001
semantic,glass,MSC01,MSC07,0.645
semantic,motor,MSC01,MSC07,0.655
semantic,mem,MSC01,MSC07,0.575
glass,semantic,MSC01,MSC07,0.755
glass,motor,MSC01,MSC07,0.635
glass,mem,MSC01,MSC07,0.5
motor,semantic,MSC01,MSC07,0.6300000000000001
motor,glass,MSC01,MSC07,0.645
motor,mem,MSC01,MSC07,0.33499999999999996
mem,semantic,MSC01,MSC07,0.875
mem,glass,MSC01,MSC07,0.7000000000000001
mem,motor,MSC01,MSC07,0.675
semantic,glass,MSC01,MSC10,0.5
semantic,motor,MSC01,MSC10,0.5199999999999999
semantic,mem,MSC01,MSC10,0.5
glass,semantic,MSC01,MSC10,0.5799999999999998
glass,motor,MSC01,MSC10,0.53
glass,mem,MSC01,MSC10,0.5499999999999999
motor,semantic,MSC01,MSC10,0.5599999999999998
motor,glass,MSC01,MSC10,0.55
motor,mem,MSC01,MSC10,0.5449999999999999
mem,semantic,MSC01,MSC10,0.5899999999999999
mem,glass,MSC01,MSC10,0.5449999999999999
mem,motor,MSC01,MSC10,0.6
semantic,glass,MSC02,MSC01,0.7550000000000001
semantic,motor,MSC02,MSC01,0.6900000000000001
semantic,mem,MSC02,MSC01,0.74
glass,semantic,MSC02,MSC01,0.4600000000000001
glass,motor,MSC02,MSC01,0.5349999999999999
glass,mem,MSC02,MSC01,0.565
motor,semantic,MSC02,MSC01,0.615
motor,glass,MSC02,MSC01,0.5700000000000001
motor,mem,MSC02,MSC01,0.675
mem,semantic,MSC02,MSC01,0.43499999999999994
mem,glass,MSC02,MSC01,0.5599999999999999
mem,motor,MSC02,MSC01,0.38
semantic,glass,MSC02,MSC03,0.5449999999999999
semantic,motor,MSC02,MSC03,0.505
semantic,mem,MSC02,MSC03,0.59
glass,semantic,MSC02,MSC03,0.5499999999999999
glass,motor,MSC02,MSC03,0.5800000000000001
glass,mem,MSC02,MSC03,0.59
motor,semantic,MSC02,MSC03,0.605
motor,glass,MSC02,MSC03,0.675
motor,mem,MSC02,MSC03,0.6950000000000001
mem,semantic,MSC02,MSC03,0.5349999999999999
mem,glass,MSC02,MSC03,0.38500000000000006
mem,motor,MSC02,MSC03,0.38500000000000006
semantic,glass,MSC02,MSC04,0.505
semantic,motor,MSC02,MSC04,0.495
semantic,mem,MSC02,MSC04,0.495
glass,semantic,MSC02,MSC04,0.5399999999999999
glass,motor,MSC02,MSC04,0.505
glass,mem,MSC02,MSC04,0.495
motor,semantic,MSC02,MSC04,0.52
motor,glass,MSC02,MSC04,0.655
motor,mem,MSC02,MSC04,0.63
mem,semantic,MSC02,MSC04,0.6699999999999999
mem,glass,MSC02,MSC04,0.5599999999999998
mem,motor,MSC02,MSC04,0.5149999999999999
