network,acc,feature,mu,std,z_score
pon,0.5427448395293788,21,0.5499404761904774,0.11032160653660672,-0.06522418306799155
pmn,0.5417474676274016,45,0.5585629133597905,0.10818151796400396,-0.15543732468224414
sm-lat,0.5625264985380118,316,0.6134758597883635,0.1169552494549508,-0.4356312477446897
salience,0.6047820506126419,484,0.6210073578042382,0.11959644977279178,-0.1356671307753784
auditory,0.5597565528404344,564,0.6248369708994751,0.1229166780414802,-0.5294677589405591
sm,0.5617047392787516,2375,0.6316409556878363,0.13456072964856536,-0.5197371966675441
van,0.576723579782791,3151,0.6359516369047672,0.13769357868331664,-0.43014393037307597
co,0.6122659078251184,4060,0.6326146660052979,0.1363384256461556,-0.14925182012143431
fp,0.6395625348092447,4620,0.6341695601851894,0.13753449823918204,0.03921179553566659
dan,0.6246955061264268,5264,0.6359241898148186,0.13933509812800499,-0.08058761818989921
visual,0.6180755708716236,8736,0.6330534887566188,0.13827882717577106,-0.108316784217126
default,0.6505191363826225,10824,0.6343824404761937,0.13982854997923055,0.1154034416349566
unassign,0.553234431565024,14808,0.6378747519841312,0.1418243005331587,-0.5967970235066886
