sub,task,acc,features
MSC01,semantic,0.75,18
MSC01,glass,0.7,18
MSC01,motor,0.9,18
MSC01,mem,0.8,18
MSC02,semantic,0.9,18
MSC02,glass,0.7,18
MSC02,motor,0.8,18
MSC02,mem,0.8,18
MSC03,semantic,0.7,18
MSC03,glass,0.85,18
MSC03,motor,0.95,18
MSC03,mem,0.9,18
MSC04,semantic,0.9,18
MSC04,glass,0.8,18
MSC04,motor,0.8,18
MSC04,mem,0.95,18
MSC05,semantic,0.85,18
MSC05,glass,0.75,18
MSC05,motor,0.85,18
MSC05,mem,0.9,18
MSC06,semantic,0.45,18
MSC06,glass,0.7037037037037037,18
MSC06,motor,0.85,18
MSC06,mem,0.9,18
MSC07,semantic,0.8,18
MSC07,glass,0.9,18
MSC07,motor,0.85,18
MSC07,mem,0.85,18
MSC10,semantic,0.65,18
MSC10,glass,0.85,18
MSC10,motor,0.6,18
MSC10,mem,0.65,18
MSC01,semantic,0.85,92
MSC01,glass,0.65,92
MSC01,motor,0.9,92
MSC01,mem,0.9,92
MSC02,semantic,0.75,92
MSC02,glass,0.9,92
MSC02,motor,0.9,92
MSC02,mem,0.9,92
MSC03,semantic,1.0,92
MSC03,glass,0.75,92
MSC03,motor,0.9,92
MSC03,mem,0.8,92
MSC04,semantic,0.95,92
MSC04,glass,0.85,92
MSC04,motor,0.9,92
MSC04,mem,0.85,92
MSC05,semantic,0.95,92
MSC05,glass,0.7,92
MSC05,motor,0.95,92
MSC05,mem,1.0,92
MSC06,semantic,0.85,92
MSC06,glass,0.7777777777777778,92
MSC06,motor,0.9,92
MSC06,mem,1.0,92
MSC07,semantic,0.95,92
MSC07,glass,0.95,92
MSC07,motor,0.8,92
MSC07,mem,0.8,92
MSC10,semantic,0.75,92
MSC10,glass,0.7,92
MSC10,motor,0.95,92
MSC10,mem,0.95,92
MSC01,semantic,0.95,99
MSC01,glass,0.8,99
MSC01,motor,0.95,99
MSC01,mem,1.0,99
MSC02,semantic,0.95,99
MSC02,glass,0.65,99
MSC02,motor,0.85,99
MSC02,mem,0.8,99
MSC03,semantic,0.9,99
MSC03,glass,0.9,99
MSC03,motor,1.0,99
MSC03,mem,0.95,99
MSC04,semantic,0.85,99
MSC04,glass,0.95,99
MSC04,motor,1.0,99
MSC04,mem,0.95,99
MSC05,semantic,1.0,99
MSC05,glass,0.85,99
MSC05,motor,0.9,99
MSC05,mem,1.0,99
MSC06,semantic,0.85,99
MSC06,glass,0.8888888888888888,99
MSC06,motor,1.0,99
MSC06,mem,0.95,99
MSC07,semantic,0.85,99
MSC07,glass,0.85,99
MSC07,motor,1.0,99
MSC07,mem,0.95,99
MSC10,semantic,0.85,99
MSC10,glass,0.8,99
MSC10,motor,0.95,99
MSC10,mem,1.0,99
MSC01,semantic,0.9,23
MSC01,glass,0.8,23
MSC01,motor,0.85,23
MSC01,mem,0.9,23
MSC02,semantic,0.6,23
MSC02,glass,0.7,23
MSC02,motor,0.9,23
MSC02,mem,0.95,23
MSC03,semantic,0.7,23
MSC03,glass,0.65,23
MSC03,motor,0.65,23
MSC03,mem,0.75,23
MSC04,semantic,0.9,23
MSC04,glass,0.9,23
MSC04,motor,0.7,23
MSC04,mem,0.75,23
MSC05,semantic,0.9,23
MSC05,glass,0.65,23
MSC05,motor,1.0,23
MSC05,mem,0.9,23
MSC06,semantic,0.9,23
MSC06,glass,0.6851851851851851,23
MSC06,motor,0.95,23
MSC06,mem,0.9,23
MSC07,semantic,0.85,23
MSC07,glass,0.95,23
MSC07,motor,0.9,23
MSC07,mem,0.85,23
MSC10,semantic,0.9,23
MSC10,glass,0.9,23
MSC10,motor,0.85,23
MSC10,mem,0.9,23
MSC01,semantic,0.85,23
MSC01,glass,0.7,23
MSC01,motor,0.95,23
MSC01,mem,0.8,23
MSC02,semantic,0.75,23
MSC02,glass,0.9,23
MSC02,motor,0.7,23
MSC02,mem,0.85,23
MSC03,semantic,0.65,23
MSC03,glass,0.7,23
MSC03,motor,0.85,23
MSC03,mem,0.65,23
MSC04,semantic,0.95,23
MSC04,glass,0.75,23
MSC04,motor,0.55,23
MSC04,mem,0.8,23
MSC05,semantic,0.85,23
MSC05,glass,0.8,23
MSC05,motor,0.95,23
MSC05,mem,0.9,23
MSC06,semantic,0.8,23
MSC06,glass,0.7222222222222222,23
MSC06,motor,0.8,23
MSC06,mem,0.95,23
MSC07,semantic,0.8,23
MSC07,glass,0.75,23
MSC07,motor,0.75,23
MSC07,mem,0.8,23
MSC10,semantic,0.85,23
MSC10,glass,0.8,23
MSC10,motor,0.9,23
MSC10,mem,1.0,23
MSC01,semantic,0.95,75
MSC01,glass,0.9,75
MSC01,motor,0.95,75
MSC01,mem,0.9,75
MSC02,semantic,0.8,75
MSC02,glass,0.85,75
MSC02,motor,0.85,75
MSC02,mem,0.9,75
MSC03,semantic,0.95,75
MSC03,glass,0.95,75
MSC03,motor,0.8,75
MSC03,mem,0.85,75
MSC04,semantic,0.9,75
MSC04,glass,1.0,75
MSC04,motor,1.0,75
MSC04,mem,0.9,75
MSC05,semantic,0.85,75
MSC05,glass,0.85,75
MSC05,motor,0.95,75
MSC05,mem,1.0,75
MSC06,semantic,0.8,75
MSC06,glass,0.7777777777777778,75
MSC06,motor,0.95,75
MSC06,mem,0.95,75
MSC07,semantic,0.8,75
MSC07,glass,0.85,75
MSC07,motor,0.95,75
MSC07,mem,0.85,75
MSC10,semantic,0.85,75
MSC10,glass,0.75,75
MSC10,motor,0.9,75
MSC10,mem,0.85,75
MSC01,semantic,0.85,62
MSC01,glass,0.9,62
MSC01,motor,1.0,62
MSC01,mem,0.9,62
MSC02,semantic,0.75,62
MSC02,glass,0.85,62
MSC02,motor,0.95,62
MSC02,mem,0.65,62
MSC03,semantic,0.7,62
MSC03,glass,0.65,62
MSC03,motor,1.0,62
MSC03,mem,0.95,62
MSC04,semantic,0.9,62
MSC04,glass,0.75,62
MSC04,motor,0.8,62
MSC04,mem,0.85,62
MSC05,semantic,0.9,62
MSC05,glass,0.75,62
MSC05,motor,0.95,62
MSC05,mem,0.9,62
