sub,task,acc,features
MSC01,semantic,0.7,10
MSC01,glass,0.7,10
MSC01,motor,0.75,10
MSC01,mem,0.85,10
MSC02,semantic,0.7,10
MSC02,glass,0.95,10
MSC02,motor,0.9,10
MSC02,mem,1.0,10
MSC03,semantic,0.55,10
MSC03,glass,0.6,10
MSC03,motor,0.65,10
MSC03,mem,0.6458333333333333,10
MSC04,semantic,0.75,10
MSC04,glass,0.55,10
MSC04,motor,1.0,10
MSC04,mem,0.85,10
MSC05,semantic,0.85,10
MSC05,glass,0.75,10
MSC05,motor,0.85,10
MSC05,mem,0.95,10
MSC06,semantic,0.7,10
MSC06,glass,0.6481481481481481,10
MSC06,motor,0.8518518518518517,10
MSC06,mem,0.6,10
MSC07,semantic,0.65,10
MSC07,glass,0.6,10
MSC07,motor,0.8333333333333334,10
MSC07,mem,0.65,10
MSC10,semantic,0.7,10
MSC10,glass,0.35,10
MSC10,motor,0.95,10
MSC10,mem,0.65,10
MSC01,semantic,0.65,10
MSC01,glass,0.5,10
MSC01,motor,0.85,10
MSC01,mem,0.75,10
MSC02,semantic,0.7,10
MSC02,glass,0.8,10
MSC02,motor,0.7,10
MSC02,mem,0.4,10
MSC03,semantic,0.85,10
MSC03,glass,0.75,10
MSC03,motor,0.6,10
MSC03,mem,0.875,10
MSC04,semantic,0.7,10
MSC04,glass,0.65,10
MSC04,motor,0.85,10
MSC04,mem,0.6,10
MSC05,semantic,0.8,10
MSC05,glass,0.6,10
MSC05,motor,0.9,10
MSC05,mem,0.9,10
MSC06,semantic,0.8,10
MSC06,glass,0.6111111111111112,10
MSC06,motor,0.8518518518518517,10
MSC06,mem,0.85,10
MSC07,semantic,0.75,10
MSC07,glass,0.75,10
MSC07,motor,0.7407407407407407,10
MSC07,mem,0.75,10
MSC10,semantic,0.7,10
MSC10,glass,0.55,10
MSC10,motor,0.55,10
MSC10,mem,0.7,10
MSC01,semantic,0.8,10
MSC01,glass,0.8,10
MSC01,motor,0.8,10
MSC01,mem,0.85,10
MSC02,semantic,0.8,10
MSC02,glass,0.65,10
MSC02,motor,0.85,10
MSC02,mem,0.6,10
MSC03,semantic,0.6,10
MSC03,glass,0.6,10
MSC03,motor,0.75,10
MSC03,mem,0.41666666666666663,10
MSC04,semantic,0.85,10
