,Task,Accuracy,Features
0,glass,0.75,10
1,glass,0.5,10
2,glass,0.7,10
3,glass,0.4,10
4,glass,0.65,10
5,glass,0.6851851851851851,10
6,glass,0.85,10
7,glass,0.9,10
8,semantic,0.7,10
9,semantic,0.55,10
10,semantic,0.6,10
11,semantic,0.5,10
12,semantic,0.8,10
13,semantic,0.65,10
14,semantic,0.95,10
15,semantic,0.8,10
16,motor,0.65,10
17,motor,0.5,10
18,motor,0.75,10
19,motor,0.75,10
20,motor,0.85,10
21,motor,0.65,10
22,motor,0.8,10
23,motor,1.0,10
24,mem,0.65,10
25,mem,0.55,10
26,mem,0.6,10
27,mem,0.8,10
28,mem,0.8,10
29,mem,0.7,10
30,mem,0.8,10
31,mem,0.6,10
0,glass,0.8,20
1,glass,0.6,20
2,glass,0.65,20
3,glass,0.9,20
4,glass,1.0,20
5,glass,0.8518518518518517,20
6,glass,0.8,20
7,glass,0.65,20
8,semantic,0.75,20
9,semantic,0.85,20
10,semantic,0.7,20
11,semantic,0.75,20
12,semantic,0.8,20
13,semantic,0.6,20
14,semantic,0.9,20
15,semantic,0.85,20
16,motor,0.95,20
17,motor,0.65,20
18,motor,0.7,20
19,motor,0.85,20
20,motor,0.95,20
21,motor,0.8,20
22,motor,0.9,20
23,motor,0.9,20
24,mem,0.85,20
25,mem,0.55,20
26,mem,0.95,20
27,mem,0.85,20
28,mem,0.9,20
29,mem,0.85,20
30,mem,0.6,20
31,mem,0.7,20
0,glass,0.85,30
1,glass,0.9,30
2,glass,0.95,30
3,glass,0.65,30
4,glass,0.8,30
5,glass,0.7222222222222222,30
6,glass,0.85,30
7,glass,0.8,30
8,semantic,0.85,30
9,semantic,0.9,30
10,semantic,0.85,30
11,semantic,0.85,30
12,semantic,0.85,30
13,semantic,0.8,30
14,semantic,0.8,30
15,semantic,0.65,30
16,motor,0.95,30
17,motor,1.0,30
18,motor,1.0,30
19,motor,0.9,30
20,motor,0.95,30
21,motor,0.9,30
22,motor,0.8,30
23,motor,0.75,30
24,mem,0.85,30
25,mem,0.9,30
26,mem,0.85,30
27,mem,0.8,30
28,mem,0.95,30
29,mem,0.85,30
30,mem,0.75,30
31,mem,0.7,30
0,glass,0.9,40
1,glass,0.75,40
2,glass,0.6,40
3,glass,0.9,40
4,glass,0.95,40
5,glass,0.7407407407407407,40
6,glass,0.8,40
7,glass,0.75,40
8,semantic,0.8,40
9,semantic,0.75,40
10,semantic,0.6,40
11,semantic,0.9,40
12,semantic,0.85,40
13,semantic,0.8,40
14,semantic,0.85,40
