sub,task,acc,features,Null_Network
MSC01,semantic,0.95,14808,unassign
MSC01,glass,0.9,14808,unassign
MSC01,motor,1.0,14808,unassign
MSC01,mem,1.0,14808,unassign
MSC02,semantic,0.9,14808,unassign
MSC02,glass,0.8,14808,unassign
MSC02,motor,0.95,14808,unassign
MSC02,mem,1.0,14808,unassign
MSC03,semantic,0.9,14808,unassign
MSC03,glass,0.95,14808,unassign
MSC03,motor,0.95,14808,unassign
MSC03,mem,0.95,14808,unassign
MSC04,semantic,0.95,14808,unassign
MSC04,glass,0.95,14808,unassign
MSC04,motor,1.0,14808,unassign
MSC04,mem,1.0,14808,unassign
MSC05,semantic,0.95,14808,unassign
MSC05,glass,0.95,14808,unassign
MSC05,motor,1.0,14808,unassign
MSC05,mem,1.0,14808,unassign
MSC06,semantic,0.95,14808,unassign
MSC06,glass,0.7777777777777778,14808,unassign
MSC06,motor,1.0,14808,unassign
MSC06,mem,1.0,14808,unassign
MSC07,semantic,1.0,14808,unassign
MSC07,glass,0.85,14808,unassign
MSC07,motor,1.0,14808,unassign
MSC07,mem,1.0,14808,unassign
MSC10,semantic,0.9,14808,unassign
MSC10,glass,0.85,14808,unassign
MSC10,motor,0.95,14808,unassign
MSC10,mem,1.0,14808,unassign
MSC01,semantic,0.95,14808,unassign
MSC01,glass,0.9,14808,unassign
MSC01,motor,1.0,14808,unassign
MSC01,mem,1.0,14808,unassign
MSC02,semantic,0.95,14808,unassign
MSC02,glass,0.8,14808,unassign
MSC02,motor,0.95,14808,unassign
MSC02,mem,1.0,14808,unassign
MSC03,semantic,0.9,14808,unassign
MSC03,glass,0.95,14808,unassign
MSC03,motor,0.95,14808,unassign
MSC03,mem,1.0,14808,unassign
MSC04,semantic,0.95,14808,unassign
MSC04,glass,0.95,14808,unassign
MSC04,motor,1.0,14808,unassign
MSC04,mem,1.0,14808,unassign
MSC05,semantic,0.95,14808,unassign
MSC05,glass,0.95,14808,unassign
MSC05,motor,1.0,14808,unassign
MSC05,mem,1.0,14808,unassign
MSC06,semantic,0.95,14808,unassign
MSC06,glass,0.7777777777777778,14808,unassign
MSC06,motor,1.0,14808,unassign
MSC06,mem,1.0,14808,unassign
MSC07,semantic,1.0,14808,unassign
MSC07,glass,0.9,14808,unassign
MSC07,motor,1.0,14808,unassign
MSC07,mem,1.0,14808,unassign
MSC10,semantic,0.85,14808,unassign
MSC10,glass,0.85,14808,unassign
MSC10,motor,0.95,14808,unassign
MSC10,mem,0.95,14808,unassign
MSC01,semantic,0.95,14808,unassign
MSC01,glass,0.9,14808,unassign
MSC01,motor,1.0,14808,unassign
