Network,same_sub,feature_x,mu,feature_y,std,z_score
pon,0.7256944444444442,21,0.8061618923611097,21,0.10860162895097057,-0.7409414452981495
pmn,0.7850694444444443,45,0.85449001736111,45,0.09903517972828753,-0.7009688184252068
sm-lat,0.8078124999999999,316,0.9272647569444399,316,0.07145517936053171,-1.671708867201017
salience,0.8616319444444444,494,0.9346940104166596,494,0.06743808830528825,-1.0833946781152446
auditory,0.8229166666666669,564,0.9371701388888835,564,0.06705918657807727,-1.7037706249119327
sm,0.8980902777777776,2375,0.947136718749994,2375,0.058214690566090424,-0.8425096912013064
van,0.8991319444444441,3151,0.9473593749999938,3151,0.05741788423649199,-0.8399374375571068
co,0.9145833333333332,4060,0.9469192708333284,4060,0.058250088987653235,-0.5551225425054571
fp,0.9402777777777775,4620,0.9475338541666612,4620,0.05774932815555639,-0.1256478061413699
dan,0.9480902777777777,5264,0.9471731770833282,5264,0.05713174801199213,0.016052382893255772
visual,0.9317708333333332,8736,0.9481115451388824,8736,0.05632920452568417,-0.2900930688289481
default,0.9432291666666665,10824,0.9482434895833268,10824,0.05664977353921444,-0.08851443886513209
unassign,0.8567708333333333,14808,0.9483489583333267,14808,0.05696542335559356,-1.6076089600587713
