train_sub,test_sub,task,acc
MSC01,MSC02,semantic,0.825
MSC01,MSC02,glass,0.5849999999999999
MSC01,MSC02,motor,0.7699999999999999
MSC01,MSC02,mem,0.7099999999999999
MSC01,MSC03,semantic,0.7849999999999999
MSC01,MSC03,glass,0.5
MSC01,MSC03,motor,0.6100000000000001
MSC01,MSC03,mem,0.67
MSC01,MSC04,semantic,0.585
MSC01,MSC04,glass,0.575
MSC01,MSC04,motor,0.9400000000000001
MSC01,MSC04,mem,0.845
MSC01,MSC05,semantic,0.655
MSC01,MSC05,glass,0.6350000000000001
MSC01,MSC05,motor,0.7999999999999998
MSC01,MSC05,mem,0.8400000000000001
MSC01,MSC06,semantic,0.51
MSC01,MSC06,glass,0.5722222222222222
MSC01,MSC06,motor,0.5900000000000001
MSC01,MSC06,mem,0.9399999999999998
MSC01,MSC07,semantic,0.8550000000000001
MSC01,MSC07,glass,0.65
MSC01,MSC07,motor,0.775
MSC01,MSC07,mem,0.7350000000000001
MSC01,MSC10,semantic,0.6200000000000001
MSC01,MSC10,glass,0.5599999999999999
MSC01,MSC10,motor,0.7100000000000002
MSC01,MSC10,mem,0.755
MSC02,MSC01,semantic,0.5149999999999999
MSC02,MSC01,glass,0.5499999999999999
MSC02,MSC01,motor,0.5
MSC02,MSC01,mem,0.72
MSC02,MSC03,semantic,0.5
MSC02,MSC03,glass,0.6900000000000001
MSC02,MSC03,motor,0.57
MSC02,MSC03,mem,0.8549999999999999
MSC02,MSC04,semantic,0.5499999999999999
MSC02,MSC04,glass,0.6599999999999999
MSC02,MSC04,motor,0.8450000000000001
MSC02,MSC04,mem,0.8450000000000001
MSC02,MSC05,semantic,0.515
MSC02,MSC05,glass,0.66
MSC02,MSC05,motor,0.5149999999999999
MSC02,MSC05,mem,0.5800000000000001
MSC02,MSC06,semantic,0.5449999999999999
MSC02,MSC06,glass,0.5111111111111111
MSC02,MSC06,motor,0.59
MSC02,MSC06,mem,0.8950000000000001
MSC02,MSC07,semantic,0.595
MSC02,MSC07,glass,0.645
MSC02,MSC07,motor,0.5949999999999999
MSC02,MSC07,mem,0.765
MSC02,MSC10,semantic,0.5549999999999999
MSC02,MSC10,glass,0.5
MSC02,MSC10,motor,0.5349999999999999
MSC02,MSC10,mem,0.6950000000000001
MSC03,MSC01,semantic,0.62
MSC03,MSC01,glass,0.605
MSC03,MSC01,motor,0.7150000000000001
MSC03,MSC01,mem,0.505
MSC03,MSC02,semantic,0.6900000000000002
MSC03,MSC02,glass,0.68
MSC03,MSC02,motor,0.615
MSC03,MSC02,mem,0.675
MSC03,MSC04,semantic,0.57
MSC03,MSC04,glass,0.5449999999999999
MSC03,MSC04,motor,0.72
MSC03,MSC04,mem,0.865
MSC03,MSC05,semantic,0.7049999999999998
MSC03,MSC05,glass,0.82
MSC03,MSC05,motor,0.8549999999999999
MSC03,MSC05,mem,0.65
MSC03,MSC06,semantic,0.5449999999999999
MSC03,MSC06,glass,0.5277777777777777
MSC03,MSC06,motor,0.57
MSC03,MSC06,mem,0.7449999999999999
MSC03,MSC07,semantic,0.5
MSC03,MSC07,glass,0.565
MSC03,MSC07,motor,0.7649999999999999
MSC03,MSC07,mem,0.525
MSC03,MSC10,semantic,0.575
MSC03,MSC10,glass,0.5
MSC03,MSC10,motor,0.7849999999999999
MSC03,MSC10,mem,0.6049999999999999
MSC04,MSC01,semantic,0.5349999999999999
MSC04,MSC01,glass,0.8249999999999998
MSC04,MSC01,motor,0.905
MSC04,MSC01,mem,0.8799999999999999
MSC04,MSC02,semantic,0.62
MSC04,MSC02,glass,0.625
MSC04,MSC02,motor,0.8450000000000001
MSC04,MSC02,mem,0.8550000000000001
MSC04,MSC03,semantic,0.51
MSC04,MSC03,glass,0.51
MSC04,MSC03,motor,0.67
MSC04,MSC03,mem,0.7350000000000001
MSC04,MSC05,semantic,0.5149999999999999
MSC04,MSC05,glass,0.6
MSC04,MSC05,motor,0.93
MSC04,MSC05,mem,0.8299999999999998
MSC04,MSC06,semantic,0.51
MSC04,MSC06,glass,0.6055555555555556
MSC04,MSC06,motor,0.6850000000000002
MSC04,MSC06,mem,0.86
MSC04,MSC07,semantic,0.6900000000000002
MSC04,MSC07,glass,0.5199999999999999
MSC04,MSC07,motor,0.8550000000000001
