Network,diff_sub,feature_x,mu,feature_y,std,z_score
pon,0.5650269248886604,21,0.5854740475341006,21,0.062411854244826225,-0.32761600969635113
pmn,0.5561294357371247,45,0.6088797229180931,45,0.0636241776958484,-0.8290918498489368
sm-lat,0.6079154890373415,316,0.6950266334680699,316,0.10146532177455199,-0.8585311996968046
salience,0.6575464449868677,494,0.70974315985488,494,0.11422253119492731,-0.4569738940466629
auditory,0.5787308546020328,564,0.712750233762913,564,0.11774714371143796,-1.1381964346355655
sm,0.6383771911042593,2375,0.7372905955553878,2375,0.14262503771173696,-0.6935206190868456
van,0.617470362995318,3151,0.7359613761843785,3151,0.14458076296951664,-0.8195489548913443
co,0.6805659401050589,4060,0.7378582459653383,4060,0.14546377633378926,-0.39385960755489624
fp,0.688391072856001,4620,0.7381157633636849,4620,0.14676478152503952,-0.3388053318445501
dan,0.6964201674374785,5264,0.7381707552513871,5264,0.14740180140881604,-0.28324340282731125
visual,0.7168192588786112,8736,0.7390232216032312,8736,0.1489224619299906,-0.1490974728517329
default,0.746177111881923,10824,0.7403316666930408,10824,0.14951188502663282,0.039096859676680105
unassign,0.6051148188591983,14808,0.7407137208556135,14808,0.1502795253805885,-0.9023112207268817
