Network,task,train,diff_sub,feature,mu,std,z_score
pon,glass,MSC01,0.6158273381294964,21,0.5575467625899283,0.05253500485267987,1.10936652053236
pon,glass,MSC02,0.4985611510791367,21,0.561863309352518,0.049920274333986776,-1.268065112179961
pon,glass,MSC03,0.5791366906474821,21,0.5569784172661869,0.05085084460558945,0.43575035091668
pon,glass,MSC04,0.6028776978417266,21,0.5592086330935251,0.05324482377178373,0.8201560575235349
pon,glass,MSC05,0.5424460431654676,21,0.5590143884892086,0.049560598968887995,-0.33430478380904666
pon,glass,MSC06,0.6476190476190476,21,0.569857142857143,0.05289790384808805,1.470037546009781
pon,glass,MSC07,0.6330935251798561,21,0.5596618705035972,0.04269249574122502,1.7200131639376453
pon,glass,MSC10,0.5820143884892086,21,0.5553525179856115,0.05789583258957497,0.4605145018399479
pmn,glass,MSC01,0.4942446043165468,45,0.57,0.05111801523572744,-1.481970599486541
pmn,glass,MSC02,0.5971223021582733,45,0.5792446043165468,0.04622452371705177,0.38675785933802154
pmn,glass,MSC03,0.4863309352517986,45,0.5683812949640289,0.04727560102455718,-1.735575179035999
pmn,glass,MSC04,0.5201438848920863,45,0.5997122302158272,0.048211362045500535,-1.6504065006221258
pmn,glass,MSC05,0.5410071942446043,45,0.5793309352517985,0.04481221139906786,-0.8552075385414104
pmn,glass,MSC06,0.503968253968254,45,0.5871984126984128,0.05067811121154148,-1.6423295332128305
pmn,glass,MSC07,0.5935251798561151,45,0.5652446043165469,0.03652844981376888,0.7742068355966267
pmn,glass,MSC10,0.5719424460431655,45,0.5637625899280576,0.05893558695206984,0.13879315602235762
sm-lat,glass,MSC01,0.60431654676259,316,0.6314244604316545,0.045833751844343996,-0.5914399886163737
sm-lat,glass,MSC02,0.6007194244604317,316,0.5931007194244604,0.04832455829277245,0.15765700308761557
sm-lat,glass,MSC03,0.6007194244604316,316,0.5554892086330936,0.03605450065085986,1.2544956943193526
sm-lat,glass,MSC04,0.5402877697841727,316,0.6719136690647481,0.05209444034029916,-2.5266784405542873
sm-lat,glass,MSC05,0.5503597122302158,316,0.6003453237410068,0.04156876340185076,-1.202480117764712
sm-lat,glass,MSC06,0.4952380952380953,316,0.6151587301587305,0.056172222835504534,-2.134874300271369
sm-lat,glass,MSC07,0.5496402877697841,316,0.5408561151079135,0.031592068513976244,0.27804993705886966
sm-lat,glass,MSC10,0.5820143884892086,316,0.6280935251798557,0.040937254301557764,-1.125603987781215
salience,glass,MSC01,0.5302158273381294,494,0.6446474820143885,0.05434016583451377,-2.1058392612335126
salience,glass,MSC02,0.6280575539568345,494,0.5789640287769784,0.04530039089709483,1.0837329260883823
salience,glass,MSC03,0.5553956834532374,494,0.5466258992805756,0.02869286723056311,0.30564335387578206
salience,glass,MSC04,0.6992805755395683,494,0.6812374100719424,0.0525038659914477,0.34365403626782454
salience,glass,MSC05,0.6503597122302158,494,0.5927841726618704,0.046535978903076446,1.2372263552951526
salience,glass,MSC06,0.6253968253968254,494,0.605849206349206,0.05289281284783907,0.3695704197818624
salience,glass,MSC07,0.5985611510791367,494,0.5324460431654677,0.017948075066109934,3.683687953729888
salience,glass,MSC10,0.5906474820143884,494,0.6371510791366907,0.04239970916068091,-1.09679047434191
auditory,glass,MSC01,0.6136690647482014,564,0.6355179856115108,0.05136778531604377,-0.42534286282506656
auditory,glass,MSC02,0.5762589928057554,564,0.5712158273381295,0.04237935625981508,0.11900052083632003
