network,task,acc,feature,mu,std,z_score
pon,glass,0.5880858395989975,21,0.5593561507936508,0.09796793224656616,0.2932560496738846
pmn,glass,0.538517648287385,45,0.568894841269841,0.10002420789531112,-0.30369841083120447
sm-lat,glass,0.5653493107769425,316,0.6034583333333328,0.10497124482290188,-0.36304249435818736
salience,glass,0.6095373851294905,484,0.6081835317460316,0.10894917253325258,0.012426467792086582
auditory,glass,0.57984231411863,564,0.588810515873016,0.09823063040627904,-0.09129740608702032
sm,glass,0.5725005221386802,2375,0.589061507936508,0.10656700318910352,-0.1554044432350256
van,glass,0.5563210108604845,3151,0.5870615079365077,0.10113862668071462,-0.3039441812183999
co,glass,0.5864170843776108,4060,0.5841289682539682,0.1029724191235231,0.022220669797975528
fp,glass,0.6207200292397662,4620,0.5860257936507939,0.10396547599892286,0.333709197746873
dan,glass,0.6288095238095236,5264,0.5818025793650788,0.10411082644005716,0.4515087052114553
visual,glass,0.6168995405179614,8736,0.5778382936507936,0.09704768771692533,0.40249538949453356
default,glass,0.6414698203842942,10824,0.5812301587301594,0.10214906869096867,0.5897230628345498
unassign,glass,0.5198496240601503,14808,0.5812093253968253,0.10262964957212416,-0.5978749960902261
pon,mem,0.48553571428571424,21,0.5824375,0.10961877191671836,-0.883988973967943
pmn,mem,0.5505357142857142,45,0.6053303571428573,0.11683178957513406,-0.46900456679134295
sm-lat,mem,0.6044642857142856,316,0.7700624999999993,0.13130467384970107,-1.2611753217198274
salience,mem,0.7007142857142862,484,0.7772232142857134,0.1320910477603063,-0.5792135793355282
auditory,mem,0.5700000000000001,564,0.8213482142857139,0.12001570483259939,-2.0942943645275425
sm,mem,0.6574107142857144,2375,0.8708660714285716,0.10344430592443503,-2.063480973991784
van,mem,0.6228571428571429,3151,0.8681339285714289,0.11301388262560023,-2.1703243886138748
co,mem,0.7233035714285715,4060,0.879517857142857,0.10497780514574245,-1.4880696495550712
fp,mem,0.7184821428571431,4620,0.8743035714285721,0.106065413313457,-1.4691068813443189
dan,mem,0.7123214285714284,5264,0.8788035714285719,0.10574929336055192,-1.574309743040297
visual,mem,0.8241071428571428,8736,0.8872500000000008,0.09896661947858824,-0.638021764060751
default,mem,0.8533035714285709,10824,0.8838749999999997,0.10376017526670557,-0.29463547543985813
unassign,mem,0.7294642857142856,14808,0.8893839285714287,0.10238927834911991,-1.5618787966437278
pon,motor,0.5509821428571429,21,0.6037589285714289,0.1159291040473379,-0.4552505270180938
pmn,motor,0.5514285714285714,45,0.635857142857143,0.12097131175329985,-0.6979222611121979
sm-lat,motor,0.7139285714285716,316,0.7295267857142859,0.13383766899719077,-0.11654577072798308
salience,motor,0.6426785714285712,484,0.7499107142857138,0.13557896481000364,-0.7909202065926267
auditory,motor,0.6076785714285713,564,0.7627589285714284,0.1386293268397084,-1.1186691927182935
sm,motor,0.7541964285714287,2375,0.7759464285714287,0.1513478406195793,-0.14370869059618638
van,motor,0.6195535714285715,3151,0.7849375000000003,0.15395456670434754,-1.0742385374578078
co,motor,0.7719642857142859,4060,0.7780803571428576,0.15142974769329642,-0.04038883721155724
fp,motor,0.6864285714285714,4620,0.7819642857142863,0.1495185432868068,-0.6389556250722569
dan,motor,0.6897321428571429,5264,0.7885178571428569,0.15104803712577738,-0.6540019729184258
visual,motor,0.772142857142857,8736,0.788437500000001,0.14965140060799836,-0.10888399835178755
default,motor,0.7891071428571428,10824,0.7883571428571433,0.14757090149675955,0.005082302760181635
unassign,motor,0.6195535714285713,14808,0.7920000000000008,0.151550188879964,-1.1378832969189931
pon,semantic,0.6358928571428569,21,0.5754375000000002,0.11549626772230233,0.5234399200519173
pmn,semantic,0.5840178571428571,45,0.6062767857142863,0.11570590764085965,-0.1923750396610589
sm-lat,semantic,0.5478571428571428,316,0.6520357142857144,0.1258252137329316,-0.8279626025487564
salience,semantic,0.6770535714285716,484,0.6743303571428577,0.1297997899886154,0.020980113187800388
auditory,semantic,0.5575892857142858,564,0.6621696428571425,0.13242805373744634,-0.7897145218957848
sm,semantic,0.5698214285714286,2375,0.6737767857142857,0.1436829463940034,-0.7235051879977015
van,semantic,0.6712499999999999,3151,0.6710625000000003,0.1468155890765198,0.0012771123364960831
co,semantic,0.6406249999999999,4060,0.6672767857142864,0.14389839449959285,-0.1852125300422439
fp,semantic,0.7281250000000001,4620,0.6739732142857142,0.14581572779592483,0.37137136393183584
dan,semantic,0.755,5264,0.6719464285714285,0.14274198543465316,0.5818440256079608
visual,semantic,0.6539285714285714,8736,0.6714374999999997,0.1448447309596109,-0.12088067308648276
default,semantic,0.7010714285714286,10824,0.6696517857142853,0.14443714145684933,0.2175316026074215
unassign,semantic,0.5517857142857141,14808,0.6722589285714277,0.14473384032603645,-0.8323776527612899
