train_task,test_task,sub,acc
semantic,glass,MSC01,0.8049999999999999
semantic,motor,MSC01,0.7949999999999999
semantic,mem,MSC01,0.7999999999999999
glass,semantic,MSC01,0.9000000000000001
glass,motor,MSC01,0.6900000000000001
glass,mem,MSC01,0.76
motor,semantic,MSC01,0.8699999999999999
motor,glass,MSC01,0.7949999999999999
motor,mem,MSC01,0.7000000000000001
mem,semantic,MSC01,0.975
mem,glass,MSC01,0.925
mem,motor,MSC01,0.9200000000000002
semantic,glass,MSC02,0.655
semantic,motor,MSC02,0.59
semantic,mem,MSC02,0.5449999999999999
glass,semantic,MSC02,0.6850000000000002
glass,motor,MSC02,0.665
glass,mem,MSC02,0.5349999999999999
motor,semantic,MSC02,0.635
motor,glass,MSC02,0.6849999999999999
motor,mem,MSC02,0.505
mem,semantic,MSC02,0.7050000000000001
mem,glass,MSC02,0.7150000000000001
mem,motor,MSC02,0.6250000000000001
semantic,glass,MSC03,0.7300000000000001
semantic,motor,MSC03,0.75
semantic,mem,MSC03,0.5849999999999999
glass,semantic,MSC03,0.69
glass,motor,MSC03,0.6400000000000001
glass,mem,MSC03,0.5499999999999999
motor,semantic,MSC03,0.625
motor,glass,MSC03,0.4999999999999999
motor,mem,MSC03,0.475
mem,semantic,MSC03,0.575
mem,glass,MSC03,0.53
mem,motor,MSC03,0.7249999999999999
semantic,glass,MSC04,0.8299999999999998
semantic,motor,MSC04,0.7100000000000001
semantic,mem,MSC04,0.7799999999999999
glass,semantic,MSC04,0.9400000000000001
glass,motor,MSC04,0.89
glass,mem,MSC04,0.7999999999999999
motor,semantic,MSC04,0.89
motor,glass,MSC04,0.925
motor,mem,MSC04,0.6900000000000002
mem,semantic,MSC04,0.905
mem,glass,MSC04,0.945
mem,motor,MSC04,0.6500000000000001
semantic,glass,MSC05,0.89
semantic,motor,MSC05,0.7899999999999999
semantic,mem,MSC05,0.9649999999999999
glass,semantic,MSC05,0.8299999999999998
glass,motor,MSC05,0.8100000000000002
glass,mem,MSC05,0.9799999999999999
motor,semantic,MSC05,0.7150000000000001
motor,glass,MSC05,0.74
motor,mem,MSC05,0.7699999999999999
mem,semantic,MSC05,0.7999999999999999
mem,glass,MSC05,0.7999999999999999
mem,motor,MSC05,0.7649999999999999
semantic,glass,MSC06,0.7166666666666667
semantic,motor,MSC06,0.615
semantic,mem,MSC06,0.72
glass,semantic,MSC06,0.7166666666666667
glass,motor,MSC06,0.6277777777777778
glass,mem,MSC06,0.7666666666666666
motor,semantic,MSC06,0.6400000000000001
motor,glass,MSC06,0.611111111111111
motor,mem,MSC06,0.5899999999999999
mem,semantic,MSC06,0.835
mem,glass,MSC06,0.7444444444444445
mem,motor,MSC06,0.65
semantic,glass,MSC07,0.925
semantic,motor,MSC07,0.635
semantic,mem,MSC07,0.7849999999999999
glass,semantic,MSC07,0.97
glass,motor,MSC07,0.7050000000000001
glass,mem,MSC07,0.8499999999999999
motor,semantic,MSC07,0.5499999999999999
motor,glass,MSC07,0.5499999999999999
motor,mem,MSC07,0.5399999999999999
mem,semantic,MSC07,0.865
mem,glass,MSC07,0.9199999999999999
mem,motor,MSC07,0.7100000000000001
semantic,glass,MSC10,0.7350000000000001
semantic,motor,MSC10,0.5649999999999998
semantic,mem,MSC10,0.7849999999999999
glass,semantic,MSC10,0.72
glass,motor,MSC10,0.63
glass,mem,MSC10,0.78
motor,semantic,MSC10,0.495
motor,glass,MSC10,0.595
motor,mem,MSC10,0.525
mem,semantic,MSC10,0.76
mem,glass,MSC10,0.8099999999999999
mem,motor,MSC10,0.665
