train_task,test_task,sub,acc,features
semantic,glass,MSC01,0.71,18
semantic,motor,MSC01,0.8700000000000001,18
semantic,mem,MSC01,0.7699999999999999,18
glass,semantic,MSC01,0.8300000000000001,18
glass,motor,MSC01,0.8150000000000001,18
glass,mem,MSC01,0.8049999999999999,18
motor,semantic,MSC01,0.7799999999999999,18
motor,glass,MSC01,0.76,18
motor,mem,MSC01,0.6950000000000001,18
mem,semantic,MSC01,0.745,18
mem,glass,MSC01,0.8300000000000001,18
mem,motor,MSC01,0.795,18
semantic,glass,MSC02,0.76,18
semantic,motor,MSC02,0.53,18
semantic,mem,MSC02,0.59,18
glass,semantic,MSC02,0.85,18
glass,motor,MSC02,0.495,18
glass,mem,MSC02,0.5849999999999999,18
motor,semantic,MSC02,0.7000000000000002,18
motor,glass,MSC02,0.6849999999999999,18
motor,mem,MSC02,0.4450000000000001,18
mem,semantic,MSC02,0.62,18
mem,glass,MSC02,0.6649999999999999,18
mem,motor,MSC02,0.6399999999999999,18
semantic,glass,MSC03,0.71,18
semantic,motor,MSC03,0.6050000000000001,18
semantic,mem,MSC03,0.74,18
glass,semantic,MSC03,0.76,18
glass,motor,MSC03,0.75,18
glass,mem,MSC03,0.5399999999999999,18
motor,semantic,MSC03,0.5849999999999999,18
motor,glass,MSC03,0.72,18
motor,mem,MSC03,0.595,18
mem,semantic,MSC03,0.78,18
mem,glass,MSC03,0.5700000000000001,18
mem,motor,MSC03,0.6950000000000001,18
semantic,glass,MSC04,0.8900000000000002,18
semantic,motor,MSC04,0.505,18
semantic,mem,MSC04,0.9650000000000001,18
glass,semantic,MSC04,0.9049999999999999,18
glass,motor,MSC04,0.67,18
glass,mem,MSC04,0.7899999999999998,18
motor,semantic,MSC04,0.63,18
motor,glass,MSC04,0.7300000000000001,18
motor,mem,MSC04,0.8200000000000001,18
mem,semantic,MSC04,0.9400000000000001,18
mem,glass,MSC04,0.7999999999999999,18
mem,motor,MSC04,0.6100000000000001,18
semantic,glass,MSC05,0.7899999999999999,18
semantic,motor,MSC05,0.78,18
semantic,mem,MSC05,0.9000000000000001,18
glass,semantic,MSC05,0.8649999999999999,18
glass,motor,MSC05,0.8299999999999998,18
glass,mem,MSC05,0.8399999999999999,18
motor,semantic,MSC05,0.7150000000000001,18
motor,glass,MSC05,0.6950000000000001,18
motor,mem,MSC05,0.755,18
mem,semantic,MSC05,0.8799999999999999,18
mem,glass,MSC05,0.755,18
mem,motor,MSC05,0.8549999999999999,18
semantic,glass,MSC06,0.6000000000000001,18
semantic,motor,MSC06,0.535,18
semantic,mem,MSC06,0.58,18
glass,semantic,MSC06,0.4055555555555556,18
