train_task,test_task,sub,acc,features
semantic,glass,MSC01,0.9000000000000001,48730
semantic,motor,MSC01,0.8099999999999999,48730
semantic,mem,MSC01,0.6650000000000001,48730
glass,semantic,MSC01,0.95,48730
glass,motor,MSC01,0.9349999999999999,48730
glass,mem,MSC01,0.7799999999999999,48730
motor,semantic,MSC01,0.8950000000000001,48730
motor,glass,MSC01,0.8150000000000001,48730
motor,mem,MSC01,0.6500000000000001,48730
mem,semantic,MSC01,1.0,48730
mem,glass,MSC01,0.95,48730
mem,motor,MSC01,1.0,48730
semantic,glass,MSC02,0.685,48730
semantic,motor,MSC02,0.52,48730
semantic,mem,MSC02,0.53,48730
glass,semantic,MSC02,0.875,48730
glass,motor,MSC02,0.5800000000000001,48730
glass,mem,MSC02,0.6399999999999999,48730
motor,semantic,MSC02,0.5449999999999999,48730
motor,glass,MSC02,0.5449999999999999,48730
motor,mem,MSC02,0.5,48730
mem,semantic,MSC02,0.93,48730
mem,glass,MSC02,0.845,48730
mem,motor,MSC02,0.76,48730
semantic,glass,MSC03,0.745,48730
semantic,motor,MSC03,0.8200000000000001,48730
semantic,mem,MSC03,0.735,48730
glass,semantic,MSC03,0.85,48730
glass,motor,MSC03,0.95,48730
glass,mem,MSC03,0.7849999999999999,48730
motor,semantic,MSC03,0.51,48730
motor,glass,MSC03,0.74,48730
motor,mem,MSC03,0.575,48730
mem,semantic,MSC03,0.76,48730
mem,glass,MSC03,0.6,48730
mem,motor,MSC03,0.93,48730
semantic,glass,MSC04,0.8699999999999999,48730
semantic,motor,MSC04,0.63,48730
semantic,mem,MSC04,0.77,48730
glass,semantic,MSC04,0.985,48730
glass,motor,MSC04,0.9399999999999998,48730
glass,mem,MSC04,0.925,48730
motor,semantic,MSC04,0.605,48730
motor,glass,MSC04,0.96,48730
motor,mem,MSC04,0.6549999999999999,48730
mem,semantic,MSC04,0.9550000000000001,48730
mem,glass,MSC04,0.945,48730
mem,motor,MSC04,0.825,48730
semantic,glass,MSC05,0.8950000000000001,48730
semantic,motor,MSC05,0.745,48730
semantic,mem,MSC05,1.0,48730
glass,semantic,MSC05,0.985,48730
glass,motor,MSC05,0.8950000000000001,48730
glass,mem,MSC05,0.9949999999999999,48730
motor,semantic,MSC05,0.725,48730
motor,glass,MSC05,0.7849999999999999,48730
motor,mem,MSC05,0.95,48730
mem,semantic,MSC05,0.925,48730
mem,glass,MSC05,0.945,48730
mem,motor,MSC05,1.0,48730
semantic,glass,MSC06,0.7722222222222221,48730
semantic,motor,MSC06,0.6399999999999999,48730
semantic,mem,MSC06,0.95,48730
