train,task,same_sub,diff,feature,Null_Network
MSC01,semantic,0.95,0.7675000000000001,14808,unassign
MSC02,semantic,0.95,0.405,14808,unassign
MSC03,semantic,0.95,0.781578947368421,14808,unassign
MSC04,semantic,0.95,0.665,14808,unassign
MSC05,semantic,1.0,0.7775,14808,unassign
MSC06,semantic,1.0,0.8078947368421052,14808,unassign
MSC07,semantic,1.0,0.6461538461538462,14808,unassign
MSC10,semantic,0.95,0.8049999999999999,14808,unassign
MSC01,glass,0.9,0.8674999999999999,14808,unassign
MSC02,glass,0.9,0.755,14808,unassign
MSC03,glass,0.9,0.7710526315789474,14808,unassign
MSC04,glass,0.95,0.94,14808,unassign
MSC05,glass,0.95,0.9225,14808,unassign
MSC06,glass,0.8888888888888888,0.9230769230769231,14808,unassign
MSC07,glass,0.95,0.823076923076923,14808,unassign
MSC10,glass,0.85,0.86,14808,unassign
MSC01,motor,1.0,0.7625,14808,unassign
MSC02,motor,0.95,0.2975,14808,unassign
MSC03,motor,1.0,0.5578947368421052,14808,unassign
MSC04,motor,1.0,0.77,14808,unassign
MSC05,motor,1.0,0.6725,14808,unassign
MSC06,motor,1.0,0.6438746438746439,14808,unassign
MSC07,motor,1.0,0.3388888888888889,14808,unassign
MSC10,motor,1.0,0.6325000000000001,14808,unassign
MSC01,mem,1.0,0.9425,14808,unassign
MSC02,mem,1.0,0.845,14808,unassign
MSC03,mem,1.0,0.83125,14808,unassign
MSC04,mem,1.0,0.9125,14808,unassign
MSC05,mem,1.0,0.9775,14808,unassign
MSC06,mem,1.0,0.8842105263157894,14808,unassign
MSC07,mem,1.0,0.8333333333333333,14808,unassign
MSC10,mem,0.95,0.9125,14808,unassign
MSC01,semantic,1.0,0.7675000000000001,14808,unassign
MSC02,semantic,0.95,0.4,14808,unassign
MSC03,semantic,0.95,0.7684210526315789,14808,unassign
MSC04,semantic,0.95,0.6825,14808,unassign
MSC05,semantic,1.0,0.7825,14808,unassign
MSC06,semantic,1.0,0.8447368421052631,14808,unassign
MSC07,semantic,1.0,0.6128205128205129,14808,unassign
MSC10,semantic,0.95,0.7875,14808,unassign
MSC01,glass,0.9,0.875,14808,unassign
MSC02,glass,0.95,0.73,14808,unassign
MSC03,glass,0.95,0.7736842105263158,14808,unassign
MSC04,glass,0.95,0.935,14808,unassign
MSC05,glass,0.95,0.915,14808,unassign
MSC06,glass,0.8888888888888888,0.9259259259259259,14808,unassign
MSC07,glass,0.95,0.8076923076923077,14808,unassign
MSC10,glass,0.85,0.865,14808,unassign
MSC01,motor,1.0,0.7825,14808,unassign
MSC02,motor,0.95,0.2925,14808,unassign
MSC03,motor,1.0,0.5605263157894738,14808,unassign
MSC04,motor,1.0,0.7725,14808,unassign
MSC05,motor,1.0,0.6875,14808,unassign
MSC06,motor,1.0,0.6381766381766382,14808,unassign
MSC07,motor,1.0,0.32222222222222224,14808,unassign
MSC10,motor,1.0,0.615,14808,unassign
MSC01,mem,1.0,0.9425,14808,unassign
MSC02,mem,1.0,0.8475,14808,unassign
MSC03,mem,1.0,0.8375,14808,unassign
MSC04,mem,1.0,0.8875,14808,unassign
MSC05,mem,1.0,0.9625,14808,unassign
MSC06,mem,1.0,0.8631578947368421,14808,unassign
MSC07,mem,1.0,0.7897435897435897,14808,unassign
MSC10,mem,0.95,0.9025,14808,unassign
MSC01,semantic,0.95,0.7725,14808,unassign
