Network,Acc,features,mu,std,z_score
unassign,0.7415740740740739,14808,0.8019849537037037,0.1468564859021821,-0.4113599699632479
default,0.8075057870370369,10824,0.799890046296296,0.1444335492920168,0.05272833616615857
visual,0.7557754629629629,8736,0.810266203703704,0.1499798985700819,-0.3633202933210335
fp,0.8118981481481482,4620,0.8127835648148145,0.1453711723277193,-0.006090730730782411
dan,0.8047743055555555,5264,0.7941550925925928,0.1497492810269034,0.07091328178767646
van,0.7811168981481482,3151,0.7977141203703703,0.1500873877954257,-0.11058372369598857
salience,0.7480150462962962,484,0.76859375,0.14087132440563827,-0.14608156621320223
co,0.8078819444444445,4060,0.8065682870370369,0.1431561758165179,0.009176393543030481
sm,0.7653703703703704,2375,0.8086053240740739,0.15142558426004787,-0.2855194775372623
sm-lat,0.6904050925925925,316,0.7975462962962959,0.12955350591365813,-0.8270035067604301
auditory,0.7263773148148149,564,0.7987962962962961,0.14581648561365237,-0.49664467756655906
pmn,0.6801331018518518,45,0.7340740740740741,0.10417972757624239,-0.5177684130796596
pon,0.6948263888888889,21,0.6556915509259256,0.11823881505418322,0.33098131053689706
