train_sub,test_sub,cv,ds
MSC01,MSC02,0.875,0.8125
MSC01,MSC03,0.875,0.6939102564102564
MSC01,MSC04,0.875,0.7971875
MSC01,MSC05,0.875,0.86375
MSC01,MSC06,0.875,0.7631410256410256
MSC01,MSC07,0.875,0.5867088607594937
MSC01,MSC10,0.875,0.6259375
MSC02,MSC01,0.8625,0.7115625
MSC02,MSC03,0.8625,0.7903846153846154
MSC02,MSC04,0.8625,0.7696875
MSC02,MSC05,0.8625,0.9134375
MSC02,MSC06,0.8625,0.6573717948717949
MSC02,MSC07,0.8625,0.55
MSC02,MSC10,0.8625,0.7525
MSC03,MSC01,0.9736842105263158,0.81875
MSC03,MSC02,0.9736842105263158,0.8174342105263158
MSC03,MSC04,0.9736842105263158,0.7394736842105263
MSC03,MSC05,0.9736842105263158,0.8302631578947368
MSC03,MSC06,0.9736842105263158,0.9132928475033738
MSC03,MSC07,0.9736842105263158,0.6232511658894071
MSC03,MSC10,0.9736842105263158,0.5388157894736842
MSC04,MSC01,0.8875,0.6821875000000001
MSC04,MSC02,0.8875,0.784375
MSC04,MSC03,0.8875,0.705448717948718
MSC04,MSC05,0.8875,0.830625
MSC04,MSC06,0.8875,0.6134615384615385
MSC04,MSC07,0.8875,0.6376582278481013
MSC04,MSC10,0.8875,0.7084375
MSC05,MSC01,0.95,0.5915625
MSC05,MSC02,0.95,0.8134375
MSC05,MSC03,0.95,0.7410256410256411
MSC05,MSC04,0.95,0.57875
MSC05,MSC06,0.95,0.7830128205128205
MSC05,MSC07,0.95,0.5939873417721518
MSC05,MSC10,0.95,0.6984374999999999
MSC06,MSC01,0.9736842105263158,0.6888157894736842
MSC06,MSC02,0.9736842105263158,0.6644736842105263
MSC06,MSC03,0.9736842105263158,0.8201754385964912
MSC06,MSC04,0.9736842105263158,0.7269736842105263
MSC06,MSC05,0.9736842105263158,0.84375
MSC06,MSC07,0.9736842105263158,0.5676215856095936
MSC06,MSC10,0.9736842105263158,0.4963815789473684
MSC07,MSC01,0.9358974358974359,0.8214743589743589
MSC07,MSC02,0.9358974358974359,0.7564102564102564
MSC07,MSC03,0.9358974358974359,0.6554898093359632
MSC07,MSC04,0.9358974358974359,0.7894230769230769
MSC07,MSC05,0.9358974358974359,0.7131410256410257
MSC07,MSC06,0.9358974358974359,0.6738987508218277
MSC07,MSC10,0.9358974358974359,0.7086538461538462
MSC10,MSC01,0.875,0.5628125
MSC10,MSC02,0.875,0.716875
MSC10,MSC03,0.875,0.5288461538461539
MSC10,MSC04,0.875,0.5240625
MSC10,MSC05,0.875,0.6012500000000001
MSC10,MSC06,0.875,0.5189102564102565
MSC10,MSC07,0.875,0.6575949367088607
