train,same_sub,diff_sub,feature,Network
MSC01,0.925,0.5883720930232558,14808,unassign
MSC02,0.975,0.627906976744186,14808,unassign
MSC03,0.890625,0.5080500894454383,14808,unassign
MSC04,0.9875,0.5710196779964222,14808,unassign
MSC05,0.975,0.6527728085867621,14808,unassign
MSC06,0.9027777777777778,0.5496031746031746,14808,unassign
MSC07,0.9583333333333334,0.5750347843371099,14808,unassign
MSC10,0.925,0.6504472271914132,14808,unassign
MSC01,0.9875,0.6817531305903399,10824,default
MSC02,0.9375,0.7214669051878354,10824,default
MSC03,0.921875,0.6037567084078712,10824,default
MSC04,0.9375,0.774597495527728,10824,default
MSC05,0.9875,0.7452593917710197,10824,default
MSC06,0.9722222222222222,0.7166666666666667,10824,default
MSC07,1.0,0.7586960842774796,10824,default
MSC10,0.95,0.6339892665474061,10824,default
MSC01,1.0,0.553309481216458,8736,visual
MSC02,0.9625,0.7901610017889088,8736,visual
MSC03,0.953125,0.6735241502683363,8736,visual
MSC04,0.95,0.5688729874776386,8736,visual
MSC05,0.975,0.7078711985688729,8736,visual
MSC06,0.9861111111111112,0.7531746031746032,8736,visual
MSC07,0.9305555555555556,0.6211488769628305,8736,visual
MSC10,0.875,0.583005366726297,8736,visual
MSC01,0.9875,0.501252236135957,4620,fp
MSC02,0.975,0.7783542039355993,4620,fp
MSC03,0.890625,0.5270572450805009,4620,fp
MSC04,0.9375,0.7041144901610018,4620,fp
MSC05,0.975,0.6012522361359571,4620,fp
MSC06,0.9722222222222222,0.635515873015873,4620,fp
MSC07,0.9444444444444444,0.5984893659312264,4620,fp
MSC10,0.9,0.6128801431127012,4620,fp
MSC01,0.975,0.4991055456171735,5264,dan
MSC02,0.975,0.7465116279069768,5264,dan
MSC03,0.96875,0.5409212880143113,5264,dan
MSC04,0.975,0.584257602862254,5264,dan
MSC05,0.9875,0.6581395348837209,5264,dan
MSC06,0.9722222222222222,0.6513888888888889,5264,dan
MSC07,0.9722222222222222,0.6285032796660703,5264,dan
MSC10,0.9,0.5889087656529517,5264,dan
MSC01,0.9625,0.6416815742397137,3151,van
MSC02,0.925,0.6237924865831843,3151,van
MSC03,0.921875,0.5661896243291592,3151,van
MSC04,0.9125,0.6200357781753131,3151,van
MSC05,0.9875,0.6611806797853309,3151,van
MSC06,0.9861111111111112,0.5621031746031746,3151,van
MSC07,0.9305555555555556,0.5503875968992248,3151,van
MSC10,0.95,0.6644007155635062,3151,van
MSC01,0.925,0.5493738819320215,494,salience
MSC02,0.8125,0.629695885509839,494,salience
MSC03,0.921875,0.6744186046511628,494,salience
MSC04,0.8625,0.6726296958855098,494,salience
MSC05,0.9,0.5792486583184258,494,salience
MSC06,0.9305555555555556,0.6813492063492064,494,salience
MSC07,0.9027777777777778,0.5595309083681177,494,salience
MSC10,0.825,0.6701252236135957,494,salience
MSC01,1.0,0.6985688729874776,4060,co
MSC02,0.95,0.6762075134168157,4060,co
MSC03,0.875,0.7086314847942755,4060,co
MSC04,0.9,0.6629695885509839,4060,co
MSC05,0.9625,0.5447227191413238,4060,co
MSC06,0.9305555555555556,0.623015873015873,4060,co
MSC07,0.9444444444444444,0.6517590936195587,4060,co
MSC10,0.9,0.5679785330948122,4060,co
MSC01,0.9625,0.518783542039356,2375,sm
MSC02,0.8875,0.6779964221824687,2375,sm
MSC03,0.96875,0.5905635062611807,2375,sm
MSC04,0.925,0.6067978533094812,2375,sm
MSC05,0.95,0.6076923076923078,2375,sm
MSC06,0.9166666666666666,0.6599206349206349,2375,sm
MSC07,0.9027777777777778,0.5923275690717551,2375,sm
MSC10,0.9625,0.6341681574239714,2375,sm
MSC01,0.8875,0.5180679785330948,316,sm-lat
MSC02,0.825,0.604293381037567,316,sm-lat
MSC03,0.765625,0.5599284436493739,316,sm-lat
MSC04,0.7375,0.6128801431127012,316,sm-lat
MSC05,0.825,0.5236135957066189,316,sm-lat
MSC06,0.6805555555555556,0.5865079365079365,316,sm-lat
MSC07,0.8888888888888888,0.6042536275094414,316,sm-lat
MSC10,0.7625,0.560644007155635,316,sm-lat
MSC01,0.9625,0.5606440071556351,564,auditory
MSC02,0.85,0.5123434704830053,564,auditory
MSC03,0.90625,0.5344364937388193,564,auditory
MSC04,0.775,0.58783542039356,564,auditory
MSC05,0.875,0.5085867620751342,564,auditory
MSC06,0.9305555555555556,0.5523809523809524,564,auditory
MSC07,0.7638888888888888,0.5923275690717551,564,auditory
MSC10,0.85,0.5508050089445439,564,auditory
MSC01,0.825,0.5082289803220036,45,pmn
MSC02,0.6875,0.5810375670840787,45,pmn
MSC03,0.625,0.5601520572450805,45,pmn
MSC04,0.8375,0.5434704830053667,45,pmn
MSC05,0.8125,0.5318425760286225,45,pmn
MSC06,0.7638888888888888,0.6168650793650794,45,pmn
MSC07,0.8194444444444444,0.5330948121645797,45,pmn
MSC10,0.875,0.5667262969588551,45,pmn
MSC01,0.8125,0.5667262969588551,21,pon
MSC02,0.8125,0.5069767441860464,21,pon
MSC03,0.734375,0.5205724508050089,21,pon
MSC04,0.8125,0.5422182468694097,21,pon
MSC05,0.6,0.5574239713774597,21,pon
MSC06,0.7222222222222222,0.5496031746031745,21,pon
MSC07,0.5694444444444444,0.533889882727092,21,pon
MSC10,0.6375,0.5125223613595706,21,pon
