train_task,test_task,train_sub,test_sub,acc,network,feature
semantic,glass,MSC01,MSC02,0.53,unassign,14808
semantic,motor,MSC01,MSC02,0.5,unassign,14808
semantic,mem,MSC01,MSC02,0.5,unassign,14808
glass,semantic,MSC01,MSC02,0.5,unassign,14808
glass,motor,MSC01,MSC02,0.5,unassign,14808
glass,mem,MSC01,MSC02,0.5,unassign,14808
motor,semantic,MSC01,MSC02,0.5650000000000001,unassign,14808
motor,glass,MSC01,MSC02,0.51,unassign,14808
motor,mem,MSC01,MSC02,0.5,unassign,14808
mem,semantic,MSC01,MSC02,0.76,unassign,14808
mem,glass,MSC01,MSC02,0.9000000000000001,unassign,14808
mem,motor,MSC01,MSC02,0.7000000000000001,unassign,14808
semantic,glass,MSC01,MSC03,0.5,unassign,14808
semantic,motor,MSC01,MSC03,0.5,unassign,14808
semantic,mem,MSC01,MSC03,0.5,unassign,14808
glass,semantic,MSC01,MSC03,0.5,unassign,14808
glass,motor,MSC01,MSC03,0.5,unassign,14808
glass,mem,MSC01,MSC03,0.5,unassign,14808
motor,semantic,MSC01,MSC03,0.505,unassign,14808
motor,glass,MSC01,MSC03,0.495,unassign,14808
motor,mem,MSC01,MSC03,0.505,unassign,14808
mem,semantic,MSC01,MSC03,0.78,unassign,14808
mem,glass,MSC01,MSC03,0.76,unassign,14808
mem,motor,MSC01,MSC03,0.7849999999999999,unassign,14808
semantic,glass,MSC01,MSC04,0.5,unassign,14808
semantic,motor,MSC01,MSC04,0.5,unassign,14808
semantic,mem,MSC01,MSC04,0.5,unassign,14808
glass,semantic,MSC01,MSC04,0.5,unassign,14808
glass,motor,MSC01,MSC04,0.5,unassign,14808
glass,mem,MSC01,MSC04,0.5,unassign,14808
motor,semantic,MSC01,MSC04,0.52,unassign,14808
motor,glass,MSC01,MSC04,0.5399999999999999,unassign,14808
motor,mem,MSC01,MSC04,0.5,unassign,14808
mem,semantic,MSC01,MSC04,0.7899999999999998,unassign,14808
mem,glass,MSC01,MSC04,0.7849999999999999,unassign,14808
mem,motor,MSC01,MSC04,0.7899999999999999,unassign,14808
semantic,glass,MSC01,MSC05,0.5,unassign,14808
semantic,motor,MSC01,MSC05,0.5,unassign,14808
semantic,mem,MSC01,MSC05,0.5,unassign,14808
glass,semantic,MSC01,MSC05,0.5,unassign,14808
glass,motor,MSC01,MSC05,0.5,unassign,14808
glass,mem,MSC01,MSC05,0.5,unassign,14808
motor,semantic,MSC01,MSC05,0.5,unassign,14808
motor,glass,MSC01,MSC05,0.5299999999999999,unassign,14808
motor,mem,MSC01,MSC05,0.5,unassign,14808
mem,semantic,MSC01,MSC05,0.5499999999999999,unassign,14808
mem,glass,MSC01,MSC05,0.505,unassign,14808
mem,motor,MSC01,MSC05,0.5349999999999999,unassign,14808
semantic,glass,MSC01,MSC06,0.5263157894736842,unassign,14808
semantic,motor,MSC01,MSC06,0.5,unassign,14808
semantic,mem,MSC01,MSC06,0.5,unassign,14808
glass,semantic,MSC01,MSC06,0.505,unassign,14808
glass,motor,MSC01,MSC06,0.5,unassign,14808
glass,mem,MSC01,MSC06,0.5,unassign,14808
motor,semantic,MSC01,MSC06,0.5349999999999999,unassign,14808
motor,glass,MSC01,MSC06,0.5263157894736842,unassign,14808
motor,mem,MSC01,MSC06,0.5,unassign,14808
mem,semantic,MSC01,MSC06,0.6900000000000001,unassign,14808
mem,glass,MSC01,MSC06,0.6210526315789474,unassign,14808
mem,motor,MSC01,MSC06,0.595,unassign,14808
semantic,glass,MSC01,MSC07,0.5,unassign,14808
semantic,motor,MSC01,MSC07,0.5,unassign,14808
semantic,mem,MSC01,MSC07,0.5,unassign,14808
glass,semantic,MSC01,MSC07,0.505,unassign,14808
glass,motor,MSC01,MSC07,0.5,unassign,14808
glass,mem,MSC01,MSC07,0.5,unassign,14808
motor,semantic,MSC01,MSC07,0.6950000000000001,unassign,14808
motor,glass,MSC01,MSC07,0.63,unassign,14808
motor,mem,MSC01,MSC07,0.5750000000000001,unassign,14808
mem,semantic,MSC01,MSC07,0.625,unassign,14808
mem,glass,MSC01,MSC07,0.7649999999999999,unassign,14808
mem,motor,MSC01,MSC07,0.67,unassign,14808
semantic,glass,MSC01,MSC10,0.5,unassign,14808
semantic,motor,MSC01,MSC10,0.5199999999999999,unassign,14808
semantic,mem,MSC01,MSC10,0.5399999999999999,unassign,14808
glass,semantic,MSC01,MSC10,0.53,unassign,14808
glass,motor,MSC01,MSC10,0.505,unassign,14808
glass,mem,MSC01,MSC10,0.5,unassign,14808
motor,semantic,MSC01,MSC10,0.5549999999999999,unassign,14808
motor,glass,MSC01,MSC10,0.5,unassign,14808
motor,mem,MSC01,MSC10,0.5449999999999999,unassign,14808
mem,semantic,MSC01,MSC10,0.7649999999999999,unassign,14808
mem,glass,MSC01,MSC10,0.59,unassign,14808
mem,motor,MSC01,MSC10,0.615,unassign,14808
semantic,glass,MSC02,MSC01,0.51,unassign,14808
semantic,motor,MSC02,MSC01,0.5,unassign,14808
semantic,mem,MSC02,MSC01,0.5,unassign,14808
glass,semantic,MSC02,MSC01,0.5,unassign,14808
glass,motor,MSC02,MSC01,0.5,unassign,14808
glass,mem,MSC02,MSC01,0.5,unassign,14808
motor,semantic,MSC02,MSC01,0.5,unassign,14808
