train,task,same_sub,diff_sub,feature,Network
MSC01,semantic,0.8,0.5092857142857143,unassign,14808
MSC02,semantic,0.85,0.525,unassign,14808
MSC03,semantic,0.85,0.5085714285714286,unassign,14808
MSC04,semantic,0.85,0.5871428571428572,unassign,14808
MSC05,semantic,0.95,0.5978571428571429,unassign,14808
MSC06,semantic,0.8,0.6264285714285714,unassign,14808
MSC07,semantic,0.9,0.5357142857142857,unassign,14808
MSC10,semantic,0.65,0.5242857142857142,unassign,14808
MSC01,glass,0.85,0.5071942446043165,unassign,14808
MSC02,glass,0.65,0.516546762589928,unassign,14808
MSC03,glass,0.65,0.5107913669064749,unassign,14808
MSC04,glass,0.85,0.5525179856115108,unassign,14808
MSC05,glass,0.8,0.5035971223021583,unassign,14808
MSC06,glass,0.6666666666666666,0.5428571428571428,unassign,14808
MSC07,glass,0.75,0.5028776978417266,unassign,14808
MSC10,glass,0.75,0.520863309352518,unassign,14808
MSC01,motor,0.9,0.5735714285714286,unassign,14808
MSC02,motor,0.95,0.5457142857142857,unassign,14808
MSC03,motor,0.95,0.6885714285714285,unassign,14808
MSC04,motor,0.95,0.7721428571428571,unassign,14808
MSC05,motor,1.0,0.6028571428571429,unassign,14808
MSC06,motor,0.9,0.5864285714285714,unassign,14808
MSC07,motor,0.8,0.5857142857142857,unassign,14808
MSC10,motor,0.85,0.6014285714285714,unassign,14808
MSC01,mem,0.9,0.7964285714285715,unassign,14808
MSC02,mem,0.95,0.7792857142857142,unassign,14808
MSC03,mem,0.9,0.5257142857142857,unassign,14808
MSC04,mem,1.0,0.7328571428571429,unassign,14808
MSC05,mem,1.0,0.7685714285714286,unassign,14808
MSC06,mem,0.95,0.795,unassign,14808
MSC07,mem,0.95,0.6892857142857143,unassign,14808
MSC10,mem,0.85,0.7485714285714286,unassign,14808
MSC01,semantic,0.95,0.8564285714285714,default,10824
MSC02,semantic,0.95,0.6414285714285715,default,10824
MSC03,semantic,0.85,0.5764285714285714,default,10824
MSC04,semantic,0.95,0.685,default,10824
MSC05,semantic,0.95,0.6821428571428572,default,10824
MSC06,semantic,0.9,0.7035714285714285,default,10824
MSC07,semantic,1.0,0.6235714285714286,default,10824
MSC10,semantic,0.9,0.84,default,10824
MSC01,glass,0.9,0.6805755395683453,default,10824
MSC02,glass,0.85,0.6539568345323741,default,10824
MSC03,glass,0.95,0.5330935251798561,default,10824
MSC04,glass,0.95,0.7323741007194244,default,10824
MSC05,glass,0.95,0.5863309352517986,default,10824
MSC06,glass,0.8333333333333334,0.6341269841269841,default,10824
MSC07,glass,0.85,0.5366906474820143,default,10824
MSC10,glass,0.85,0.7726618705035971,default,10824
MSC01,motor,1.0,0.8607142857142858,default,10824
MSC02,motor,0.95,0.62,default,10824
MSC03,motor,0.9,0.8421428571428572,default,10824
MSC04,motor,1.0,0.9078571428571428,default,10824
MSC05,motor,0.95,0.645,default,10824
MSC06,motor,1.0,0.6807142857142857,default,10824
MSC07,motor,1.0,0.8307142857142857,default,10824
MSC10,motor,1.0,0.9257142857142857,default,10824
MSC01,mem,1.0,0.9021428571428571,default,10824
MSC02,mem,1.0,0.8835714285714286,default,10824
MSC03,mem,0.9,0.8114285714285714,default,10824
MSC04,mem,1.0,0.8828571428571429,default,10824
MSC05,mem,1.0,0.7171428571428571,default,10824
MSC06,mem,1.0,0.8878571428571429,default,10824
MSC07,mem,0.9,0.9314285714285714,default,10824
MSC10,mem,1.0,0.81,default,10824
MSC01,semantic,0.95,0.6814285714285714,visual,8736
MSC02,semantic,0.9,0.5307142857142857,visual,8736
MSC03,semantic,0.8,0.5007142857142857,visual,8736
MSC04,semantic,0.95,0.7235714285714285,visual,8736
MSC05,semantic,0.95,0.7764285714285715,visual,8736
MSC06,semantic,0.9,0.7535714285714286,visual,8736
MSC07,semantic,0.9,0.5571428571428572,visual,8736
MSC10,semantic,0.7,0.7078571428571429,visual,8736
MSC01,glass,0.95,0.6705035971223021,visual,8736
MSC02,glass,0.95,0.5697841726618705,visual,8736
MSC03,glass,0.85,0.5223021582733813,visual,8736
MSC04,glass,0.95,0.7546762589928058,visual,8736
MSC05,glass,1.0,0.7028776978417266,visual,8736
MSC06,glass,0.6666666666666666,0.6087301587301588,visual,8736
MSC07,glass,0.9,0.516546762589928,visual,8736
MSC10,glass,0.75,0.5913669064748202,visual,8736
MSC01,motor,1.0,0.855,visual,8736
MSC02,motor,1.0,0.7471428571428571,visual,8736
MSC03,motor,1.0,0.6735714285714286,visual,8736
MSC04,motor,1.0,0.9092857142857143,visual,8736
MSC05,motor,0.95,0.6928571428571428,visual,8736
MSC06,motor,1.0,0.7821428571428571,visual,8736
MSC07,motor,0.9,0.6292857142857143,visual,8736
MSC10,motor,1.0,0.8878571428571429,visual,8736
MSC01,mem,1.0,0.8407142857142857,visual,8736
MSC02,mem,1.0,0.9128571428571428,visual,8736
MSC03,mem,1.0,0.7428571428571429,visual,8736
MSC04,mem,1.0,0.7971428571428572,visual,8736
MSC05,mem,1.0,0.7957142857142857,visual,8736
MSC06,mem,1.0,0.8714285714285714,visual,8736
MSC07,mem,1.0,0.845,visual,8736
MSC10,mem,0.9,0.7871428571428571,visual,8736
MSC01,semantic,0.95,0.6392857142857142,fp,4620
MSC02,semantic,0.85,0.5935714285714286,fp,4620
MSC03,semantic,0.85,0.65,fp,4620
MSC04,semantic,0.95,0.7571428571428571,fp,4620
MSC05,semantic,1.0,0.8264285714285714,fp,4620
MSC06,semantic,0.9,0.8228571428571428,fp,4620
MSC07,semantic,1.0,0.6814285714285714,fp,4620
MSC10,semantic,0.95,0.8542857142857143,fp,4620
MSC01,glass,0.9,0.5086330935251798,fp,4620
MSC02,glass,0.85,0.6172661870503597,fp,4620
MSC03,glass,0.85,0.5244604316546763,fp,4620
MSC04,glass,1.0,0.6899280575539568,fp,4620
MSC05,glass,0.95,0.6661870503597123,fp,4620
MSC06,glass,0.8888888888888888,0.5944444444444444,fp,4620
MSC07,glass,0.95,0.6258992805755396,fp,4620
MSC10,glass,0.75,0.737410071942446,fp,4620
MSC01,motor,1.0,0.5228571428571428,fp,4620
MSC02,motor,0.85,0.5,fp,4620
MSC03,motor,0.95,0.8321428571428572,fp,4620
MSC04,motor,1.0,0.8471428571428571,fp,4620
MSC05,motor,1.0,0.795,fp,4620
MSC06,motor,0.95,0.6014285714285714,fp,4620
MSC07,motor,0.95,0.6364285714285715,fp,4620
MSC10,motor,0.95,0.7564285714285715,fp,4620
MSC01,mem,1.0,0.5078571428571429,fp,4620
MSC02,mem,0.95,0.8757142857142857,fp,4620
MSC03,mem,0.95,0.5885714285714285,fp,4620
MSC04,mem,1.0,0.8178571428571428,fp,4620
MSC05,mem,1.0,0.7235714285714285,fp,4620
MSC06,mem,1.0,0.7842857142857143,fp,4620
MSC07,mem,0.95,0.6807142857142857,fp,4620
MSC10,mem,1.0,0.7692857142857142,fp,4620
MSC01,semantic,1.0,0.8828571428571429,dan,5264
MSC02,semantic,0.9,0.6107142857142858,dan,5264
MSC03,semantic,0.95,0.6728571428571428,dan,5264
MSC04,semantic,0.95,0.8557142857142858,dan,5264
MSC05,semantic,0.95,0.7007142857142857,dan,5264
MSC06,semantic,0.95,0.7892857142857143,dan,5264
MSC07,semantic,1.0,0.6857142857142857,dan,5264
MSC10,semantic,0.8,0.8421428571428572,dan,5264
MSC01,glass,0.9,0.6503597122302158,dan,5264
MSC02,glass,0.85,0.5510791366906475,dan,5264
