train,task,same_sub,diff,feature,Network
MSC01,semantic,0.9,0.71,unassign,14808
MSC02,semantic,0.9,0.33999999999999997,unassign,14808
MSC03,semantic,0.9,0.6025,unassign,14808
MSC04,semantic,0.95,0.685,unassign,14808
MSC05,semantic,0.95,0.52,unassign,14808
MSC06,semantic,0.9,0.7205128205128205,unassign,14808
MSC07,semantic,0.9,0.7025,unassign,14808
MSC10,semantic,0.85,0.6925,unassign,14808
MSC01,glass,0.9,0.7525,unassign,14808
MSC02,glass,0.7,0.46499999999999997,unassign,14808
MSC03,glass,0.75,0.6875,unassign,14808
MSC04,glass,0.9,0.795,unassign,14808
MSC05,glass,0.8,0.59,unassign,14808
MSC06,glass,0.8888888888888888,0.7555555555555555,unassign,14808
MSC07,glass,0.8,0.705,unassign,14808
MSC10,glass,0.8,0.75,unassign,14808
MSC01,motor,0.95,0.78,unassign,14808
MSC02,motor,0.95,0.2525,unassign,14808
MSC03,motor,1.0,0.40249999999999997,unassign,14808
MSC04,motor,1.0,0.7,unassign,14808
MSC05,motor,1.0,0.315,unassign,14808
MSC06,motor,1.0,0.6102564102564103,unassign,14808
MSC07,motor,0.95,0.41000000000000003,unassign,14808
MSC10,motor,1.0,0.5775,unassign,14808
MSC01,mem,1.0,0.8725,unassign,14808
MSC02,mem,1.0,0.8275,unassign,14808
MSC03,mem,1.0,0.7525,unassign,14808
MSC04,mem,1.0,0.8925,unassign,14808
MSC05,mem,1.0,0.865,unassign,14808
MSC06,mem,1.0,0.7666666666666667,unassign,14808
MSC07,mem,1.0,0.9,unassign,14808
MSC10,mem,0.9,0.835,unassign,14808
MSC01,semantic,1.0,0.8025,default,10824
MSC02,semantic,1.0,0.455,default,10824
MSC03,semantic,0.95,0.6925,default,10824
MSC04,semantic,0.95,0.6875,default,10824
MSC05,semantic,0.95,0.75,default,10824
MSC06,semantic,0.95,0.7871794871794872,default,10824
MSC07,semantic,1.0,0.625,default,10824
MSC10,semantic,0.95,0.7375,default,10824
MSC01,glass,0.95,0.8975,default,10824
MSC02,glass,0.85,0.8125,default,10824
MSC03,glass,0.95,0.6275,default,10824
MSC04,glass,1.0,0.8775,default,10824
MSC05,glass,0.95,0.9275,default,10824
MSC06,glass,0.8888888888888888,0.9305555555555556,default,10824
MSC07,glass,0.9,0.84,default,10824
MSC10,glass,0.9,0.885,default,10824
MSC01,motor,1.0,0.8,default,10824
MSC02,motor,0.95,0.46499999999999997,default,10824
MSC03,motor,0.95,0.46,default,10824
MSC04,motor,0.95,0.6,default,10824
MSC05,motor,0.95,0.7725,default,10824
MSC06,motor,1.0,0.7230769230769231,default,10824
MSC07,motor,0.95,0.43,default,10824
MSC10,motor,1.0,0.6575,default,10824
MSC01,mem,1.0,0.9400000000000001,default,10824
MSC02,mem,1.0,0.79,default,10824
MSC03,mem,0.95,0.62,default,10824
MSC04,mem,1.0,0.7975,default,10824
MSC05,mem,1.0,0.865,default,10824
MSC06,mem,1.0,0.9282051282051282,default,10824
MSC07,mem,1.0,0.8425,default,10824
MSC10,mem,0.9,0.89,default,10824
MSC01,semantic,0.95,0.705,visual,8736
MSC02,semantic,0.95,0.5025000000000001,visual,8736
MSC03,semantic,0.95,0.6775,visual,8736
MSC04,semantic,1.0,0.66,visual,8736
MSC05,semantic,0.95,0.6775,visual,8736
MSC06,semantic,0.9,0.7384615384615385,visual,8736
MSC07,semantic,0.95,0.495,visual,8736
MSC10,semantic,0.7,0.75,visual,8736
MSC01,glass,0.95,0.805,visual,8736
MSC02,glass,0.95,0.665,visual,8736
MSC03,glass,0.9,0.6825,visual,8736
MSC04,glass,1.0,0.845,visual,8736
MSC05,glass,0.95,0.7625,visual,8736
MSC06,glass,0.7777777777777778,0.875,visual,8736
MSC07,glass,0.95,0.6625,visual,8736
MSC10,glass,0.85,0.7675,visual,8736
MSC01,motor,1.0,0.7025,visual,8736
MSC02,motor,1.0,0.4775,visual,8736
MSC03,motor,1.0,0.52,visual,8736
MSC04,motor,1.0,0.7175,visual,8736
MSC05,motor,0.95,0.4375,visual,8736
MSC06,motor,1.0,0.7410256410256411,visual,8736
