,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.8800000000000001
1,semantic,motor,MSC01,0.825
2,semantic,mem,MSC01,0.7999999999999999
3,glass,semantic,MSC01,0.96
4,glass,motor,MSC01,0.945
5,glass,mem,MSC01,0.8299999999999998
6,motor,semantic,MSC01,0.96
7,motor,glass,MSC01,0.9899999999999999
8,motor,mem,MSC01,0.9200000000000002
9,mem,semantic,MSC01,0.95
10,mem,glass,MSC01,0.8949999999999999
11,mem,motor,MSC01,0.8549999999999999
12,semantic,glass,MSC02,0.6849999999999999
13,semantic,motor,MSC02,0.6199999999999999
14,semantic,mem,MSC02,0.45
15,glass,semantic,MSC02,0.6900000000000001
16,glass,motor,MSC02,0.5349999999999999
17,glass,mem,MSC02,0.5149999999999999
18,motor,semantic,MSC02,0.55
19,motor,glass,MSC02,0.5399999999999999
20,motor,mem,MSC02,0.5449999999999999
21,mem,semantic,MSC02,0.505
22,mem,glass,MSC02,0.615
23,mem,motor,MSC02,0.65
24,semantic,glass,MSC03,0.8299999999999998
25,semantic,motor,MSC03,0.8800000000000001
26,semantic,mem,MSC03,0.75
27,glass,semantic,MSC03,0.8400000000000001
28,glass,motor,MSC03,0.75
29,glass,mem,MSC03,0.605
30,motor,semantic,MSC03,0.7150000000000001
31,motor,glass,MSC03,0.63
32,motor,mem,MSC03,0.5599999999999999
33,mem,semantic,MSC03,0.835
34,mem,glass,MSC03,0.61
35,mem,motor,MSC03,0.7449999999999999
36,semantic,glass,MSC04,0.7349999999999999
37,semantic,motor,MSC04,0.5249999999999999
38,semantic,mem,MSC04,0.5449999999999999
39,glass,semantic,MSC04,0.8850000000000001
40,glass,motor,MSC04,0.71
41,glass,mem,MSC04,0.73
42,motor,semantic,MSC04,0.52
43,motor,glass,MSC04,0.705
44,motor,mem,MSC04,0.515
45,mem,semantic,MSC04,0.8150000000000002
46,mem,glass,MSC04,0.7950000000000002
47,mem,motor,MSC04,0.5700000000000001
48,semantic,glass,MSC05,0.5399999999999999
49,semantic,motor,MSC05,0.5149999999999999
50,semantic,mem,MSC05,0.505
51,glass,semantic,MSC05,0.6550000000000001
52,glass,motor,MSC05,0.64
53,glass,mem,MSC05,0.63
54,motor,semantic,MSC05,0.51
55,motor,glass,MSC05,0.565
56,motor,mem,MSC05,0.6650000000000001
57,mem,semantic,MSC05,0.685
58,mem,glass,MSC05,0.7499999999999999
59,mem,motor,MSC05,0.7799999999999999
60,semantic,glass,MSC06,0.6222222222222221
61,semantic,motor,MSC06,0.53
62,semantic,mem,MSC06,0.58
63,glass,semantic,MSC06,0.6444444444444445
64,glass,motor,MSC06,0.5722222222222223
65,glass,mem,MSC06,0.6444444444444445
66,motor,semantic,MSC06,0.5499999999999999
67,motor,glass,MSC06,0.5777777777777777
68,motor,mem,MSC06,0.5549999999999999
69,mem,semantic,MSC06,0.7499999999999999
70,mem,glass,MSC06,0.8666666666666668
71,mem,motor,MSC06,0.645
72,semantic,glass,MSC07,0.945
73,semantic,motor,MSC07,0.76
74,semantic,mem,MSC07,0.5499999999999999
75,glass,semantic,MSC07,0.865
76,glass,motor,MSC07,0.74
77,glass,mem,MSC07,0.5499999999999999
78,motor,semantic,MSC07,0.5499999999999999
79,motor,glass,MSC07,0.71
80,motor,mem,MSC07,0.5
81,mem,semantic,MSC07,0.65
82,mem,glass,MSC07,0.66
83,mem,motor,MSC07,0.775
84,semantic,glass,MSC10,0.885
85,semantic,motor,MSC10,0.8150000000000001
86,semantic,mem,MSC10,0.685
87,glass,semantic,MSC10,0.89
88,glass,motor,MSC10,0.8499999999999999
89,glass,mem,MSC10,0.645
90,motor,semantic,MSC10,0.7050000000000001
91,motor,glass,MSC10,0.78
92,motor,mem,MSC10,0.57
93,mem,semantic,MSC10,0.7749999999999999
94,mem,glass,MSC10,0.7849999999999999
95,mem,motor,MSC10,0.8049999999999999
