,test_task,train_task,Mean,Std
0,glass,mem,0.6428472222222223,0.12506882785225382
1,glass,motor,0.5880257936507938,0.12511614893973141
2,glass,semantic,0.5675992063492064,0.09505306611354196
3,mem,glass,0.6312599206349206,0.1252269092483872
4,mem,motor,0.64125,0.1116742421672803
5,mem,semantic,0.5974999999999999,0.09405027668994143
6,motor,glass,0.5658829365079365,0.1012152187304138
7,motor,mem,0.6593750000000004,0.12197638556853395
8,motor,semantic,0.551607142857143,0.09691658617246422
9,semantic,glass,0.6204662698412701,0.13680053297597503
10,semantic,mem,0.6667857142857142,0.13407741512556556
11,semantic,motor,0.6094642857142855,0.12035054319259739
