,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.8499999999999999
1,semantic,motor,MSC01,0.9000000000000001
2,semantic,mem,MSC01,0.825
3,glass,semantic,MSC01,1.0
4,glass,motor,MSC01,0.8950000000000001
5,glass,mem,MSC01,0.9549999999999998
6,motor,semantic,MSC01,0.89
7,motor,glass,MSC01,0.7100000000000002
8,motor,mem,MSC01,0.7999999999999999
9,mem,semantic,MSC01,1.0
10,mem,glass,MSC01,0.905
11,mem,motor,MSC01,1.0
12,semantic,glass,MSC02,0.7849999999999999
13,semantic,motor,MSC02,0.6250000000000001
14,semantic,mem,MSC02,0.6450000000000001
15,glass,semantic,MSC02,0.7899999999999998
16,glass,motor,MSC02,0.545
17,glass,mem,MSC02,0.795
18,motor,semantic,MSC02,0.525
19,motor,glass,MSC02,0.5549999999999999
20,motor,mem,MSC02,0.5449999999999999
21,mem,semantic,MSC02,0.8349999999999997
22,mem,glass,MSC02,0.8049999999999999
23,mem,motor,MSC02,0.8049999999999999
24,semantic,glass,MSC03,0.77
25,semantic,motor,MSC03,0.7649999999999999
26,semantic,mem,MSC03,0.75
27,glass,semantic,MSC03,0.8700000000000001
28,glass,motor,MSC03,0.8850000000000001
29,glass,mem,MSC03,0.735
30,motor,semantic,MSC03,0.565
31,motor,glass,MSC03,0.7
32,motor,mem,MSC03,0.635
33,mem,semantic,MSC03,0.89
34,mem,glass,MSC03,0.7899999999999999
35,mem,motor,MSC03,0.9800000000000001
36,semantic,glass,MSC04,0.8099999999999999
37,semantic,motor,MSC04,0.6599999999999999
38,semantic,mem,MSC04,0.6700000000000002
39,glass,semantic,MSC04,0.945
40,glass,motor,MSC04,0.9099999999999999
41,glass,mem,MSC04,0.845
42,motor,semantic,MSC04,0.74
43,motor,glass,MSC04,0.845
44,motor,mem,MSC04,0.6900000000000001
45,mem,semantic,MSC04,0.9200000000000002
46,mem,glass,MSC04,0.8549999999999999
47,mem,motor,MSC04,0.8149999999999998
48,semantic,glass,MSC05,0.7949999999999999
49,semantic,motor,MSC05,0.765
50,semantic,mem,MSC05,0.95
51,glass,semantic,MSC05,0.9549999999999998
52,glass,motor,MSC05,0.9800000000000001
53,glass,mem,MSC05,0.9399999999999998
54,motor,semantic,MSC05,0.665
55,motor,glass,MSC05,0.7050000000000001
56,motor,mem,MSC05,0.74
57,mem,semantic,MSC05,0.9000000000000001
58,mem,glass,MSC05,0.755
59,mem,motor,MSC05,0.99
60,semantic,glass,MSC06,0.7611111111111111
61,semantic,motor,MSC06,0.6050000000000001
62,semantic,mem,MSC06,0.8800000000000001
63,glass,semantic,MSC06,0.7777777777777777
64,glass,motor,MSC06,0.5277777777777777
65,glass,mem,MSC06,0.8500000000000001
66,motor,semantic,MSC06,0.5999999999999999
67,motor,glass,MSC06,0.5
68,motor,mem,MSC06,0.59
69,mem,semantic,MSC06,0.715
70,mem,glass,MSC06,0.7333333333333333
71,mem,motor,MSC06,0.64
72,semantic,glass,MSC07,0.945
73,semantic,motor,MSC07,0.63
74,semantic,mem,MSC07,0.7849999999999999
75,glass,semantic,MSC07,0.95
76,glass,motor,MSC07,0.7100000000000001
77,glass,mem,MSC07,0.82
78,motor,semantic,MSC07,0.5849999999999999
79,motor,glass,MSC07,0.51
80,motor,mem,MSC07,0.51
81,mem,semantic,MSC07,0.95
82,mem,glass,MSC07,1.0
83,mem,motor,MSC07,0.9350000000000002
84,semantic,glass,MSC10,0.95
85,semantic,motor,MSC10,0.6250000000000001
86,semantic,mem,MSC10,0.75
87,glass,semantic,MSC10,0.945
88,glass,motor,MSC10,0.6700000000000002
89,glass,mem,MSC10,0.7350000000000001
90,motor,semantic,MSC10,0.575
91,motor,glass,MSC10,0.5599999999999998
92,motor,mem,MSC10,0.5599999999999998
93,mem,semantic,MSC10,0.9200000000000002
94,mem,glass,MSC10,0.8800000000000001
95,mem,motor,MSC10,0.8049999999999999
