,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.835
1,semantic,motor,MSC01,0.825
2,semantic,mem,MSC01,0.8499999999999999
3,glass,semantic,MSC01,0.985
4,glass,motor,MSC01,0.7949999999999998
5,glass,mem,MSC01,0.9250000000000002
6,motor,semantic,MSC01,0.945
7,motor,glass,MSC01,0.75
8,motor,mem,MSC01,0.8400000000000001
9,mem,semantic,MSC01,0.86
10,mem,glass,MSC01,0.9000000000000001
11,mem,motor,MSC01,0.9549999999999998
12,semantic,glass,MSC02,0.875
13,semantic,motor,MSC02,0.64
14,semantic,mem,MSC02,0.7999999999999999
15,glass,semantic,MSC02,0.7250000000000001
16,glass,motor,MSC02,0.7200000000000001
17,glass,mem,MSC02,0.825
18,motor,semantic,MSC02,0.515
19,motor,glass,MSC02,0.68
20,motor,mem,MSC02,0.6300000000000001
21,mem,semantic,MSC02,0.7999999999999999
22,mem,glass,MSC02,0.775
23,mem,motor,MSC02,0.7
24,semantic,glass,MSC03,0.6399999999999999
25,semantic,motor,MSC03,0.51
26,semantic,mem,MSC03,0.7699999999999999
27,glass,semantic,MSC03,0.7599999999999999
28,glass,motor,MSC03,0.915
29,glass,mem,MSC03,0.6850000000000002
30,motor,semantic,MSC03,0.51
31,motor,glass,MSC03,0.7000000000000001
32,motor,mem,MSC03,0.58
33,mem,semantic,MSC03,0.8549999999999999
34,mem,glass,MSC03,0.7699999999999999
35,mem,motor,MSC03,0.9549999999999998
36,semantic,glass,MSC04,0.8049999999999999
37,semantic,motor,MSC04,0.64
38,semantic,mem,MSC04,0.845
39,glass,semantic,MSC04,0.925
40,glass,motor,MSC04,0.8499999999999999
41,glass,mem,MSC04,0.82
42,motor,semantic,MSC04,0.8550000000000001
43,motor,glass,MSC04,0.845
44,motor,mem,MSC04,0.8399999999999999
45,mem,semantic,MSC04,0.9350000000000002
46,mem,glass,MSC04,0.8800000000000001
47,mem,motor,MSC04,0.865
48,semantic,glass,MSC05,0.6300000000000001
49,semantic,motor,MSC05,0.51
50,semantic,mem,MSC05,0.8800000000000001
51,glass,semantic,MSC05,0.9850000000000001
52,glass,motor,MSC05,0.9099999999999999
53,glass,mem,MSC05,0.8700000000000001
54,motor,semantic,MSC05,0.735
55,motor,glass,MSC05,0.775
56,motor,mem,MSC05,0.93
57,mem,semantic,MSC05,0.9349999999999999
58,mem,glass,MSC05,0.6900000000000001
59,mem,motor,MSC05,0.99
60,semantic,glass,MSC06,0.6722222222222223
61,semantic,motor,MSC06,0.685
62,semantic,mem,MSC06,0.925
63,glass,semantic,MSC06,0.7611111111111112
64,glass,motor,MSC06,0.7000000000000001
65,glass,mem,MSC06,0.8999999999999999
66,motor,semantic,MSC06,0.715
67,motor,glass,MSC06,0.5555555555555555
68,motor,mem,MSC06,0.7949999999999999
69,mem,semantic,MSC06,0.8499999999999999
70,mem,glass,MSC06,0.7888888888888889
71,mem,motor,MSC06,0.7050000000000001
72,semantic,glass,MSC07,0.9800000000000001
73,semantic,motor,MSC07,0.685
74,semantic,mem,MSC07,0.7999999999999999
75,glass,semantic,MSC07,0.95
76,glass,motor,MSC07,0.74
77,glass,mem,MSC07,0.9550000000000001
78,motor,semantic,MSC07,0.8099999999999999
79,motor,glass,MSC07,0.725
80,motor,mem,MSC07,0.745
81,mem,semantic,MSC07,0.845
82,mem,glass,MSC07,0.9550000000000001
83,mem,motor,MSC07,0.82
84,semantic,glass,MSC10,0.845
85,semantic,motor,MSC10,0.6599999999999999
86,semantic,mem,MSC10,0.7100000000000001
87,glass,semantic,MSC10,0.7000000000000001
88,glass,motor,MSC10,0.72
89,glass,mem,MSC10,0.65
90,motor,semantic,MSC10,0.725
91,motor,glass,MSC10,0.7150000000000001
92,motor,mem,MSC10,0.74
93,mem,semantic,MSC10,0.72
94,mem,glass,MSC10,0.9349999999999999
95,mem,motor,MSC10,0.945
