,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.7000000000000001
1,semantic,motor,MSC01,0.6900000000000002
2,semantic,mem,MSC01,0.68
3,glass,semantic,MSC01,0.95
4,glass,motor,MSC01,0.9650000000000001
5,glass,mem,MSC01,0.9150000000000003
6,motor,semantic,MSC01,0.865
7,motor,glass,MSC01,0.7849999999999999
8,motor,mem,MSC01,0.685
9,mem,semantic,MSC01,1.0
10,mem,glass,MSC01,0.95
11,mem,motor,MSC01,0.9949999999999999
12,semantic,glass,MSC02,0.6500000000000001
13,semantic,motor,MSC02,0.5
14,semantic,mem,MSC02,0.5599999999999999
15,glass,semantic,MSC02,0.8700000000000001
16,glass,motor,MSC02,0.6599999999999999
17,glass,mem,MSC02,0.82
18,motor,semantic,MSC02,0.57
19,motor,glass,MSC02,0.655
20,motor,mem,MSC02,0.5199999999999999
21,mem,semantic,MSC02,0.8800000000000001
22,mem,glass,MSC02,0.905
23,mem,motor,MSC02,0.655
24,semantic,glass,MSC03,0.645
25,semantic,motor,MSC03,0.96
26,semantic,mem,MSC03,0.82
27,glass,semantic,MSC03,0.8399999999999999
28,glass,motor,MSC03,0.9949999999999999
29,glass,mem,MSC03,0.7000000000000001
30,motor,semantic,MSC03,0.7000000000000001
31,motor,glass,MSC03,0.9
32,motor,mem,MSC03,0.665
33,mem,semantic,MSC03,0.925
34,mem,glass,MSC03,0.745
35,mem,motor,MSC03,0.9550000000000001
36,semantic,glass,MSC04,0.7350000000000001
37,semantic,motor,MSC04,0.5349999999999999
38,semantic,mem,MSC04,0.7799999999999999
39,glass,semantic,MSC04,0.99
40,glass,motor,MSC04,0.905
41,glass,mem,MSC04,0.8799999999999999
42,motor,semantic,MSC04,0.745
43,motor,glass,MSC04,0.95
44,motor,mem,MSC04,0.76
45,mem,semantic,MSC04,0.9850000000000001
46,mem,glass,MSC04,1.0
47,mem,motor,MSC04,0.8099999999999999
48,semantic,glass,MSC05,0.7300000000000001
49,semantic,motor,MSC05,0.755
50,semantic,mem,MSC05,0.89
51,glass,semantic,MSC05,0.975
52,glass,motor,MSC05,0.8549999999999999
53,glass,mem,MSC05,0.9349999999999999
54,motor,semantic,MSC05,0.665
55,motor,glass,MSC05,0.8049999999999999
56,motor,mem,MSC05,0.975
57,mem,semantic,MSC05,0.8949999999999999
58,mem,glass,MSC05,0.9550000000000001
59,mem,motor,MSC05,0.99
60,semantic,glass,MSC06,0.7555555555555555
61,semantic,motor,MSC06,0.8049999999999999
62,semantic,mem,MSC06,0.89
63,glass,semantic,MSC06,0.788888888888889
64,glass,motor,MSC06,0.9333333333333331
65,glass,mem,MSC06,0.9166666666666669
66,motor,semantic,MSC06,0.875
67,motor,glass,MSC06,0.7055555555555556
68,motor,mem,MSC06,0.9100000000000001
69,mem,semantic,MSC06,0.945
70,mem,glass,MSC06,0.8833333333333334
71,mem,motor,MSC06,0.945
72,semantic,glass,MSC07,0.9200000000000002
73,semantic,motor,MSC07,0.57
74,semantic,mem,MSC07,0.6300000000000001
75,glass,semantic,MSC07,0.985
76,glass,motor,MSC07,0.7
77,glass,mem,MSC07,0.8149999999999998
78,motor,semantic,MSC07,0.5949999999999999
79,motor,glass,MSC07,0.5549999999999999
80,motor,mem,MSC07,0.66
81,mem,semantic,MSC07,0.865
82,mem,glass,MSC07,0.9650000000000001
83,mem,motor,MSC07,0.8700000000000001
84,semantic,glass,MSC10,0.7849999999999999
85,semantic,motor,MSC10,0.5700000000000001
86,semantic,mem,MSC10,0.8249999999999998
87,glass,semantic,MSC10,0.8549999999999999
88,glass,motor,MSC10,0.8149999999999998
89,glass,mem,MSC10,0.8399999999999999
90,motor,semantic,MSC10,0.5499999999999999
91,motor,glass,MSC10,0.7849999999999999
92,motor,mem,MSC10,0.605
93,mem,semantic,MSC10,0.6650000000000001
94,mem,glass,MSC10,0.78
95,mem,motor,MSC10,0.925
