,train_task,test_task,train_sub,test_sub,acc
0,semantic,glass,MSC01,MSC02,0.62
1,semantic,motor,MSC01,MSC02,0.5399999999999999
2,semantic,mem,MSC01,MSC02,0.6950000000000001
3,glass,semantic,MSC01,MSC02,0.55
4,glass,motor,MSC01,MSC02,0.505
5,glass,mem,MSC01,MSC02,0.5
6,motor,semantic,MSC01,MSC02,0.685
7,motor,glass,MSC01,MSC02,0.5799999999999998
8,motor,mem,MSC01,MSC02,0.545
9,mem,semantic,MSC01,MSC02,0.74
10,mem,glass,MSC01,MSC02,0.6650000000000001
11,mem,motor,MSC01,MSC02,0.5599999999999999
12,semantic,glass,MSC01,MSC03,0.52
13,semantic,motor,MSC01,MSC03,0.77
14,semantic,mem,MSC01,MSC03,0.85
15,glass,semantic,MSC01,MSC03,0.53
16,glass,motor,MSC01,MSC03,0.68
17,glass,mem,MSC01,MSC03,0.655
18,motor,semantic,MSC01,MSC03,0.49000000000000005
19,motor,glass,MSC01,MSC03,0.55
20,motor,mem,MSC01,MSC03,0.5599999999999999
21,mem,semantic,MSC01,MSC03,0.5900000000000001
22,mem,glass,MSC01,MSC03,0.55
23,mem,motor,MSC01,MSC03,0.77
24,semantic,glass,MSC01,MSC04,0.75
25,semantic,motor,MSC01,MSC04,0.825
26,semantic,mem,MSC01,MSC04,0.85
27,glass,semantic,MSC01,MSC04,0.82
28,glass,motor,MSC01,MSC04,0.865
29,glass,mem,MSC01,MSC04,0.8
30,motor,semantic,MSC01,MSC04,0.755
31,motor,glass,MSC01,MSC04,0.76
32,motor,mem,MSC01,MSC04,0.82
33,mem,semantic,MSC01,MSC04,0.8150000000000001
34,mem,glass,MSC01,MSC04,0.8799999999999999
35,mem,motor,MSC01,MSC04,0.8849999999999998
36,semantic,glass,MSC01,MSC05,0.6249999999999999
37,semantic,motor,MSC01,MSC05,0.65
38,semantic,mem,MSC01,MSC05,0.72
39,glass,semantic,MSC01,MSC05,0.7899999999999998
40,glass,motor,MSC01,MSC05,0.9
41,glass,mem,MSC01,MSC05,0.8800000000000001
42,motor,semantic,MSC01,MSC05,0.8300000000000001
43,motor,glass,MSC01,MSC05,0.725
44,motor,mem,MSC01,MSC05,0.7650000000000001
45,mem,semantic,MSC01,MSC05,0.8499999999999999
46,mem,glass,MSC01,MSC05,0.675
47,mem,motor,MSC01,MSC05,0.9700000000000001
48,semantic,glass,MSC01,MSC06,0.5055555555555555
49,semantic,motor,MSC01,MSC06,0.585
50,semantic,mem,MSC01,MSC06,0.5299999999999999
51,glass,semantic,MSC01,MSC06,0.54
52,glass,motor,MSC01,MSC06,0.625
53,glass,mem,MSC01,MSC06,0.5149999999999999
54,motor,semantic,MSC01,MSC06,0.6449999999999999
55,motor,glass,MSC01,MSC06,0.5888888888888888
56,motor,mem,MSC01,MSC06,0.615
57,mem,semantic,MSC01,MSC06,0.57
58,mem,glass,MSC01,MSC06,0.5499999999999999
59,mem,motor,MSC01,MSC06,0.7000000000000001
60,semantic,glass,MSC01,MSC07,0.93
61,semantic,motor,MSC01,MSC07,0.9649999999999999
62,semantic,mem,MSC01,MSC07,0.8149999999999998
63,glass,semantic,MSC01,MSC07,0.905
64,glass,motor,MSC01,MSC07,0.905
65,glass,mem,MSC01,MSC07,0.59
66,motor,semantic,MSC01,MSC07,0.8699999999999999
67,motor,glass,MSC01,MSC07,0.8550000000000001
68,motor,mem,MSC01,MSC07,0.675
69,mem,semantic,MSC01,MSC07,0.9
70,mem,glass,MSC01,MSC07,0.9200000000000002
71,mem,motor,MSC01,MSC07,0.9099999999999999
72,semantic,glass,MSC01,MSC10,0.705
73,semantic,motor,MSC01,MSC10,0.675
74,semantic,mem,MSC01,MSC10,0.7100000000000001
75,glass,semantic,MSC01,MSC10,0.74
76,glass,motor,MSC01,MSC10,0.6500000000000001
77,glass,mem,MSC01,MSC10,0.5700000000000001
78,motor,semantic,MSC01,MSC10,0.7100000000000001
79,motor,glass,MSC01,MSC10,0.6900000000000001
80,motor,mem,MSC01,MSC10,0.73
81,mem,semantic,MSC01,MSC10,0.885
82,mem,glass,MSC01,MSC10,0.82
83,mem,motor,MSC01,MSC10,0.7550000000000001
84,semantic,glass,MSC02,MSC01,0.5
85,semantic,motor,MSC02,MSC01,0.505
86,semantic,mem,MSC02,MSC01,0.5
87,glass,semantic,MSC02,MSC01,0.515
88,glass,motor,MSC02,MSC01,0.5349999999999999
89,glass,mem,MSC02,MSC01,0.53
90,motor,semantic,MSC02,MSC01,0.5
91,motor,glass,MSC02,MSC01,0.5
92,motor,mem,MSC02,MSC01,0.5
93,mem,semantic,MSC02,MSC01,0.945
94,mem,glass,MSC02,MSC01,0.9650000000000001
95,mem,motor,MSC02,MSC01,0.9750000000000002
96,semantic,glass,MSC02,MSC03,0.535
97,semantic,motor,MSC02,MSC03,0.525
98,semantic,mem,MSC02,MSC03,0.5999999999999999
99,glass,semantic,MSC02,MSC03,0.685
100,glass,motor,MSC02,MSC03,0.5599999999999999
101,glass,mem,MSC02,MSC03,0.665
102,motor,semantic,MSC02,MSC03,0.5849999999999999
103,motor,glass,MSC02,MSC03,0.7549999999999999
104,motor,mem,MSC02,MSC03,0.525
105,mem,semantic,MSC02,MSC03,0.725
106,mem,glass,MSC02,MSC03,0.5849999999999999
107,mem,motor,MSC02,MSC03,0.755
108,semantic,glass,MSC02,MSC04,0.605
109,semantic,motor,MSC02,MSC04,0.62
110,semantic,mem,MSC02,MSC04,0.5399999999999999
