,train_sub,test_sub,task,acc
0,MSC01,MSC02,semantic,0.9000000000000001
1,MSC01,MSC02,glass,0.545
2,MSC01,MSC02,motor,0.635
3,MSC01,MSC02,mem,0.8949999999999999
4,MSC01,MSC03,semantic,0.745
5,MSC01,MSC03,glass,0.49000000000000005
6,MSC01,MSC03,motor,0.835
7,MSC01,MSC03,mem,0.905
8,MSC01,MSC04,semantic,0.8950000000000001
9,MSC01,MSC04,glass,0.875
10,MSC01,MSC04,motor,0.9349999999999999
11,MSC01,MSC04,mem,0.9199999999999999
12,MSC01,MSC05,semantic,0.9349999999999999
13,MSC01,MSC05,glass,0.745
14,MSC01,MSC05,motor,0.95
15,MSC01,MSC05,mem,0.97
16,MSC01,MSC06,semantic,0.67
17,MSC01,MSC06,glass,0.5166666666666666
18,MSC01,MSC06,motor,0.8700000000000001
19,MSC01,MSC06,mem,0.785
20,MSC01,MSC07,semantic,1.0
21,MSC01,MSC07,glass,0.905
22,MSC01,MSC07,motor,0.95
23,MSC01,MSC07,mem,0.9000000000000001
24,MSC01,MSC10,semantic,0.8500000000000002
25,MSC01,MSC10,glass,0.655
26,MSC01,MSC10,motor,0.8499999999999999
27,MSC01,MSC10,mem,0.9400000000000001
28,MSC02,MSC01,semantic,0.5149999999999999
29,MSC02,MSC01,glass,0.575
30,MSC02,MSC01,motor,0.505
31,MSC02,MSC01,mem,0.9800000000000001
32,MSC02,MSC03,semantic,0.6199999999999999
33,MSC02,MSC03,glass,0.615
34,MSC02,MSC03,motor,0.7150000000000001
35,MSC02,MSC03,mem,0.82
36,MSC02,MSC04,semantic,0.53
37,MSC02,MSC04,glass,0.705
38,MSC02,MSC04,motor,0.6900000000000001
39,MSC02,MSC04,mem,0.9949999999999999
40,MSC02,MSC05,semantic,0.7749999999999999
41,MSC02,MSC05,glass,0.735
42,MSC02,MSC05,motor,0.655
43,MSC02,MSC05,mem,0.7949999999999999
44,MSC02,MSC06,semantic,0.8750000000000002
45,MSC02,MSC06,glass,0.7222222222222222
46,MSC02,MSC06,motor,0.75
47,MSC02,MSC06,mem,0.9000000000000001
48,MSC02,MSC07,semantic,0.6099999999999999
49,MSC02,MSC07,glass,0.7100000000000001
50,MSC02,MSC07,motor,0.5149999999999999
51,MSC02,MSC07,mem,0.8049999999999999
52,MSC02,MSC10,semantic,0.565
53,MSC02,MSC10,glass,0.505
54,MSC02,MSC10,motor,0.51
55,MSC02,MSC10,mem,0.8900000000000002
56,MSC03,MSC01,semantic,0.5
57,MSC03,MSC01,glass,0.5
58,MSC03,MSC01,motor,0.8299999999999998
59,MSC03,MSC01,mem,0.625
60,MSC03,MSC02,semantic,0.505
61,MSC03,MSC02,glass,0.5449999999999999
62,MSC03,MSC02,motor,0.915
63,MSC03,MSC02,mem,0.655
64,MSC03,MSC04,semantic,0.5
65,MSC03,MSC04,glass,0.5
66,MSC03,MSC04,motor,0.7799999999999999
67,MSC03,MSC04,mem,0.905
68,MSC03,MSC05,semantic,0.865
69,MSC03,MSC05,glass,0.575
70,MSC03,MSC05,motor,0.9400000000000001
71,MSC03,MSC05,mem,0.96
