,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.8299999999999998
1,semantic,motor,MSC01,0.8700000000000001
2,semantic,mem,MSC01,0.75
3,glass,semantic,MSC01,0.9400000000000001
4,glass,motor,MSC01,0.99
5,glass,mem,MSC01,0.8750000000000002
6,motor,semantic,MSC01,0.8950000000000001
7,motor,glass,MSC01,0.8249999999999998
8,motor,mem,MSC01,0.685
9,mem,semantic,MSC01,0.9949999999999999
10,mem,glass,MSC01,0.9450000000000001
11,mem,motor,MSC01,0.985
12,semantic,glass,MSC02,0.645
13,semantic,motor,MSC02,0.5450000000000002
14,semantic,mem,MSC02,0.5599999999999999
15,glass,semantic,MSC02,0.7999999999999999
16,glass,motor,MSC02,0.78
17,glass,mem,MSC02,0.8099999999999999
18,motor,semantic,MSC02,0.7150000000000001
19,motor,glass,MSC02,0.605
20,motor,mem,MSC02,0.5
21,mem,semantic,MSC02,0.8950000000000001
22,mem,glass,MSC02,0.7949999999999999
23,mem,motor,MSC02,0.7500000000000001
24,semantic,glass,MSC03,0.74
25,semantic,motor,MSC03,0.555
26,semantic,mem,MSC03,0.655
27,glass,semantic,MSC03,0.6
28,glass,motor,MSC03,0.8649999999999999
29,glass,mem,MSC03,0.66
30,motor,semantic,MSC03,0.505
31,motor,glass,MSC03,0.7849999999999999
32,motor,mem,MSC03,0.61
33,mem,semantic,MSC03,0.7000000000000001
34,mem,glass,MSC03,0.5
35,mem,motor,MSC03,0.82
36,semantic,glass,MSC04,0.79
37,semantic,motor,MSC04,0.685
38,semantic,mem,MSC04,0.82
39,glass,semantic,MSC04,0.885
40,glass,motor,MSC04,0.89
41,glass,mem,MSC04,0.77
42,motor,semantic,MSC04,0.6200000000000001
43,motor,glass,MSC04,0.8299999999999998
44,motor,mem,MSC04,0.835
45,mem,semantic,MSC04,0.86
46,mem,glass,MSC04,0.915
47,mem,motor,MSC04,0.755
48,semantic,glass,MSC05,0.9000000000000001
49,semantic,motor,MSC05,0.725
50,semantic,mem,MSC05,0.9949999999999999
51,glass,semantic,MSC05,0.945
52,glass,motor,MSC05,0.9000000000000001
53,glass,mem,MSC05,0.9799999999999999
54,motor,semantic,MSC05,0.745
55,motor,glass,MSC05,0.885
56,motor,mem,MSC05,1.0
57,mem,semantic,MSC05,0.8499999999999999
58,mem,glass,MSC05,0.975
59,mem,motor,MSC05,0.985
60,semantic,glass,MSC06,0.8222222222222222
61,semantic,motor,MSC06,0.78
62,semantic,mem,MSC06,0.945
63,glass,semantic,MSC06,0.9444444444444444
64,glass,motor,MSC06,0.8499999999999999
65,glass,mem,MSC06,0.9777777777777779
66,motor,semantic,MSC06,0.8149999999999998
67,motor,glass,MSC06,0.7777777777777778
68,motor,mem,MSC06,0.7999999999999999
69,mem,semantic,MSC06,0.9949999999999999
70,mem,glass,MSC06,0.8833333333333335
71,mem,motor,MSC06,0.9800000000000001
72,semantic,glass,MSC07,0.9000000000000001
73,semantic,motor,MSC07,0.63
74,semantic,mem,MSC07,0.67
75,glass,semantic,MSC07,0.9949999999999999
76,glass,motor,MSC07,0.78
77,glass,mem,MSC07,0.7849999999999999
78,motor,semantic,MSC07,0.565
79,motor,glass,MSC07,0.68
80,motor,mem,MSC07,0.5599999999999999
81,mem,semantic,MSC07,0.9450000000000001
82,mem,glass,MSC07,0.945
83,mem,motor,MSC07,0.835
84,semantic,glass,MSC10,0.7699999999999999
85,semantic,motor,MSC10,0.655
86,semantic,mem,MSC10,0.9000000000000001
87,glass,semantic,MSC10,0.95
88,glass,motor,MSC10,0.8800000000000001
89,glass,mem,MSC10,0.9349999999999999
90,motor,semantic,MSC10,0.7050000000000001
91,motor,glass,MSC10,0.775
92,motor,mem,MSC10,0.82
93,mem,semantic,MSC10,0.9000000000000001
94,mem,glass,MSC10,0.8850000000000001
95,mem,motor,MSC10,0.9650000000000001
