,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.7949999999999999
1,semantic,motor,MSC01,0.8949999999999999
2,semantic,mem,MSC01,0.8399999999999999
3,glass,semantic,MSC01,0.9299999999999999
4,glass,motor,MSC01,0.915
5,glass,mem,MSC01,0.9350000000000002
6,motor,semantic,MSC01,0.9349999999999999
7,motor,glass,MSC01,0.845
8,motor,mem,MSC01,0.835
9,mem,semantic,MSC01,0.915
10,mem,glass,MSC01,0.8649999999999999
11,mem,motor,MSC01,0.885
12,semantic,glass,MSC02,0.635
13,semantic,motor,MSC02,0.5349999999999999
14,semantic,mem,MSC02,0.5499999999999999
15,glass,semantic,MSC02,0.95
16,glass,motor,MSC02,0.9400000000000001
17,glass,mem,MSC02,0.8099999999999998
18,motor,semantic,MSC02,0.68
19,motor,glass,MSC02,0.76
20,motor,mem,MSC02,0.6700000000000002
21,mem,semantic,MSC02,0.8950000000000001
22,mem,glass,MSC02,0.9099999999999999
23,mem,motor,MSC02,0.74
24,semantic,glass,MSC03,0.7899999999999999
25,semantic,motor,MSC03,0.8300000000000001
26,semantic,mem,MSC03,0.68
27,glass,semantic,MSC03,0.6900000000000002
28,glass,motor,MSC03,0.835
29,glass,mem,MSC03,0.6850000000000002
30,motor,semantic,MSC03,0.705
31,motor,glass,MSC03,0.615
32,motor,mem,MSC03,0.6300000000000001
33,mem,semantic,MSC03,0.79
34,mem,glass,MSC03,0.595
35,mem,motor,MSC03,0.9399999999999998
36,semantic,glass,MSC04,0.755
37,semantic,motor,MSC04,0.6950000000000001
38,semantic,mem,MSC04,0.8550000000000001
39,glass,semantic,MSC04,0.9099999999999999
40,glass,motor,MSC04,0.8850000000000001
41,glass,mem,MSC04,0.86
42,motor,semantic,MSC04,0.8649999999999999
43,motor,glass,MSC04,0.8800000000000001
44,motor,mem,MSC04,0.905
45,mem,semantic,MSC04,0.925
46,mem,glass,MSC04,0.86
47,mem,motor,MSC04,0.8550000000000001
48,semantic,glass,MSC05,0.9000000000000001
49,semantic,motor,MSC05,0.76
50,semantic,mem,MSC05,0.77
51,glass,semantic,MSC05,0.9850000000000001
52,glass,motor,MSC05,0.905
53,glass,mem,MSC05,0.9
54,motor,semantic,MSC05,0.75
55,motor,glass,MSC05,0.75
56,motor,mem,MSC05,0.875
57,mem,semantic,MSC05,0.9299999999999999
58,mem,glass,MSC05,0.9349999999999999
59,mem,motor,MSC05,0.9949999999999999
60,semantic,glass,MSC06,0.7277777777777777
61,semantic,motor,MSC06,0.8399999999999999
62,semantic,mem,MSC06,0.9000000000000001
63,glass,semantic,MSC06,0.9222222222222223
64,glass,motor,MSC06,0.8999999999999999
65,glass,mem,MSC06,0.9777777777777779
66,motor,semantic,MSC06,0.82
67,motor,glass,MSC06,0.611111111111111
68,motor,mem,MSC06,0.8699999999999999
69,mem,semantic,MSC06,0.845
70,mem,glass,MSC06,0.75
71,mem,motor,MSC06,0.845
72,semantic,glass,MSC07,0.9550000000000001
73,semantic,motor,MSC07,0.8499999999999999
74,semantic,mem,MSC07,0.77
75,glass,semantic,MSC07,1.0
76,glass,motor,MSC07,0.86
77,glass,mem,MSC07,0.845
78,motor,semantic,MSC07,0.75
79,motor,glass,MSC07,0.7899999999999999
80,motor,mem,MSC07,0.7000000000000001
81,mem,semantic,MSC07,0.9949999999999999
82,mem,glass,MSC07,0.97
83,mem,motor,MSC07,0.97
84,semantic,glass,MSC10,0.76
85,semantic,motor,MSC10,0.6650000000000001
86,semantic,mem,MSC10,0.9000000000000001
87,glass,semantic,MSC10,0.945
88,glass,motor,MSC10,0.725
89,glass,mem,MSC10,0.9349999999999999
90,motor,semantic,MSC10,0.7849999999999999
91,motor,glass,MSC10,0.875
92,motor,mem,MSC10,0.8800000000000002
93,mem,semantic,MSC10,0.9250000000000002
94,mem,glass,MSC10,0.8400000000000001
95,mem,motor,MSC10,0.8099999999999999
