,train_task,test_task,train_sub,test_sub,acc
0,semantic,glass,MSC01,MSC02,0.49000000000000005
1,semantic,motor,MSC01,MSC02,0.525
2,semantic,mem,MSC01,MSC02,0.525
3,glass,semantic,MSC01,MSC02,0.525
4,glass,motor,MSC01,MSC02,0.525
5,glass,mem,MSC01,MSC02,0.53
6,motor,semantic,MSC01,MSC02,0.5
7,motor,glass,MSC01,MSC02,0.5
8,motor,mem,MSC01,MSC02,0.5
9,mem,semantic,MSC01,MSC02,0.5
10,mem,glass,MSC01,MSC02,0.5
11,mem,motor,MSC01,MSC02,0.5
12,semantic,glass,MSC01,MSC03,0.4600000000000001
13,semantic,motor,MSC01,MSC03,0.52
14,semantic,mem,MSC01,MSC03,0.47000000000000003
15,glass,semantic,MSC01,MSC03,0.45000000000000007
16,glass,motor,MSC01,MSC03,0.5
17,glass,mem,MSC01,MSC03,0.4800000000000001
18,motor,semantic,MSC01,MSC03,0.5
19,motor,glass,MSC01,MSC03,0.495
20,motor,mem,MSC01,MSC03,0.45
21,mem,semantic,MSC01,MSC03,0.495
22,mem,glass,MSC01,MSC03,0.5
23,mem,motor,MSC01,MSC03,0.5
24,semantic,glass,MSC01,MSC04,0.5800000000000001
25,semantic,motor,MSC01,MSC04,0.5499999999999999
26,semantic,mem,MSC01,MSC04,0.5800000000000001
27,glass,semantic,MSC01,MSC04,0.495
28,glass,motor,MSC01,MSC04,0.5
29,glass,mem,MSC01,MSC04,0.5
30,motor,semantic,MSC01,MSC04,0.5
31,motor,glass,MSC01,MSC04,0.5
32,motor,mem,MSC01,MSC04,0.5
33,mem,semantic,MSC01,MSC04,0.5
34,mem,glass,MSC01,MSC04,0.5
35,mem,motor,MSC01,MSC04,0.5
36,semantic,glass,MSC01,MSC05,0.6450000000000001
37,semantic,motor,MSC01,MSC05,0.685
38,semantic,mem,MSC01,MSC05,0.635
39,glass,semantic,MSC01,MSC05,0.48
40,glass,motor,MSC01,MSC05,0.5
41,glass,mem,MSC01,MSC05,0.5
42,motor,semantic,MSC01,MSC05,0.515
43,motor,glass,MSC01,MSC05,0.515
44,motor,mem,MSC01,MSC05,0.515
45,mem,semantic,MSC01,MSC05,0.5349999999999999
46,mem,glass,MSC01,MSC05,0.5349999999999999
47,mem,motor,MSC01,MSC05,0.5349999999999999
48,semantic,glass,MSC01,MSC06,0.48888888888888893
49,semantic,motor,MSC01,MSC06,0.5
50,semantic,mem,MSC01,MSC06,0.505
51,glass,semantic,MSC01,MSC06,0.495
52,glass,motor,MSC01,MSC06,0.495
53,glass,mem,MSC01,MSC06,0.51
54,motor,semantic,MSC01,MSC06,0.505
