,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.6249999999999998
1,semantic,motor,MSC01,0.6900000000000002
2,semantic,mem,MSC01,0.7649999999999999
3,glass,semantic,MSC01,0.9
4,glass,motor,MSC01,0.8549999999999999
5,glass,mem,MSC01,0.8549999999999999
6,motor,semantic,MSC01,0.89
7,motor,glass,MSC01,0.885
8,motor,mem,MSC01,0.8699999999999999
9,mem,semantic,MSC01,0.9949999999999999
10,mem,glass,MSC01,0.95
11,mem,motor,MSC01,0.9949999999999999
12,semantic,glass,MSC02,0.625
13,semantic,motor,MSC02,0.5499999999999999
14,semantic,mem,MSC02,0.685
15,glass,semantic,MSC02,0.7749999999999999
16,glass,motor,MSC02,0.6450000000000001
17,glass,mem,MSC02,0.8399999999999999
18,motor,semantic,MSC02,0.51
19,motor,glass,MSC02,0.665
20,motor,mem,MSC02,0.5449999999999999
21,mem,semantic,MSC02,0.945
22,mem,glass,MSC02,0.95
23,mem,motor,MSC02,0.6950000000000001
24,semantic,glass,MSC03,0.67
25,semantic,motor,MSC03,0.8049999999999999
26,semantic,mem,MSC03,0.7849999999999999
27,glass,semantic,MSC03,0.7799999999999999
28,glass,motor,MSC03,0.97
29,glass,mem,MSC03,0.675
30,motor,semantic,MSC03,0.8900000000000002
31,motor,glass,MSC03,0.7250000000000001
32,motor,mem,MSC03,0.645
33,mem,semantic,MSC03,0.795
34,mem,glass,MSC03,0.7000000000000001
35,mem,motor,MSC03,0.93
36,semantic,glass,MSC04,0.7449999999999999
37,semantic,motor,MSC04,0.755
38,semantic,mem,MSC04,0.8099999999999999
39,glass,semantic,MSC04,0.9400000000000001
40,glass,motor,MSC04,0.8799999999999999
41,glass,mem,MSC04,0.9200000000000002
42,motor,semantic,MSC04,0.86
43,motor,glass,MSC04,0.8950000000000001
44,motor,mem,MSC04,0.8499999999999999
45,mem,semantic,MSC04,0.975
46,mem,glass,MSC04,0.9649999999999999
47,mem,motor,MSC04,0.86
48,semantic,glass,MSC05,0.9000000000000001
49,semantic,motor,MSC05,0.6500000000000001
50,semantic,mem,MSC05,0.9
51,glass,semantic,MSC05,0.905
52,glass,motor,MSC05,0.8649999999999999
53,glass,mem,MSC05,0.96
54,motor,semantic,MSC05,0.7
55,motor,glass,MSC05,0.7699999999999999
56,motor,mem,MSC05,1.0
57,mem,semantic,MSC05,1.0
58,mem,glass,MSC05,0.95
59,mem,motor,MSC05,0.9549999999999998
60,semantic,glass,MSC06,0.8222222222222222
61,semantic,motor,MSC06,0.73
62,semantic,mem,MSC06,0.93
63,glass,semantic,MSC06,0.75
64,glass,motor,MSC06,0.7777777777777777
65,glass,mem,MSC06,0.9000000000000001
66,motor,semantic,MSC06,0.725
67,motor,glass,MSC06,0.7222222222222222
68,motor,mem,MSC06,0.8099999999999999
69,mem,semantic,MSC06,0.8999999999999998
70,mem,glass,MSC06,0.85
71,mem,motor,MSC06,0.8150000000000001
72,semantic,glass,MSC07,0.9400000000000001
73,semantic,motor,MSC07,0.5799999999999998
74,semantic,mem,MSC07,0.6700000000000002
75,glass,semantic,MSC07,1.0
76,glass,motor,MSC07,0.68
77,glass,mem,MSC07,0.8399999999999999
78,motor,semantic,MSC07,0.6500000000000001
79,motor,glass,MSC07,0.6449999999999999
80,motor,mem,MSC07,0.75
81,mem,semantic,MSC07,0.95
82,mem,glass,MSC07,0.975
83,mem,motor,MSC07,0.925
84,semantic,glass,MSC10,0.76
85,semantic,motor,MSC10,0.685
86,semantic,mem,MSC10,0.795
87,glass,semantic,MSC10,0.8599999999999998
88,glass,motor,MSC10,0.9199999999999999
89,glass,mem,MSC10,0.77
90,motor,semantic,MSC10,0.6900000000000001
91,motor,glass,MSC10,0.72
92,motor,mem,MSC10,0.72
93,mem,semantic,MSC10,0.85
94,mem,glass,MSC10,0.85
95,mem,motor,MSC10,0.9000000000000001
