,test_task,train_task,Mean,Std
0,glass,mem,0.8705555555555555,0.1113307353243746
1,glass,motor,0.7293055555555554,0.10047451351442908
2,glass,semantic,0.7292361111111112,0.11756417343962915
3,mem,glass,0.8219444444444445,0.09432765888667309
4,mem,motor,0.745625,0.14811765352487286
5,mem,semantic,0.7531250000000002,0.0826756787522355
6,motor,glass,0.7923611111111111,0.10475668878309002
7,motor,mem,0.889375,0.09744733009609419
8,motor,semantic,0.6481250000000001,0.0877877920246969
9,semantic,glass,0.85125,0.09493418773023764
10,semantic,mem,0.9375,0.06442049363362568
11,semantic,motor,0.7062499999999999,0.11382160226801033
