,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.8649999999999999
1,semantic,motor,MSC01,0.6950000000000001
2,semantic,mem,MSC01,0.8400000000000001
3,glass,semantic,MSC01,0.945
4,glass,motor,MSC01,0.9099999999999999
5,glass,mem,MSC01,0.9349999999999999
6,motor,semantic,MSC01,0.8949999999999999
7,motor,glass,MSC01,0.86
8,motor,mem,MSC01,0.9299999999999999
9,mem,semantic,MSC01,1.0
10,mem,glass,MSC01,0.9349999999999999
11,mem,motor,MSC01,0.9349999999999999
12,semantic,glass,MSC02,0.6799999999999999
13,semantic,motor,MSC02,0.6400000000000001
14,semantic,mem,MSC02,0.62
15,glass,semantic,MSC02,0.8800000000000001
16,glass,motor,MSC02,0.74
17,glass,mem,MSC02,0.8499999999999999
18,motor,semantic,MSC02,0.5549999999999999
19,motor,glass,MSC02,0.6450000000000001
20,motor,mem,MSC02,0.6050000000000001
21,mem,semantic,MSC02,0.8799999999999999
22,mem,glass,MSC02,0.8800000000000001
23,mem,motor,MSC02,0.7250000000000001
24,semantic,glass,MSC03,0.6050000000000001
25,semantic,motor,MSC03,0.76
26,semantic,mem,MSC03,0.6900000000000001
27,glass,semantic,MSC03,0.7999999999999999
28,glass,motor,MSC03,0.7949999999999999
29,glass,mem,MSC03,0.4800000000000001
30,motor,semantic,MSC03,0.665
31,motor,glass,MSC03,0.7649999999999999
32,motor,mem,MSC03,0.7649999999999999
33,mem,semantic,MSC03,0.8399999999999999
34,mem,glass,MSC03,0.675
35,mem,motor,MSC03,0.9650000000000001
36,semantic,glass,MSC04,0.79
37,semantic,motor,MSC04,0.96
38,semantic,mem,MSC04,0.9349999999999999
39,glass,semantic,MSC04,0.875
40,glass,motor,MSC04,0.8799999999999999
41,glass,mem,MSC04,0.9349999999999999
42,motor,semantic,MSC04,0.7200000000000001
43,motor,glass,MSC04,0.865
44,motor,mem,MSC04,0.845
45,mem,semantic,MSC04,0.945
46,mem,glass,MSC04,0.8950000000000001
47,mem,motor,MSC04,0.8900000000000002
48,semantic,glass,MSC05,0.755
49,semantic,motor,MSC05,0.545
50,semantic,mem,MSC05,0.875
51,glass,semantic,MSC05,0.9949999999999999
52,glass,motor,MSC05,0.8099999999999999
53,glass,mem,MSC05,0.9200000000000002
54,motor,semantic,MSC05,0.82
55,motor,glass,MSC05,0.7649999999999999
56,motor,mem,MSC05,1.0
57,mem,semantic,MSC05,0.9549999999999998
58,mem,glass,MSC05,0.8800000000000001
59,mem,motor,MSC05,0.9949999999999999
60,semantic,glass,MSC06,0.6166666666666666
61,semantic,motor,MSC06,0.845
62,semantic,mem,MSC06,0.89
63,glass,semantic,MSC06,0.8277777777777777
64,glass,motor,MSC06,0.85
65,glass,mem,MSC06,0.9333333333333333
66,motor,semantic,MSC06,0.6849999999999999
67,motor,glass,MSC06,0.7444444444444445
68,motor,mem,MSC06,0.945
69,mem,semantic,MSC06,0.8299999999999998
70,mem,glass,MSC06,0.7888888888888889
71,mem,motor,MSC06,0.975
72,semantic,glass,MSC07,0.945
73,semantic,motor,MSC07,0.655
74,semantic,mem,MSC07,0.78
75,glass,semantic,MSC07,0.9549999999999998
76,glass,motor,MSC07,0.8399999999999999
77,glass,mem,MSC07,0.845
78,motor,semantic,MSC07,0.7000000000000001
79,motor,glass,MSC07,0.74
80,motor,mem,MSC07,0.68
81,mem,semantic,MSC07,0.97
82,mem,glass,MSC07,0.975
83,mem,motor,MSC07,0.915
84,semantic,glass,MSC10,0.7699999999999999
85,semantic,motor,MSC10,0.7349999999999999
86,semantic,mem,MSC10,0.845
87,glass,semantic,MSC10,0.76
88,glass,motor,MSC10,0.925
89,glass,mem,MSC10,0.82
90,motor,semantic,MSC10,0.6950000000000001
91,motor,glass,MSC10,0.685
92,motor,mem,MSC10,0.7949999999999999
93,mem,semantic,MSC10,0.76
94,mem,glass,MSC10,0.7999999999999999
95,mem,motor,MSC10,0.9100000000000001
