,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.76
1,semantic,motor,MSC01,0.5499999999999999
2,semantic,mem,MSC01,0.725
3,glass,semantic,MSC01,0.8549999999999999
4,glass,motor,MSC01,0.74
5,glass,mem,MSC01,0.6450000000000001
6,motor,semantic,MSC01,0.8800000000000001
7,motor,glass,MSC01,0.795
8,motor,mem,MSC01,0.745
9,mem,semantic,MSC01,0.925
10,mem,glass,MSC01,0.8399999999999999
11,mem,motor,MSC01,0.8550000000000001
12,semantic,glass,MSC02,0.7350000000000001
13,semantic,motor,MSC02,0.5549999999999999
14,semantic,mem,MSC02,0.755
15,glass,semantic,MSC02,0.7249999999999999
16,glass,motor,MSC02,0.655
17,glass,mem,MSC02,0.6350000000000001
18,motor,semantic,MSC02,0.5349999999999999
19,motor,glass,MSC02,0.61
20,motor,mem,MSC02,0.54
21,mem,semantic,MSC02,0.8400000000000001
22,mem,glass,MSC02,0.7449999999999999
23,mem,motor,MSC02,0.515
24,semantic,glass,MSC03,0.745
25,semantic,motor,MSC03,0.6149999999999999
26,semantic,mem,MSC03,0.75
27,glass,semantic,MSC03,0.845
28,glass,motor,MSC03,0.7849999999999999
29,glass,mem,MSC03,0.725
30,motor,semantic,MSC03,0.6050000000000001
31,motor,glass,MSC03,0.65
32,motor,mem,MSC03,0.59
33,mem,semantic,MSC03,0.945
34,mem,glass,MSC03,0.6700000000000002
35,mem,motor,MSC03,0.7200000000000001
36,semantic,glass,MSC04,0.8149999999999998
37,semantic,motor,MSC04,0.6500000000000001
38,semantic,mem,MSC04,0.8149999999999998
39,glass,semantic,MSC04,0.905
40,glass,motor,MSC04,0.7999999999999999
41,glass,mem,MSC04,0.7749999999999999
42,motor,semantic,MSC04,0.7100000000000002
43,motor,glass,MSC04,0.805
44,motor,mem,MSC04,0.7050000000000001
45,mem,semantic,MSC04,0.9949999999999999
46,mem,glass,MSC04,0.9399999999999998
47,mem,motor,MSC04,0.8299999999999998
48,semantic,glass,MSC05,0.6199999999999999
49,semantic,motor,MSC05,0.5
50,semantic,mem,MSC05,0.64
51,glass,semantic,MSC05,0.9349999999999999
52,glass,motor,MSC05,0.625
53,glass,mem,MSC05,0.8800000000000001
54,motor,semantic,MSC05,0.7949999999999999
55,motor,glass,MSC05,0.645
56,motor,mem,MSC05,0.7999999999999999
57,mem,semantic,MSC05,0.99
58,mem,glass,MSC05,0.8800000000000001
59,mem,motor,MSC05,0.8850000000000001
60,semantic,glass,MSC06,0.5777777777777777
61,semantic,motor,MSC06,0.5349999999999999
62,semantic,mem,MSC06,0.595
63,glass,semantic,MSC06,0.7333333333333334
64,glass,motor,MSC06,0.6
65,glass,mem,MSC06,0.7
66,motor,semantic,MSC06,0.5449999999999999
67,motor,glass,MSC06,0.5388888888888889
68,motor,mem,MSC06,0.575
69,mem,semantic,MSC06,0.8699999999999999
70,mem,glass,MSC06,0.8222222222222222
71,mem,motor,MSC06,0.7949999999999999
72,semantic,glass,MSC07,0.9349999999999999
73,semantic,motor,MSC07,0.59
74,semantic,mem,MSC07,0.8099999999999999
75,glass,semantic,MSC07,0.945
76,glass,motor,MSC07,0.615
77,glass,mem,MSC07,0.845
78,motor,semantic,MSC07,0.675
79,motor,glass,MSC07,0.62
80,motor,mem,MSC07,0.6100000000000001
81,mem,semantic,MSC07,0.9349999999999999
82,mem,glass,MSC07,0.99
83,mem,motor,MSC07,0.74
84,semantic,glass,MSC10,0.7899999999999999
85,semantic,motor,MSC10,0.655
86,semantic,mem,MSC10,0.58
87,glass,semantic,MSC10,0.6699999999999999
88,glass,motor,MSC10,0.6449999999999999
89,glass,mem,MSC10,0.56
90,motor,semantic,MSC10,0.7049999999999998
91,motor,glass,MSC10,0.67
92,motor,mem,MSC10,0.52
93,mem,semantic,MSC10,0.74
94,mem,glass,MSC10,0.6899999999999998
95,mem,motor,MSC10,0.635
