,train_task,test_task,train_sub,test_sub,acc
0,semantic,glass,MSC01,MSC02,0.595
1,semantic,motor,MSC01,MSC02,0.53
2,semantic,mem,MSC01,MSC02,0.49000000000000005
3,glass,semantic,MSC01,MSC02,0.7300000000000001
4,glass,motor,MSC01,MSC02,0.5900000000000001
5,glass,mem,MSC01,MSC02,0.54
6,motor,semantic,MSC01,MSC02,0.61
7,motor,glass,MSC01,MSC02,0.595
8,motor,mem,MSC01,MSC02,0.49000000000000005
9,mem,semantic,MSC01,MSC02,0.65
10,mem,glass,MSC01,MSC02,0.5549999999999999
11,mem,motor,MSC01,MSC02,0.5249999999999999
12,semantic,glass,MSC01,MSC03,0.505
13,semantic,motor,MSC01,MSC03,0.46500000000000014
14,semantic,mem,MSC01,MSC03,0.5399999999999999
15,glass,semantic,MSC01,MSC03,0.51
16,glass,motor,MSC01,MSC03,0.45
17,glass,mem,MSC01,MSC03,0.465
18,motor,semantic,MSC01,MSC03,0.8149999999999998
19,motor,glass,MSC01,MSC03,0.645
20,motor,mem,MSC01,MSC03,0.72
21,mem,semantic,MSC01,MSC03,0.5449999999999999
22,mem,glass,MSC01,MSC03,0.41500000000000004
23,mem,motor,MSC01,MSC03,0.485
24,semantic,glass,MSC01,MSC04,0.5549999999999999
25,semantic,motor,MSC01,MSC04,0.49000000000000005
26,semantic,mem,MSC01,MSC04,0.58
27,glass,semantic,MSC01,MSC04,0.505
28,glass,motor,MSC01,MSC04,0.5199999999999999
29,glass,mem,MSC01,MSC04,0.5
30,motor,semantic,MSC01,MSC04,0.675
31,motor,glass,MSC01,MSC04,0.5149999999999999
32,motor,mem,MSC01,MSC04,0.5950000000000001
33,mem,semantic,MSC01,MSC04,0.505
34,mem,glass,MSC01,MSC04,0.5249999999999999
35,mem,motor,MSC01,MSC04,0.6050000000000001
36,semantic,glass,MSC01,MSC05,0.6500000000000001
37,semantic,motor,MSC01,MSC05,0.585
38,semantic,mem,MSC01,MSC05,0.5649999999999998
39,glass,semantic,MSC01,MSC05,0.565
40,glass,motor,MSC01,MSC05,0.4950000000000001
41,glass,mem,MSC01,MSC05,0.4800000000000001
42,motor,semantic,MSC01,MSC05,0.64
43,motor,glass,MSC01,MSC05,0.5449999999999999
44,motor,mem,MSC01,MSC05,0.505
45,mem,semantic,MSC01,MSC05,0.6599999999999999
46,mem,glass,MSC01,MSC05,0.55
47,mem,motor,MSC01,MSC05,0.49000000000000005
48,semantic,glass,MSC01,MSC06,0.6055555555555556
49,semantic,motor,MSC01,MSC06,0.56
50,semantic,mem,MSC01,MSC06,0.56
51,glass,semantic,MSC01,MSC06,0.5299999999999999
52,glass,motor,MSC01,MSC06,0.485
53,glass,mem,MSC01,MSC06,0.5649999999999998
54,motor,semantic,MSC01,MSC06,0.5199999999999999
55,motor,glass,MSC01,MSC06,0.5388888888888888
56,motor,mem,MSC01,MSC06,0.51
57,mem,semantic,MSC01,MSC06,0.43000000000000005
58,mem,glass,MSC01,MSC06,0.3055555555555556
59,mem,motor,MSC01,MSC06,0.505
60,semantic,glass,MSC01,MSC07,0.5899999999999999
61,semantic,motor,MSC01,MSC07,0.56
62,semantic,mem,MSC01,MSC07,0.43
63,glass,semantic,MSC01,MSC07,0.74
64,glass,motor,MSC01,MSC07,0.6700000000000002
65,glass,mem,MSC01,MSC07,0.52
66,motor,semantic,MSC01,MSC07,0.635
67,motor,glass,MSC01,MSC07,0.575
68,motor,mem,MSC01,MSC07,0.41500000000000004
69,mem,semantic,MSC01,MSC07,0.6500000000000001
70,mem,glass,MSC01,MSC07,0.63
71,mem,motor,MSC01,MSC07,0.5799999999999998
72,semantic,glass,MSC01,MSC10,0.5
73,semantic,motor,MSC01,MSC10,0.5
74,semantic,mem,MSC01,MSC10,0.505
75,glass,semantic,MSC01,MSC10,0.655
76,glass,motor,MSC01,MSC10,0.5449999999999999
77,glass,mem,MSC01,MSC10,0.55
78,motor,semantic,MSC01,MSC10,0.675
79,motor,glass,MSC01,MSC10,0.6300000000000001
80,motor,mem,MSC01,MSC10,0.5499999999999999
81,mem,semantic,MSC01,MSC10,0.54
82,mem,glass,MSC01,MSC10,0.45499999999999996
83,mem,motor,MSC01,MSC10,0.54
84,semantic,glass,MSC02,MSC01,0.57
85,semantic,motor,MSC02,MSC01,0.6300000000000001
86,semantic,mem,MSC02,MSC01,0.495
87,glass,semantic,MSC02,MSC01,0.505
88,glass,motor,MSC02,MSC01,0.6500000000000001
89,glass,mem,MSC02,MSC01,0.52
90,motor,semantic,MSC02,MSC01,0.49000000000000005
91,motor,glass,MSC02,MSC01,0.565
92,motor,mem,MSC02,MSC01,0.43
93,mem,semantic,MSC02,MSC01,0.42000000000000004
94,mem,glass,MSC02,MSC01,0.44000000000000006
95,mem,motor,MSC02,MSC01,0.51
96,semantic,glass,MSC02,MSC03,0.5999999999999999
97,semantic,motor,MSC02,MSC03,0.605
98,semantic,mem,MSC02,MSC03,0.8049999999999999
99,glass,semantic,MSC02,MSC03,0.6249999999999999
100,glass,motor,MSC02,MSC03,0.605
101,glass,mem,MSC02,MSC03,0.74
102,motor,semantic,MSC02,MSC03,0.62
103,motor,glass,MSC02,MSC03,0.64
104,motor,mem,MSC02,MSC03,0.6399999999999999
105,mem,semantic,MSC02,MSC03,0.675
106,mem,glass,MSC02,MSC03,0.5900000000000001
107,mem,motor,MSC02,MSC03,0.615
108,semantic,glass,MSC02,MSC04,0.5850000000000001
109,semantic,motor,MSC02,MSC04,0.5349999999999999
110,semantic,mem,MSC02,MSC04,0.5599999999999999
111,glass,semantic,MSC02,MSC04,0.655
112,glass,motor,MSC02,MSC04,0.51
113,glass,mem,MSC02,MSC04,0.5549999999999999
114,motor,semantic,MSC02,MSC04,0.47000000000000003
115,motor,glass,MSC02,MSC04,0.6700000000000002
116,motor,mem,MSC02,MSC04,0.565
117,mem,semantic,MSC02,MSC04,0.52
118,mem,glass,MSC02,MSC04,0.6249999999999999
119,mem,motor,MSC02,MSC04,0.505
120,semantic,glass,MSC02,MSC05,0.5
121,semantic,motor,MSC02,MSC05,0.8550000000000001
122,semantic,mem,MSC02,MSC05,0.525
123,glass,semantic,MSC02,MSC05,0.51
124,glass,motor,MSC02,MSC05,0.6400000000000001
125,glass,mem,MSC02,MSC05,0.525
126,motor,semantic,MSC02,MSC05,0.5599999999999999
127,motor,glass,MSC02,MSC05,0.575
128,motor,mem,MSC02,MSC05,0.5
129,mem,semantic,MSC02,MSC05,0.5800000000000001
130,mem,glass,MSC02,MSC05,0.6099999999999999
131,mem,motor,MSC02,MSC05,0.755
132,semantic,glass,MSC02,MSC06,0.5277777777777777
133,semantic,motor,MSC02,MSC06,0.7999999999999999
134,semantic,mem,MSC02,MSC06,0.5599999999999999
135,glass,semantic,MSC02,MSC06,0.5700000000000001
136,glass,motor,MSC02,MSC06,0.57
137,glass,mem,MSC02,MSC06,0.5549999999999999
138,motor,semantic,MSC02,MSC06,0.5599999999999999
139,motor,glass,MSC02,MSC06,0.5
140,motor,mem,MSC02,MSC06,0.5549999999999999
141,mem,semantic,MSC02,MSC06,0.5449999999999999
142,mem,glass,MSC02,MSC06,0.5555555555555555
143,mem,motor,MSC02,MSC06,0.7000000000000001
144,semantic,glass,MSC02,MSC07,0.505
145,semantic,motor,MSC02,MSC07,0.8399999999999999
146,semantic,mem,MSC02,MSC07,0.48500000000000004
147,glass,semantic,MSC02,MSC07,0.615
148,glass,motor,MSC02,MSC07,0.6250000000000001
149,glass,mem,MSC02,MSC07,0.5199999999999999
150,motor,semantic,MSC02,MSC07,0.6
151,motor,glass,MSC02,MSC07,0.465
152,motor,mem,MSC02,MSC07,0.5449999999999999
153,mem,semantic,MSC02,MSC07,0.495
154,mem,glass,MSC02,MSC07,0.45
155,mem,motor,MSC02,MSC07,0.8
156,semantic,glass,MSC02,MSC10,0.51
157,semantic,motor,MSC02,MSC10,0.6849999999999999
158,semantic,mem,MSC02,MSC10,0.5
159,glass,semantic,MSC02,MSC10,0.5399999999999999
160,glass,motor,MSC02,MSC10,0.585
161,glass,mem,MSC02,MSC10,0.565
162,motor,semantic,MSC02,MSC10,0.565
163,motor,glass,MSC02,MSC10,0.725
164,motor,mem,MSC02,MSC10,0.505
165,mem,semantic,MSC02,MSC10,0.68
166,mem,glass,MSC02,MSC10,0.8499999999999999
167,mem,motor,MSC02,MSC10,0.86
168,semantic,glass,MSC03,MSC01,0.5
169,semantic,motor,MSC03,MSC01,0.6599999999999999
170,semantic,mem,MSC03,MSC01,0.525
171,glass,semantic,MSC03,MSC01,0.6799999999999999
172,glass,motor,MSC03,MSC01,0.6700000000000002
173,glass,mem,MSC03,MSC01,0.5449999999999999
174,motor,semantic,MSC03,MSC01,0.525
175,motor,glass,MSC03,MSC01,0.525
176,motor,mem,MSC03,MSC01,0.505
177,mem,semantic,MSC03,MSC01,0.5
178,mem,glass,MSC03,MSC01,0.505
179,mem,motor,MSC03,MSC01,0.6100000000000001
180,semantic,glass,MSC03,MSC02,0.5
181,semantic,motor,MSC03,MSC02,0.5
182,semantic,mem,MSC03,MSC02,0.5
183,glass,semantic,MSC03,MSC02,0.7899999999999999
184,glass,motor,MSC03,MSC02,0.7849999999999999
185,glass,mem,MSC03,MSC02,0.55
186,motor,semantic,MSC03,MSC02,0.5999999999999999
187,motor,glass,MSC03,MSC02,0.6249999999999999
