,test_task,train_task,Mean,Std
0,glass,mem,0.7622222222222222,0.11111547610473682
1,glass,motor,0.5771527777777778,0.06210408108268906
2,glass,semantic,0.7010416666666666,0.13053594499795038
3,mem,glass,0.7317361111111113,0.11013116978895163
4,mem,motor,0.5818749999999999,0.05450671649308135
5,mem,semantic,0.6331249999999999,0.10402394985221984
6,motor,glass,0.6799305555555556,0.1159708796614618
7,motor,mem,0.725,0.10309496315810691
8,motor,semantic,0.6175,0.10511898020814323
9,semantic,glass,0.7471527777777777,0.08951241501982148
10,semantic,mem,0.7349999999999999,0.09285164818907939
11,semantic,motor,0.623125,0.11541655922291719
