,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.775
1,semantic,motor,MSC01,0.66
2,semantic,mem,MSC01,0.7050000000000001
3,glass,semantic,MSC01,0.9349999999999999
4,glass,motor,MSC01,0.51
5,glass,mem,MSC01,0.7350000000000001
6,motor,semantic,MSC01,0.715
7,motor,glass,MSC01,0.58
8,motor,mem,MSC01,0.615
9,mem,semantic,MSC01,0.9350000000000002
10,mem,glass,MSC01,0.905
11,mem,motor,MSC01,0.735
12,semantic,glass,MSC02,0.705
13,semantic,motor,MSC02,0.605
14,semantic,mem,MSC02,0.5999999999999999
15,glass,semantic,MSC02,0.76
16,glass,motor,MSC02,0.475
17,glass,mem,MSC02,0.5299999999999999
18,motor,semantic,MSC02,0.51
19,motor,glass,MSC02,0.5349999999999999
20,motor,mem,MSC02,0.5
21,mem,semantic,MSC02,0.7
22,mem,glass,MSC02,0.6250000000000001
23,mem,motor,MSC02,0.6100000000000001
24,semantic,glass,MSC03,0.7899999999999999
25,semantic,motor,MSC03,0.885
26,semantic,mem,MSC03,0.7249999999999999
27,glass,semantic,MSC03,0.825
28,glass,motor,MSC03,0.925
29,glass,mem,MSC03,0.735
30,motor,semantic,MSC03,0.605
31,motor,glass,MSC03,0.5999999999999999
32,motor,mem,MSC03,0.645
33,mem,semantic,MSC03,0.7949999999999998
34,mem,glass,MSC03,0.6300000000000001
35,mem,motor,MSC03,0.825
36,semantic,glass,MSC04,0.7699999999999999
37,semantic,motor,MSC04,0.565
38,semantic,mem,MSC04,0.665
39,glass,semantic,MSC04,0.85
40,glass,motor,MSC04,0.745
41,glass,mem,MSC04,0.845
42,motor,semantic,MSC04,0.5499999999999999
43,motor,glass,MSC04,0.65
44,motor,mem,MSC04,0.5499999999999999
45,mem,semantic,MSC04,0.89
46,mem,glass,MSC04,0.905
47,mem,motor,MSC04,0.745
48,semantic,glass,MSC05,0.95
49,semantic,motor,MSC05,0.8400000000000001
50,semantic,mem,MSC05,1.0
51,glass,semantic,MSC05,0.865
52,glass,motor,MSC05,0.8499999999999999
53,glass,mem,MSC05,1.0
54,motor,semantic,MSC05,0.505
55,motor,glass,MSC05,0.61
56,motor,mem,MSC05,0.53
57,mem,semantic,MSC05,0.8700000000000001
58,mem,glass,MSC05,0.8850000000000001
59,mem,motor,MSC05,0.8049999999999999
60,semantic,glass,MSC06,0.8722222222222223
61,semantic,motor,MSC06,0.72
62,semantic,mem,MSC06,0.9349999999999999
63,glass,semantic,MSC06,0.8277777777777776
64,glass,motor,MSC06,0.7444444444444445
65,glass,mem,MSC06,0.8444444444444444
66,motor,semantic,MSC06,0.66
67,motor,glass,MSC06,0.5944444444444444
68,motor,mem,MSC06,0.64
69,mem,semantic,MSC06,0.9100000000000001
70,mem,glass,MSC06,0.9166666666666667
71,mem,motor,MSC06,0.7050000000000001
72,semantic,glass,MSC07,0.885
73,semantic,motor,MSC07,0.505
74,semantic,mem,MSC07,0.76
75,glass,semantic,MSC07,0.9000000000000001
76,glass,motor,MSC07,0.5
77,glass,mem,MSC07,0.725
78,motor,semantic,MSC07,0.5
79,motor,glass,MSC07,0.5
80,motor,mem,MSC07,0.5
81,mem,semantic,MSC07,0.8699999999999999
82,mem,glass,MSC07,0.9400000000000001
83,mem,motor,MSC07,0.6900000000000001
84,semantic,glass,MSC10,0.8850000000000001
85,semantic,motor,MSC10,0.6299999999999999
86,semantic,mem,MSC10,0.915
87,glass,semantic,MSC10,0.9550000000000001
88,glass,motor,MSC10,0.6700000000000002
89,glass,mem,MSC10,0.875
90,motor,semantic,MSC10,0.58
91,motor,glass,MSC10,0.7000000000000001
92,motor,mem,MSC10,0.5499999999999999
93,mem,semantic,MSC10,0.95
94,mem,glass,MSC10,0.85
95,mem,motor,MSC10,0.8399999999999999
