,test_task,train_task,Mean,Std
0,glass,mem,0.6313690476190477,0.1153505351161375
1,glass,motor,0.534970238095238,0.05093573553253963
2,glass,semantic,0.5266964285714287,0.041526217111021654
3,mem,glass,0.5056150793650794,0.01549326582340276
4,mem,motor,0.5344642857142857,0.07122102965371302
5,mem,semantic,0.5204464285714286,0.038034395745696566
6,motor,glass,0.5127281746031745,0.02600208849112457
7,motor,mem,0.6319642857142858,0.10112403981532497
8,motor,semantic,0.5267857142857144,0.04343677297812585
9,semantic,glass,0.5162500000000001,0.028345560839470988
10,semantic,mem,0.6475000000000001,0.10424185165452325
11,semantic,motor,0.5433035714285712,0.07566839610320261
