,train_task,test_task,train_sub,test_sub,acc
0,semantic,glass,MSC01,MSC02,0.7849999999999999
1,semantic,motor,MSC01,MSC02,0.55
2,semantic,mem,MSC01,MSC02,0.5599999999999998
3,glass,semantic,MSC01,MSC02,0.7699999999999999
4,glass,motor,MSC01,MSC02,0.6000000000000001
5,glass,mem,MSC01,MSC02,0.5149999999999999
6,motor,semantic,MSC01,MSC02,0.7899999999999998
7,motor,glass,MSC01,MSC02,0.72
8,motor,mem,MSC01,MSC02,0.74
9,mem,semantic,MSC01,MSC02,0.40499999999999997
10,mem,glass,MSC01,MSC02,0.5
11,mem,motor,MSC01,MSC02,0.585
12,semantic,glass,MSC01,MSC03,0.5
13,semantic,motor,MSC01,MSC03,0.5800000000000001
14,semantic,mem,MSC01,MSC03,0.51
15,glass,semantic,MSC01,MSC03,0.8400000000000001
16,glass,motor,MSC01,MSC03,0.74
17,glass,mem,MSC01,MSC03,0.575
18,motor,semantic,MSC01,MSC03,0.74
19,motor,glass,MSC01,MSC03,0.595
20,motor,mem,MSC01,MSC03,0.735
21,mem,semantic,MSC01,MSC03,0.8099999999999999
22,mem,glass,MSC01,MSC03,0.615
23,mem,motor,MSC01,MSC03,0.7899999999999999
24,semantic,glass,MSC01,MSC04,0.51
25,semantic,motor,MSC01,MSC04,0.505
26,semantic,mem,MSC01,MSC04,0.5
27,glass,semantic,MSC01,MSC04,0.8699999999999999
28,glass,motor,MSC01,MSC04,0.76
29,glass,mem,MSC01,MSC04,0.58
30,motor,semantic,MSC01,MSC04,0.76
31,motor,glass,MSC01,MSC04,0.825
32,motor,mem,MSC01,MSC04,0.61
33,mem,semantic,MSC01,MSC04,0.7849999999999999
34,mem,glass,MSC01,MSC04,0.8150000000000001
35,mem,motor,MSC01,MSC04,0.7899999999999999
36,semantic,glass,MSC01,MSC05,0.5499999999999999
37,semantic,motor,MSC01,MSC05,0.5
38,semantic,mem,MSC01,MSC05,0.5
39,glass,semantic,MSC01,MSC05,0.7
40,glass,motor,MSC01,MSC05,0.6100000000000001
41,glass,mem,MSC01,MSC05,0.51
42,motor,semantic,MSC01,MSC05,0.8
43,motor,glass,MSC01,MSC05,0.65
44,motor,mem,MSC01,MSC05,0.6200000000000001
45,mem,semantic,MSC01,MSC05,0.945
46,mem,glass,MSC01,MSC05,0.7649999999999999
47,mem,motor,MSC01,MSC05,0.86
48,semantic,glass,MSC01,MSC06,0.5222222222222221
49,semantic,motor,MSC01,MSC06,0.505
50,semantic,mem,MSC01,MSC06,0.5499999999999999
51,glass,semantic,MSC01,MSC06,0.55
52,glass,motor,MSC01,MSC06,0.5449999999999999
53,glass,mem,MSC01,MSC06,0.51
54,motor,semantic,MSC01,MSC06,0.7799999999999999
55,motor,glass,MSC01,MSC06,0.6222222222222225
56,motor,mem,MSC01,MSC06,0.67
57,mem,semantic,MSC01,MSC06,0.8399999999999999
58,mem,glass,MSC01,MSC06,0.7722222222222221
59,mem,motor,MSC01,MSC06,0.9099999999999999
60,semantic,glass,MSC01,MSC07,0.6649999999999999
61,semantic,motor,MSC01,MSC07,0.5199999999999999
62,semantic,mem,MSC01,MSC07,0.575
63,glass,semantic,MSC01,MSC07,0.7699999999999999
64,glass,motor,MSC01,MSC07,0.635
65,glass,mem,MSC01,MSC07,0.67
66,motor,semantic,MSC01,MSC07,0.6349999999999999
67,motor,glass,MSC01,MSC07,0.6549999999999999
68,motor,mem,MSC01,MSC07,0.575
69,mem,semantic,MSC01,MSC07,0.5799999999999998
70,mem,glass,MSC01,MSC07,0.6399999999999999
71,mem,motor,MSC01,MSC07,0.63
72,semantic,glass,MSC01,MSC10,0.49000000000000005
73,semantic,motor,MSC01,MSC10,0.64
74,semantic,mem,MSC01,MSC10,0.49000000000000005
75,glass,semantic,MSC01,MSC10,0.58
76,glass,motor,MSC01,MSC10,0.705
77,glass,mem,MSC01,MSC10,0.5399999999999999
78,motor,semantic,MSC01,MSC10,0.6049999999999999
79,motor,glass,MSC01,MSC10,0.5449999999999999
80,motor,mem,MSC01,MSC10,0.61
81,mem,semantic,MSC01,MSC10,0.8049999999999999
82,mem,glass,MSC01,MSC10,0.8750000000000002
83,mem,motor,MSC01,MSC10,0.845
84,semantic,glass,MSC02,MSC01,0.5
85,semantic,motor,MSC02,MSC01,0.5
86,semantic,mem,MSC02,MSC01,0.5
87,glass,semantic,MSC02,MSC01,0.875
88,glass,motor,MSC02,MSC01,0.655
89,glass,mem,MSC02,MSC01,0.5149999999999999
90,motor,semantic,MSC02,MSC01,0.6649999999999999
91,motor,glass,MSC02,MSC01,0.6349999999999999
92,motor,mem,MSC02,MSC01,0.5949999999999999
93,mem,semantic,MSC02,MSC01,0.755
94,mem,glass,MSC02,MSC01,0.765
95,mem,motor,MSC02,MSC01,0.9100000000000001
96,semantic,glass,MSC02,MSC03,0.5
97,semantic,motor,MSC02,MSC03,0.5
98,semantic,mem,MSC02,MSC03,0.5
99,glass,semantic,MSC02,MSC03,0.5
100,glass,motor,MSC02,MSC03,0.5649999999999998
101,glass,mem,MSC02,MSC03,0.5
102,motor,semantic,MSC02,MSC03,0.5399999999999999
103,motor,glass,MSC02,MSC03,0.5449999999999999
104,motor,mem,MSC02,MSC03,0.5
105,mem,semantic,MSC02,MSC03,0.6049999999999999
106,mem,glass,MSC02,MSC03,0.525
107,mem,motor,MSC02,MSC03,0.7550000000000001
108,semantic,glass,MSC02,MSC04,0.5
109,semantic,motor,MSC02,MSC04,0.5
110,semantic,mem,MSC02,MSC04,0.5
111,glass,semantic,MSC02,MSC04,0.6049999999999999
112,glass,motor,MSC02,MSC04,0.51
113,glass,mem,MSC02,MSC04,0.5
114,motor,semantic,MSC02,MSC04,0.5649999999999998
115,motor,glass,MSC02,MSC04,0.5149999999999999
116,motor,mem,MSC02,MSC04,0.5
117,mem,semantic,MSC02,MSC04,0.9099999999999999
118,mem,glass,MSC02,MSC04,0.825
119,mem,motor,MSC02,MSC04,0.8149999999999998
120,semantic,glass,MSC02,MSC05,0.5
121,semantic,motor,MSC02,MSC05,0.5
122,semantic,mem,MSC02,MSC05,0.5
123,glass,semantic,MSC02,MSC05,0.5
124,glass,motor,MSC02,MSC05,0.5
125,glass,mem,MSC02,MSC05,0.5
126,motor,semantic,MSC02,MSC05,0.5
127,motor,glass,MSC02,MSC05,0.6500000000000001
128,motor,mem,MSC02,MSC05,0.5
129,mem,semantic,MSC02,MSC05,0.8300000000000001
130,mem,glass,MSC02,MSC05,0.8149999999999998
131,mem,motor,MSC02,MSC05,0.845
132,semantic,glass,MSC02,MSC06,0.5
133,semantic,motor,MSC02,MSC06,0.5
134,semantic,mem,MSC02,MSC06,0.5
135,glass,semantic,MSC02,MSC06,0.5149999999999999
136,glass,motor,MSC02,MSC06,0.5
137,glass,mem,MSC02,MSC06,0.5
138,motor,semantic,MSC02,MSC06,0.5
139,motor,glass,MSC02,MSC06,0.5
140,motor,mem,MSC02,MSC06,0.5
141,mem,semantic,MSC02,MSC06,0.685
142,mem,glass,MSC02,MSC06,0.561111111111111
143,mem,motor,MSC02,MSC06,0.7100000000000001
144,semantic,glass,MSC02,MSC07,0.56
145,semantic,motor,MSC02,MSC07,0.495
146,semantic,mem,MSC02,MSC07,0.49000000000000005
147,glass,semantic,MSC02,MSC07,0.6249999999999999
148,glass,motor,MSC02,MSC07,0.485
149,glass,mem,MSC02,MSC07,0.49000000000000005
150,motor,semantic,MSC02,MSC07,0.51
151,motor,glass,MSC02,MSC07,0.515
152,motor,mem,MSC02,MSC07,0.5
153,mem,semantic,MSC02,MSC07,0.5899999999999999
154,mem,glass,MSC02,MSC07,0.6500000000000001
155,mem,motor,MSC02,MSC07,0.7100000000000001
156,semantic,glass,MSC02,MSC10,0.5
157,semantic,motor,MSC02,MSC10,0.5
158,semantic,mem,MSC02,MSC10,0.5
159,glass,semantic,MSC02,MSC10,0.59
160,glass,motor,MSC02,MSC10,0.5449999999999999
161,glass,mem,MSC02,MSC10,0.5
162,motor,semantic,MSC02,MSC10,0.505
163,motor,glass,MSC02,MSC10,0.5
164,motor,mem,MSC02,MSC10,0.5
165,mem,semantic,MSC02,MSC10,0.575
166,mem,glass,MSC02,MSC10,0.6450000000000001
167,mem,motor,MSC02,MSC10,0.72
168,semantic,glass,MSC03,MSC01,0.5
169,semantic,motor,MSC03,MSC01,0.5
170,semantic,mem,MSC03,MSC01,0.5
171,glass,semantic,MSC03,MSC01,0.5
172,glass,motor,MSC03,MSC01,0.5
173,glass,mem,MSC03,MSC01,0.5
174,motor,semantic,MSC03,MSC01,0.5
175,motor,glass,MSC03,MSC01,0.5
176,motor,mem,MSC03,MSC01,0.5
177,mem,semantic,MSC03,MSC01,0.38
178,mem,glass,MSC03,MSC01,0.39
179,mem,motor,MSC03,MSC01,0.51
180,semantic,glass,MSC03,MSC02,0.5
181,semantic,motor,MSC03,MSC02,0.5
182,semantic,mem,MSC03,MSC02,0.5
183,glass,semantic,MSC03,MSC02,0.5599999999999999
184,glass,motor,MSC03,MSC02,0.51
185,glass,mem,MSC03,MSC02,0.5
186,motor,semantic,MSC03,MSC02,0.5499999999999999
187,motor,glass,MSC03,MSC02,0.5
188,motor,mem,MSC03,MSC02,0.51
189,mem,semantic,MSC03,MSC02,0.31
190,mem,glass,MSC03,MSC02,0.39
191,mem,motor,MSC03,MSC02,0.5050000000000001
192,semantic,glass,MSC03,MSC04,0.5
193,semantic,motor,MSC03,MSC04,0.5
194,semantic,mem,MSC03,MSC04,0.5
195,glass,semantic,MSC03,MSC04,0.5
196,glass,motor,MSC03,MSC04,0.5
197,glass,mem,MSC03,MSC04,0.5
198,motor,semantic,MSC03,MSC04,0.54
199,motor,glass,MSC03,MSC04,0.665
200,motor,mem,MSC03,MSC04,0.51
201,mem,semantic,MSC03,MSC04,0.69
202,mem,glass,MSC03,MSC04,0.775
203,mem,motor,MSC03,MSC04,0.82
204,semantic,glass,MSC03,MSC05,0.5
205,semantic,motor,MSC03,MSC05,0.5
206,semantic,mem,MSC03,MSC05,0.5
207,glass,semantic,MSC03,MSC05,0.5
208,glass,motor,MSC03,MSC05,0.5499999999999999
209,glass,mem,MSC03,MSC05,0.5
210,motor,semantic,MSC03,MSC05,0.525
211,motor,glass,MSC03,MSC05,0.5349999999999999
212,motor,mem,MSC03,MSC05,0.54
213,mem,semantic,MSC03,MSC05,0.8249999999999998
214,mem,glass,MSC03,MSC05,0.74
215,mem,motor,MSC03,MSC05,0.8149999999999998
216,semantic,glass,MSC03,MSC06,0.5
217,semantic,motor,MSC03,MSC06,0.5
218,semantic,mem,MSC03,MSC06,0.5
219,glass,semantic,MSC03,MSC06,0.5
220,glass,motor,MSC03,MSC06,0.5
221,glass,mem,MSC03,MSC06,0.5
222,motor,semantic,MSC03,MSC06,0.5
223,motor,glass,MSC03,MSC06,0.5
224,motor,mem,MSC03,MSC06,0.5
225,mem,semantic,MSC03,MSC06,0.6399999999999999
226,mem,glass,MSC03,MSC06,0.5944444444444444
227,mem,motor,MSC03,MSC06,0.72
228,semantic,glass,MSC03,MSC07,0.5
229,semantic,motor,MSC03,MSC07,0.5
230,semantic,mem,MSC03,MSC07,0.5
231,glass,semantic,MSC03,MSC07,0.5
232,glass,motor,MSC03,MSC07,0.5
233,glass,mem,MSC03,MSC07,0.5
234,motor,semantic,MSC03,MSC07,0.5
235,motor,glass,MSC03,MSC07,0.5
236,motor,mem,MSC03,MSC07,0.505
237,mem,semantic,MSC03,MSC07,0.425
238,mem,glass,MSC03,MSC07,0.5349999999999999
239,mem,motor,MSC03,MSC07,0.835
240,semantic,glass,MSC03,MSC10,0.5
241,semantic,motor,MSC03,MSC10,0.5
242,semantic,mem,MSC03,MSC10,0.5
243,glass,semantic,MSC03,MSC10,0.5
244,glass,motor,MSC03,MSC10,0.5449999999999999
245,glass,mem,MSC03,MSC10,0.5
