,train_sub,test_sub,task,acc
0,MSC01,MSC02,semantic,0.8549999999999999
1,MSC01,MSC02,glass,0.7499999999999999
2,MSC01,MSC02,motor,0.925
3,MSC01,MSC02,mem,0.635
4,MSC01,MSC03,semantic,0.5850000000000002
5,MSC01,MSC03,glass,0.6300000000000001
6,MSC01,MSC03,motor,0.8700000000000001
7,MSC01,MSC03,mem,0.845
8,MSC01,MSC04,semantic,0.705
9,MSC01,MSC04,glass,0.7899999999999999
10,MSC01,MSC04,motor,0.9799999999999999
11,MSC01,MSC04,mem,0.8150000000000001
12,MSC01,MSC05,semantic,0.685
13,MSC01,MSC05,glass,0.7
14,MSC01,MSC05,motor,0.7699999999999998
15,MSC01,MSC05,mem,0.9799999999999999
16,MSC01,MSC06,semantic,0.665
17,MSC01,MSC06,glass,0.5111111111111111
18,MSC01,MSC06,motor,0.8700000000000001
19,MSC01,MSC06,mem,0.975
20,MSC01,MSC07,semantic,0.675
21,MSC01,MSC07,glass,0.775
22,MSC01,MSC07,motor,0.675
23,MSC01,MSC07,mem,0.6399999999999999
24,MSC01,MSC10,semantic,0.6000000000000001
25,MSC01,MSC10,glass,0.505
26,MSC01,MSC10,motor,0.8950000000000001
27,MSC01,MSC10,mem,0.9949999999999999
28,MSC02,MSC01,semantic,0.5549999999999999
29,MSC02,MSC01,glass,0.7500000000000001
30,MSC02,MSC01,motor,0.9149999999999998
31,MSC02,MSC01,mem,0.9700000000000001
32,MSC02,MSC03,semantic,0.5
33,MSC02,MSC03,glass,0.51
34,MSC02,MSC03,motor,0.865
35,MSC02,MSC03,mem,0.9400000000000001
36,MSC02,MSC04,semantic,0.5
37,MSC02,MSC04,glass,0.505
38,MSC02,MSC04,motor,0.875
39,MSC02,MSC04,mem,0.9949999999999999
40,MSC02,MSC05,semantic,0.5
41,MSC02,MSC05,glass,0.55
42,MSC02,MSC05,motor,0.865
43,MSC02,MSC05,mem,0.7899999999999999
44,MSC02,MSC06,semantic,0.505
45,MSC02,MSC06,glass,0.5
46,MSC02,MSC06,motor,0.5
47,MSC02,MSC06,mem,0.89
48,MSC02,MSC07,semantic,0.6500000000000001
49,MSC02,MSC07,glass,0.6450000000000001
50,MSC02,MSC07,motor,0.5449999999999999
51,MSC02,MSC07,mem,0.86
52,MSC02,MSC10,semantic,0.505
53,MSC02,MSC10,glass,0.5
54,MSC02,MSC10,motor,0.665
55,MSC02,MSC10,mem,0.945
56,MSC03,MSC01,semantic,0.5
57,MSC03,MSC01,glass,0.5
58,MSC03,MSC01,motor,0.5149999999999999
59,MSC03,MSC01,mem,0.6049999999999999
60,MSC03,MSC02,semantic,0.5
61,MSC03,MSC02,glass,0.5
62,MSC03,MSC02,motor,0.8650000000000002
63,MSC03,MSC02,mem,0.5499999999999999
64,MSC03,MSC04,semantic,0.505
65,MSC03,MSC04,glass,0.575
66,MSC03,MSC04,motor,0.86
67,MSC03,MSC04,mem,0.825
68,MSC03,MSC05,semantic,0.5
69,MSC03,MSC05,glass,0.5
70,MSC03,MSC05,motor,0.825
71,MSC03,MSC05,mem,0.7999999999999999
72,MSC03,MSC06,semantic,0.5
73,MSC03,MSC06,glass,0.5
74,MSC03,MSC06,motor,0.5
75,MSC03,MSC06,mem,0.72
76,MSC03,MSC07,semantic,0.5
77,MSC03,MSC07,glass,0.5549999999999999
78,MSC03,MSC07,motor,0.59
79,MSC03,MSC07,mem,0.7849999999999999
80,MSC03,MSC10,semantic,0.5
81,MSC03,MSC10,glass,0.5
82,MSC03,MSC10,motor,0.5599999999999998
83,MSC03,MSC10,mem,0.9150000000000003
84,MSC04,MSC01,semantic,0.76
85,MSC04,MSC01,glass,0.9399999999999998
86,MSC04,MSC01,motor,0.8950000000000001
87,MSC04,MSC01,mem,0.66
88,MSC04,MSC02,semantic,0.875
89,MSC04,MSC02,glass,0.6950000000000001
90,MSC04,MSC02,motor,0.9400000000000001
91,MSC04,MSC02,mem,0.61
92,MSC04,MSC03,semantic,0.6500000000000001
93,MSC04,MSC03,glass,0.7799999999999999
94,MSC04,MSC03,motor,0.85
95,MSC04,MSC03,mem,0.845
96,MSC04,MSC05,semantic,0.57
97,MSC04,MSC05,glass,0.8200000000000001
98,MSC04,MSC05,motor,0.9649999999999999
99,MSC04,MSC05,mem,0.9099999999999999
100,MSC04,MSC06,semantic,0.71
101,MSC04,MSC06,glass,0.7055555555555556
102,MSC04,MSC06,motor,0.9600000000000002
103,MSC04,MSC06,mem,0.8649999999999999
104,MSC04,MSC07,semantic,0.8149999999999998
105,MSC04,MSC07,glass,0.5549999999999999
106,MSC04,MSC07,motor,0.7999999999999999
107,MSC04,MSC07,mem,0.74
108,MSC04,MSC10,semantic,0.6850000000000002
109,MSC04,MSC10,glass,0.7699999999999999
110,MSC04,MSC10,motor,0.9549999999999998
111,MSC04,MSC10,mem,0.95
112,MSC05,MSC01,semantic,1.0
113,MSC05,MSC01,glass,0.755
114,MSC05,MSC01,motor,0.59
115,MSC05,MSC01,mem,0.9899999999999999
116,MSC05,MSC02,semantic,0.74
117,MSC05,MSC02,glass,0.6799999999999999
118,MSC05,MSC02,motor,0.7799999999999999
119,MSC05,MSC02,mem,0.51
120,MSC05,MSC03,semantic,0.8549999999999999
121,MSC05,MSC03,glass,0.9100000000000001
122,MSC05,MSC03,motor,0.845
123,MSC05,MSC03,mem,0.865
124,MSC05,MSC04,semantic,0.74
125,MSC05,MSC04,glass,0.755
126,MSC05,MSC04,motor,0.835
127,MSC05,MSC04,mem,0.915
128,MSC05,MSC06,semantic,0.6700000000000002
129,MSC05,MSC06,glass,0.611111111111111
130,MSC05,MSC06,motor,0.505
131,MSC05,MSC06,mem,0.9650000000000001
132,MSC05,MSC07,semantic,0.7899999999999999
133,MSC05,MSC07,glass,0.605
134,MSC05,MSC07,motor,0.6900000000000001
135,MSC05,MSC07,mem,0.515
136,MSC05,MSC10,semantic,0.6400000000000001
137,MSC05,MSC10,glass,0.5799999999999998
138,MSC05,MSC10,motor,0.605
139,MSC05,MSC10,mem,0.8099999999999999
140,MSC06,MSC01,semantic,0.865
141,MSC06,MSC01,glass,0.5611111111111111
142,MSC06,MSC01,motor,0.755
143,MSC06,MSC01,mem,0.975
144,MSC06,MSC02,semantic,0.8400000000000001
145,MSC06,MSC02,glass,0.5
146,MSC06,MSC02,motor,0.65
147,MSC06,MSC02,mem,0.7249999999999999
148,MSC06,MSC03,semantic,0.7499999999999999
149,MSC06,MSC03,glass,0.5611111111111111
150,MSC06,MSC03,motor,0.68
151,MSC06,MSC03,mem,0.9
152,MSC06,MSC04,semantic,0.765
153,MSC06,MSC04,glass,0.7666666666666668
154,MSC06,MSC04,motor,0.7899999999999999
155,MSC06,MSC04,mem,0.885
156,MSC06,MSC05,semantic,0.635
157,MSC06,MSC05,glass,0.8333333333333333
158,MSC06,MSC05,motor,0.9000000000000001
159,MSC06,MSC05,mem,0.9299999999999999
160,MSC06,MSC07,semantic,0.825
161,MSC06,MSC07,glass,0.5111111111111111
162,MSC06,MSC07,motor,0.78
163,MSC06,MSC07,mem,0.7350000000000001
164,MSC06,MSC10,semantic,0.5949999999999999
165,MSC06,MSC10,glass,0.5277777777777778
166,MSC06,MSC10,motor,0.9200000000000002
