,train_task,test_task,sub,acc
0,semantic,glass,MSC01,0.8149999999999998
1,semantic,motor,MSC01,0.805
2,semantic,mem,MSC01,0.6049999999999999
3,glass,semantic,MSC01,0.9549999999999998
4,glass,motor,MSC01,0.8900000000000002
5,glass,mem,MSC01,0.7050000000000001
6,motor,semantic,MSC01,0.945
7,motor,glass,MSC01,0.75
8,motor,mem,MSC01,0.6450000000000001
9,mem,semantic,MSC01,0.9549999999999998
10,mem,glass,MSC01,0.7999999999999999
11,mem,motor,MSC01,0.8699999999999999
12,semantic,glass,MSC02,0.6950000000000001
13,semantic,motor,MSC02,0.5700000000000001
14,semantic,mem,MSC02,0.5
15,glass,semantic,MSC02,0.96
16,glass,motor,MSC02,0.595
17,glass,mem,MSC02,0.55
18,motor,semantic,MSC02,0.63
19,motor,glass,MSC02,0.51
20,motor,mem,MSC02,0.505
21,mem,semantic,MSC02,0.74
22,mem,glass,MSC02,0.65
23,mem,motor,MSC02,0.7799999999999999
24,semantic,glass,MSC03,0.7899999999999999
25,semantic,motor,MSC03,0.67
26,semantic,mem,MSC03,0.5549999999999999
27,glass,semantic,MSC03,0.7250000000000001
28,glass,motor,MSC03,0.76
29,glass,mem,MSC03,0.53
30,motor,semantic,MSC03,0.625
31,motor,glass,MSC03,0.6500000000000001
32,motor,mem,MSC03,0.6199999999999999
33,mem,semantic,MSC03,0.7050000000000001
34,mem,glass,MSC03,0.62
35,mem,motor,MSC03,0.8149999999999998
36,semantic,glass,MSC04,0.7150000000000001
37,semantic,motor,MSC04,0.57
38,semantic,mem,MSC04,0.6250000000000001
39,glass,semantic,MSC04,0.7699999999999999
40,glass,motor,MSC04,0.905
41,glass,mem,MSC04,0.8400000000000001
42,motor,semantic,MSC04,0.615
43,motor,glass,MSC04,0.835
44,motor,mem,MSC04,0.82
45,mem,semantic,MSC04,0.76
46,mem,glass,MSC04,0.8950000000000001
47,mem,motor,MSC04,0.8549999999999999
48,semantic,glass,MSC05,0.77
49,semantic,motor,MSC05,0.7050000000000002
50,semantic,mem,MSC05,0.74
51,glass,semantic,MSC05,0.885
52,glass,motor,MSC05,0.85
53,glass,mem,MSC05,0.735
54,motor,semantic,MSC05,0.605
55,motor,glass,MSC05,0.635
56,motor,mem,MSC05,0.6450000000000001
57,mem,semantic,MSC05,0.7699999999999999
58,mem,glass,MSC05,0.74
59,mem,motor,MSC05,0.8900000000000002
60,semantic,glass,MSC06,0.5833333333333333
61,semantic,motor,MSC06,0.72
62,semantic,mem,MSC06,0.65
63,glass,semantic,MSC06,0.7666666666666666
64,glass,motor,MSC06,0.6666666666666665
65,glass,mem,MSC06,0.7222222222222221
66,motor,semantic,MSC06,0.665
67,motor,glass,MSC06,0.5555555555555555
68,motor,mem,MSC06,0.7050000000000001
69,mem,semantic,MSC06,0.6549999999999999
70,mem,glass,MSC06,0.5666666666666667
71,mem,motor,MSC06,0.86
72,semantic,glass,MSC07,0.825
73,semantic,motor,MSC07,0.5499999999999999
74,semantic,mem,MSC07,0.5449999999999999
75,glass,semantic,MSC07,0.825
76,glass,motor,MSC07,0.505
77,glass,mem,MSC07,0.6850000000000002
78,motor,semantic,MSC07,0.5
79,motor,glass,MSC07,0.5
80,motor,mem,MSC07,0.5
81,mem,semantic,MSC07,0.6850000000000002
82,mem,glass,MSC07,0.8399999999999999
83,mem,motor,MSC07,0.55
84,semantic,glass,MSC10,0.7949999999999999
85,semantic,motor,MSC10,0.6300000000000001
86,semantic,mem,MSC10,0.7150000000000001
87,glass,semantic,MSC10,0.7449999999999999
88,glass,motor,MSC10,0.7249999999999999
89,glass,mem,MSC10,0.875
90,motor,semantic,MSC10,0.5
91,motor,glass,MSC10,0.5549999999999999
92,motor,mem,MSC10,0.6500000000000001
93,mem,semantic,MSC10,0.545
94,mem,glass,MSC10,0.6500000000000001
95,mem,motor,MSC10,0.7699999999999999
