train_task,test_task,acc
mixed,motor,0.99
mixed,mem,0.985
motor,mixed,0.7999999999999999
motor,mem,0.8099999999999999
mem,mixed,0.985
mem,motor,1.0
mixed,motor,0.8150000000000001
mixed,mem,0.8700000000000001
motor,mixed,0.5449999999999999
motor,mem,0.5399999999999999
mem,mixed,0.7749999999999999
mem,motor,0.7449999999999999
mixed,motor,0.9549999999999998
mixed,mem,0.8950000000000001
motor,mixed,0.655
motor,mem,0.61
mem,mixed,0.7999999999999999
mem,motor,0.9049999999999999
mixed,motor,0.9
mixed,mem,0.96
motor,mixed,0.675
motor,mem,0.75
mem,mixed,0.865
mem,motor,0.7549999999999999
mixed,motor,0.945
mixed,mem,0.95
motor,mixed,0.615
motor,mem,0.755
mem,mixed,0.9000000000000001
mem,motor,0.9700000000000001
mixed,motor,0.8300000000000001
mixed,mem,0.95
motor,mixed,0.5499999999999999
motor,mem,0.505
mem,mixed,0.705
mem,motor,0.5700000000000001
mixed,motor,0.735
mixed,mem,0.8099999999999999
motor,mixed,0.5499999999999999
motor,mem,0.51
mem,mixed,0.9649999999999999
mem,motor,0.925
mixed,motor,0.825
mixed,mem,0.7949999999999999
motor,mixed,0.6500000000000001
motor,mem,0.66
mem,mixed,0.9450000000000001
mem,motor,0.8099999999999999
