task,acc
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.525
mem,0.5449999999999999
mixed,0.5
motor,0.48500000000000004
mem,0.505
mixed,0.5
motor,0.71
mem,0.505
mixed,0.5
motor,0.45000000000000007
mem,0.525
mixed,0.59
motor,0.5
mem,0.865
mixed,0.5599999999999999
motor,0.5
mem,0.7350000000000001
mixed,0.565
motor,0.5
mem,0.885
mixed,0.66
motor,0.5
mem,0.9800000000000001
mixed,0.6600000000000001
motor,0.5
mem,0.8649999999999999
mixed,0.86
motor,0.5
mem,0.9500000000000002
mixed,0.5899999999999999
motor,0.5
mem,0.89
mixed,0.565
motor,0.8850000000000001
mem,0.89
mixed,0.675
motor,0.5999999999999999
mem,0.8950000000000001
mixed,0.8800000000000001
motor,0.9400000000000001
mem,0.8800000000000001
mixed,0.85
motor,0.915
mem,0.75
mixed,0.53
motor,0.82
mem,0.7999999999999999
mixed,0.76
motor,0.86
mem,0.905
mixed,0.58
motor,0.8749999999999998
mem,0.9549999999999998
mixed,0.53
motor,0.6799999999999999
mem,0.5149999999999999
mixed,0.605
motor,0.7949999999999999
mem,0.9
mixed,0.8049999999999999
motor,0.925
mem,0.8600000000000001
mixed,0.8299999999999998
motor,0.8499999999999999
mem,0.9600000000000002
mixed,0.85
motor,0.7799999999999999
mem,0.9200000000000002
mixed,0.76
motor,0.9400000000000001
mem,0.825
mixed,0.925
motor,0.95
mem,0.9349999999999999
mixed,0.495
motor,0.8049999999999999
mem,0.6950000000000001
mixed,0.5
motor,0.675
mem,0.53
mixed,0.7899999999999999
motor,0.9499999999999998
mem,0.775
mixed,0.6500000000000001
motor,0.925
mem,0.7350000000000001
mixed,0.6650000000000001
motor,0.665
mem,0.8150000000000001
mixed,0.6049999999999999
motor,0.8400000000000001
mem,0.76
mixed,0.7150000000000001
motor,0.7699999999999999
mem,0.85
mixed,0.67
motor,0.8
mem,0.7100000000000001
mixed,0.51
motor,0.5149999999999999
mem,0.67
mixed,0.505
motor,0.86
mem,0.7949999999999999
mixed,0.805
motor,0.9100000000000001
mem,0.79
mixed,0.635
motor,0.72
mem,0.875
mixed,0.7999999999999999
motor,0.9799999999999999
mem,0.7849999999999999
mixed,0.655
motor,0.865
mem,0.9049999999999999
mixed,0.96
motor,0.76
mem,0.675
mixed,0.985
motor,0.73
mem,0.625
mixed,0.655
motor,0.7849999999999999
mem,0.66
mixed,0.9299999999999999
motor,0.945
mem,0.89
mixed,0.8800000000000001
motor,0.885
mem,0.52
mixed,0.85
motor,0.9399999999999998
mem,0.8
mixed,0.8750000000000002
motor,0.905
mem,0.695
mixed,0.5999999999999999
motor,0.64
mem,0.7449999999999999
mixed,0.705
motor,0.545
mem,0.865
mixed,0.5
motor,0.73
mem,0.64
mixed,0.8099999999999999
motor,0.925
mem,0.8549999999999999
mixed,0.65
motor,0.825
mem,0.8099999999999999
mixed,0.5
motor,0.6900000000000002
mem,0.665
mixed,0.6799999999999999
motor,0.8599999999999998
mem,0.9099999999999999
