task,acc
mixed,0.5399999999999999
motor,0.5599999999999999
mem,0.5
mixed,0.425
motor,0.5549999999999999
mem,0.6950000000000001
mixed,0.5
motor,0.59
mem,0.515
mixed,0.5
motor,0.605
mem,0.63
mixed,0.5
motor,0.5499999999999999
mem,0.505
mixed,0.72
motor,0.6650000000000001
mem,0.505
mixed,0.75
motor,0.7649999999999999
mem,0.6000000000000001
mixed,0.48500000000000004
motor,0.38499999999999995
mem,0.4450000000000001
mixed,0.6
motor,0.605
mem,0.355
mixed,0.4400000000000001
motor,0.4800000000000001
mem,0.625
mixed,0.445
motor,0.43000000000000005
mem,0.41
mixed,0.59
motor,0.7
mem,0.675
mixed,0.5599999999999999
motor,0.28500000000000003
mem,0.5349999999999999
mixed,0.4600000000000001
motor,0.5
mem,0.625
mixed,0.5
motor,0.5499999999999999
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5499999999999999
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5199999999999999
mem,0.5
mixed,0.5
motor,0.5199999999999999
mem,0.5
mixed,0.5
motor,0.5
mem,0.6900000000000002
mixed,0.465
motor,0.86
mem,0.6950000000000001
mixed,0.635
motor,0.585
mem,0.6800000000000002
mixed,0.495
motor,0.615
mem,0.5349999999999999
mixed,0.55
motor,0.6100000000000001
mem,0.6399999999999999
mixed,0.905
motor,0.7300000000000001
mem,0.7150000000000001
mixed,0.635
motor,0.865
mem,0.5549999999999999
mixed,0.735
motor,0.615
mem,0.64
mixed,0.5799999999999998
motor,0.6900000000000001
mem,0.615
mixed,0.43500000000000005
motor,0.41999999999999993
mem,0.49000000000000005
mixed,0.4050000000000001
motor,0.41000000000000003
mem,0.54
mixed,0.545
motor,0.57
mem,0.47000000000000003
mixed,0.5000000000000001
motor,0.48500000000000004
mem,0.6849999999999999
mixed,0.565
motor,0.635
mem,0.46500000000000014
mixed,0.675
motor,0.6649999999999999
mem,0.6850000000000002
mixed,0.6849999999999999
motor,0.675
mem,0.5849999999999999
mixed,0.595
motor,0.7899999999999999
mem,0.6
mixed,0.45500000000000007
motor,0.655
mem,0.515
mixed,0.8799999999999999
motor,0.645
mem,0.595
mixed,0.4800000000000001
motor,0.4699999999999999
mem,0.49000000000000005
mixed,0.5499999999999999
motor,0.5499999999999999
mem,0.5899999999999999
mixed,0.575
motor,0.7399999999999999
mem,0.5449999999999999
mixed,0.9400000000000001
motor,0.845
mem,0.8549999999999999
mixed,0.575
motor,0.5549999999999999
mem,0.615
mixed,0.35999999999999993
motor,0.44000000000000006
mem,0.43999999999999995
mixed,0.5
motor,0.595
mem,0.57
mixed,0.505
motor,0.5799999999999998
mem,0.595
mixed,0.52
motor,0.6049999999999999
mem,0.5549999999999999
mixed,0.75
motor,0.8299999999999998
mem,0.5099999999999999
mixed,0.7899999999999999
motor,0.8
mem,0.52
mixed,0.61
motor,0.605
mem,0.6449999999999999
mixed,0.445
motor,0.675
mem,0.5
mixed,0.5
motor,0.59
mem,0.51
mixed,0.5250000000000001
motor,0.585
mem,0.685
mixed,0.63
motor,0.6900000000000001
mem,0.66
mixed,0.5349999999999999
motor,0.6950000000000001
mem,0.5449999999999999
