train_task,test_task,acc
mixed,motor,0.95
mixed,mem,0.9199999999999999
motor,mixed,0.95
motor,mem,0.8900000000000002
mem,mixed,0.9550000000000001
mem,motor,0.8599999999999998
mixed,motor,0.7549999999999999
mixed,mem,0.635
motor,mixed,0.5549999999999999
motor,mem,0.595
mem,mixed,0.5599999999999999
mem,motor,0.705
mixed,motor,0.9199999999999999
mixed,mem,0.9099999999999999
motor,mixed,0.6799999999999999
motor,mem,0.5399999999999999
mem,mixed,0.685
mem,motor,0.7150000000000001
mixed,motor,0.675
mixed,mem,0.7299999999999999
motor,mixed,0.5599999999999999
motor,mem,0.525
mem,mixed,0.755
mem,motor,0.5549999999999999
mixed,motor,0.7299999999999999
mixed,mem,0.875
motor,mixed,0.5149999999999999
motor,mem,0.6700000000000002
mem,mixed,0.6450000000000001
mem,motor,0.7699999999999999
mixed,motor,0.6050000000000002
mixed,mem,0.7899999999999998
motor,mixed,0.5549999999999999
motor,mem,0.575
mem,mixed,0.7999999999999998
mem,motor,0.6300000000000001
mixed,motor,0.9000000000000001
mixed,mem,0.645
motor,mixed,0.58
motor,mem,0.505
mem,mixed,0.6300000000000001
mem,motor,0.78
mixed,motor,0.8450000000000001
mixed,mem,0.7150000000000001
motor,mixed,0.78
motor,mem,0.6149999999999999
mem,mixed,0.745
mem,motor,0.7849999999999999
