train_task,test_task,acc
mixed,motor,0.95
mixed,mem,0.9
motor,mixed,0.9850000000000001
motor,mem,0.865
mem,mixed,0.9550000000000001
mem,motor,0.8699999999999999
mixed,motor,0.7449999999999999
mixed,mem,0.5399999999999999
motor,mixed,0.53
motor,mem,0.565
mem,mixed,0.5799999999999998
mem,motor,0.71
mixed,motor,0.8949999999999999
mixed,mem,0.8450000000000001
motor,mixed,0.7150000000000001
motor,mem,0.5349999999999999
mem,mixed,0.62
mem,motor,0.625
mixed,motor,0.645
mixed,mem,0.74
motor,mixed,0.57
motor,mem,0.5149999999999999
mem,mixed,0.7300000000000001
mem,motor,0.5850000000000001
mixed,motor,0.615
mixed,mem,0.78
motor,mixed,0.5149999999999999
motor,mem,0.685
mem,mixed,0.6400000000000001
mem,motor,0.6950000000000001
mixed,motor,0.6250000000000002
mixed,mem,0.805
motor,mixed,0.565
motor,mem,0.5849999999999999
mem,mixed,0.8049999999999999
mem,motor,0.68
mixed,motor,0.8450000000000001
mixed,mem,0.5900000000000001
motor,mixed,0.595
motor,mem,0.51
mem,mixed,0.555
mem,motor,0.63
mixed,motor,0.8500000000000002
mixed,mem,0.7749999999999998
motor,mixed,0.8399999999999999
motor,mem,0.75
mem,mixed,0.82
mem,motor,0.8500000000000002
