,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.61
1,mixed,mem,MSC01,MSC02,0.78
2,motor,mixed,MSC01,MSC02,0.7
3,motor,mem,MSC01,MSC02,0.73
4,mem,mixed,MSC01,MSC02,0.7649999999999999
5,mem,motor,MSC01,MSC02,0.585
6,mixed,motor,MSC01,MSC03,0.52
7,mixed,mem,MSC01,MSC03,0.7899999999999999
8,motor,mixed,MSC01,MSC03,0.5149999999999999
9,motor,mem,MSC01,MSC03,0.655
10,mem,mixed,MSC01,MSC03,0.7100000000000001
11,mem,motor,MSC01,MSC03,0.52
12,mixed,motor,MSC01,MSC04,0.5
13,mixed,mem,MSC01,MSC04,0.51
14,motor,mixed,MSC01,MSC04,0.5349999999999999
15,motor,mem,MSC01,MSC04,0.59
16,mem,mixed,MSC01,MSC04,0.5
17,mem,motor,MSC01,MSC04,0.53
18,mixed,motor,MSC01,MSC05,0.525
19,mixed,mem,MSC01,MSC05,0.5700000000000001
20,motor,mixed,MSC01,MSC05,0.5
21,motor,mem,MSC01,MSC05,0.575
22,mem,mixed,MSC01,MSC05,0.5
23,mem,motor,MSC01,MSC05,0.5
24,mixed,motor,MSC01,MSC06,0.5499999999999999
25,mixed,mem,MSC01,MSC06,0.6050000000000002
26,motor,mixed,MSC01,MSC06,0.5
27,motor,mem,MSC01,MSC06,0.5499999999999999
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.675
30,mixed,motor,MSC01,MSC07,0.6250000000000001
31,mixed,mem,MSC01,MSC07,0.5899999999999999
32,motor,mixed,MSC01,MSC07,0.5399999999999999
33,motor,mem,MSC01,MSC07,0.5349999999999999
34,mem,mixed,MSC01,MSC07,0.7849999999999999
35,mem,motor,MSC01,MSC07,0.6850000000000002
36,mixed,motor,MSC01,MSC10,0.5349999999999999
37,mixed,mem,MSC01,MSC10,0.545
38,motor,mixed,MSC01,MSC10,0.49000000000000005
39,motor,mem,MSC01,MSC10,0.6850000000000002
40,mem,mixed,MSC01,MSC10,0.47000000000000003
41,mem,motor,MSC01,MSC10,0.5599999999999999
42,mixed,motor,MSC02,MSC01,0.85
43,mixed,mem,MSC02,MSC01,0.82
44,motor,mixed,MSC02,MSC01,0.595
45,motor,mem,MSC02,MSC01,0.64
46,mem,mixed,MSC02,MSC01,0.8299999999999998
47,mem,motor,MSC02,MSC01,0.885
48,mixed,motor,MSC02,MSC03,0.6599999999999999
49,mixed,mem,MSC02,MSC03,0.86
50,motor,mixed,MSC02,MSC03,0.85
51,motor,mem,MSC02,MSC03,0.73
52,mem,mixed,MSC02,MSC03,0.775
53,mem,motor,MSC02,MSC03,0.75
54,mixed,motor,MSC02,MSC04,0.605
55,mixed,mem,MSC02,MSC04,0.635
56,motor,mixed,MSC02,MSC04,0.54
57,motor,mem,MSC02,MSC04,0.58
58,mem,mixed,MSC02,MSC04,0.655
59,mem,motor,MSC02,MSC04,0.7050000000000001
60,mixed,motor,MSC02,MSC05,0.68
61,mixed,mem,MSC02,MSC05,0.7050000000000001
62,motor,mixed,MSC02,MSC05,0.51
63,motor,mem,MSC02,MSC05,0.5549999999999999
