,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.8450000000000001
1,MSC01,MSC02,motor,0.8800000000000001
2,MSC01,MSC02,mem,0.7649999999999999
3,MSC01,MSC03,mixed,0.7050000000000001
4,MSC01,MSC03,motor,0.6250000000000001
5,MSC01,MSC03,mem,0.7849999999999999
6,MSC01,MSC04,mixed,0.5
7,MSC01,MSC04,motor,0.76
8,MSC01,MSC04,mem,0.585
9,MSC01,MSC05,mixed,0.5
10,MSC01,MSC05,motor,0.6
11,MSC01,MSC05,mem,0.5149999999999999
12,MSC01,MSC06,mixed,0.5
13,MSC01,MSC06,motor,0.68
14,MSC01,MSC06,mem,0.76
15,MSC01,MSC07,mixed,0.635
16,MSC01,MSC07,motor,0.7250000000000001
17,MSC01,MSC07,mem,0.7100000000000001
18,MSC01,MSC10,mixed,0.48500000000000004
19,MSC01,MSC10,motor,0.775
20,MSC01,MSC10,mem,0.5599999999999998
21,MSC02,MSC01,mixed,0.8049999999999999
22,MSC02,MSC01,motor,0.9400000000000001
23,MSC02,MSC01,mem,0.9250000000000002
24,MSC02,MSC03,mixed,0.8699999999999999
25,MSC02,MSC03,motor,0.9949999999999999
26,MSC02,MSC03,mem,0.7550000000000001
27,MSC02,MSC04,mixed,0.5149999999999999
28,MSC02,MSC04,motor,0.85
29,MSC02,MSC04,mem,0.825
30,MSC02,MSC05,mixed,0.675
31,MSC02,MSC05,motor,0.7000000000000001
32,MSC02,MSC05,mem,0.7899999999999999
33,MSC02,MSC06,mixed,0.6250000000000001
34,MSC02,MSC06,motor,0.85
35,MSC02,MSC06,mem,0.8699999999999999
36,MSC02,MSC07,mixed,0.8750000000000002
37,MSC02,MSC07,motor,0.9099999999999999
38,MSC02,MSC07,mem,0.7699999999999999
39,MSC02,MSC10,mixed,0.45500000000000007
40,MSC02,MSC10,motor,0.73
41,MSC02,MSC10,mem,0.6700000000000002
42,MSC03,MSC01,mixed,0.5549999999999999
43,MSC03,MSC01,motor,0.9200000000000002
44,MSC03,MSC01,mem,0.8799999999999999
45,MSC03,MSC02,mixed,0.5449999999999999
46,MSC03,MSC02,motor,0.9899999999999999
47,MSC03,MSC02,mem,0.7699999999999999
48,MSC03,MSC04,mixed,0.585
49,MSC03,MSC04,motor,0.9
50,MSC03,MSC04,mem,0.7350000000000001
51,MSC03,MSC05,mixed,0.62
52,MSC03,MSC05,motor,0.9000000000000001
53,MSC03,MSC05,mem,0.6900000000000001
54,MSC03,MSC06,mixed,0.52
55,MSC03,MSC06,motor,0.74
56,MSC03,MSC06,mem,0.665
57,MSC03,MSC07,mixed,0.51
58,MSC03,MSC07,motor,0.8499999999999999
59,MSC03,MSC07,mem,0.6049999999999999
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.8099999999999999
62,MSC03,MSC10,mem,0.62
63,MSC04,MSC01,mixed,0.8150000000000001
64,MSC04,MSC01,motor,0.985
65,MSC04,MSC01,mem,0.5399999999999999
66,MSC04,MSC02,mixed,0.6649999999999999
67,MSC04,MSC02,motor,0.9800000000000001
68,MSC04,MSC02,mem,0.6000000000000001
69,MSC04,MSC03,mixed,0.63
70,MSC04,MSC03,motor,0.9800000000000001
71,MSC04,MSC03,mem,0.975
72,MSC04,MSC05,mixed,0.58
73,MSC04,MSC05,motor,0.785
74,MSC04,MSC05,mem,0.66
