,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.95
1,mixed,mem,MSC01,0.95
2,motor,mixed,MSC01,0.635
3,motor,mem,MSC01,0.6199999999999999
4,mem,mixed,MSC01,0.915
5,mem,motor,MSC01,0.9799999999999999
6,mixed,motor,MSC02,0.885
7,mixed,mem,MSC02,0.9050000000000002
8,motor,mixed,MSC02,0.5499999999999999
9,motor,mem,MSC02,0.55
10,mem,mixed,MSC02,0.74
11,mem,motor,MSC02,0.85
12,mixed,motor,MSC03,0.9550000000000001
13,mixed,mem,MSC03,0.8950000000000001
14,motor,mixed,MSC03,0.5900000000000001
15,motor,mem,MSC03,0.665
16,mem,mixed,MSC03,0.7949999999999999
17,mem,motor,MSC03,0.93
18,mixed,motor,MSC04,0.8699999999999999
19,mixed,mem,MSC04,0.9250000000000002
20,motor,mixed,MSC04,0.5599999999999999
21,motor,mem,MSC04,0.5850000000000001
22,mem,mixed,MSC04,0.805
23,mem,motor,MSC04,0.71
24,mixed,motor,MSC05,0.9350000000000002
25,mixed,mem,MSC05,0.95
26,motor,mixed,MSC05,0.5999999999999999
27,motor,mem,MSC05,0.74
28,mem,mixed,MSC05,0.865
29,mem,motor,MSC05,0.985
30,mixed,motor,MSC06,0.9099999999999999
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.5499999999999999
33,motor,mem,MSC06,0.5349999999999999
34,mem,mixed,MSC06,0.7349999999999999
35,mem,motor,MSC06,0.6599999999999999
36,mixed,motor,MSC07,0.7
37,mixed,mem,MSC07,0.8049999999999999
38,motor,mixed,MSC07,0.5499999999999999
39,motor,mem,MSC07,0.51
40,mem,mixed,MSC07,0.9800000000000001
41,mem,motor,MSC07,0.8299999999999998
42,mixed,motor,MSC10,0.725
43,mixed,mem,MSC10,0.8099999999999999
44,motor,mixed,MSC10,0.565
45,motor,mem,MSC10,0.5699999999999998
46,mem,mixed,MSC10,0.8650000000000002
47,mem,motor,MSC10,0.7
