,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.8099999999999999
1,MSC01,MSC02,motor,0.865
2,MSC01,MSC02,mem,0.89
3,MSC01,MSC03,mixed,0.6700000000000002
4,MSC01,MSC03,motor,0.685
5,MSC01,MSC03,mem,0.7350000000000001
6,MSC01,MSC04,mixed,0.6500000000000001
7,MSC01,MSC04,motor,0.8700000000000001
8,MSC01,MSC04,mem,0.7050000000000001
9,MSC01,MSC05,mixed,0.58
10,MSC01,MSC05,motor,0.655
11,MSC01,MSC05,mem,0.65
12,MSC01,MSC06,mixed,0.635
13,MSC01,MSC06,motor,0.68
14,MSC01,MSC06,mem,0.885
15,MSC01,MSC07,mixed,0.8099999999999999
16,MSC01,MSC07,motor,0.9650000000000001
17,MSC01,MSC07,mem,0.8700000000000001
18,MSC01,MSC10,mixed,0.6450000000000001
19,MSC01,MSC10,motor,0.875
20,MSC01,MSC10,mem,0.7000000000000001
21,MSC02,MSC01,mixed,0.915
22,MSC02,MSC01,motor,0.9600000000000002
23,MSC02,MSC01,mem,0.5900000000000001
24,MSC02,MSC03,mixed,0.8550000000000001
25,MSC02,MSC03,motor,0.99
26,MSC02,MSC03,mem,0.5700000000000001
27,MSC02,MSC04,mixed,0.585
28,MSC02,MSC04,motor,0.8399999999999999
29,MSC02,MSC04,mem,0.755
30,MSC02,MSC05,mixed,0.73
31,MSC02,MSC05,motor,0.7050000000000001
32,MSC02,MSC05,mem,0.875
33,MSC02,MSC06,mixed,0.6950000000000001
34,MSC02,MSC06,motor,0.85
35,MSC02,MSC06,mem,0.8549999999999999
36,MSC02,MSC07,mixed,0.8850000000000001
37,MSC02,MSC07,motor,0.9049999999999999
38,MSC02,MSC07,mem,0.82
39,MSC02,MSC10,mixed,0.48500000000000004
40,MSC02,MSC10,motor,0.7100000000000001
41,MSC02,MSC10,mem,0.7849999999999999
42,MSC03,MSC01,mixed,0.5
43,MSC03,MSC01,motor,0.885
44,MSC03,MSC01,mem,0.9450000000000001
45,MSC03,MSC02,mixed,0.51
46,MSC03,MSC02,motor,0.97
47,MSC03,MSC02,mem,0.8400000000000001
48,MSC03,MSC04,mixed,0.51
49,MSC03,MSC04,motor,0.8900000000000002
50,MSC03,MSC04,mem,0.7350000000000001
51,MSC03,MSC05,mixed,0.5700000000000001
52,MSC03,MSC05,motor,0.875
53,MSC03,MSC05,mem,0.75
54,MSC03,MSC06,mixed,0.495
55,MSC03,MSC06,motor,0.7999999999999998
56,MSC03,MSC06,mem,0.8150000000000001
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.82
59,MSC03,MSC07,mem,0.6500000000000001
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.7949999999999999
62,MSC03,MSC10,mem,0.76
63,MSC04,MSC01,mixed,0.8150000000000001
64,MSC04,MSC01,motor,0.8099999999999999
65,MSC04,MSC01,mem,0.945
66,MSC04,MSC02,mixed,0.8150000000000001
67,MSC04,MSC02,motor,0.7099999999999999
68,MSC04,MSC02,mem,0.8800000000000001
69,MSC04,MSC03,mixed,0.495
70,MSC04,MSC03,motor,0.63
71,MSC04,MSC03,mem,0.645
72,MSC04,MSC05,mixed,0.7100000000000001
73,MSC04,MSC05,motor,0.8899999999999999
74,MSC04,MSC05,mem,0.8499999999999999
75,MSC04,MSC06,mixed,0.6300000000000001
76,MSC04,MSC06,motor,0.86
77,MSC04,MSC06,mem,0.805
78,MSC04,MSC07,mixed,0.8299999999999998
79,MSC04,MSC07,motor,0.795
80,MSC04,MSC07,mem,0.7649999999999999
81,MSC04,MSC10,mixed,0.74
82,MSC04,MSC10,motor,0.9000000000000001
83,MSC04,MSC10,mem,0.8299999999999998
84,MSC05,MSC01,mixed,0.53
85,MSC05,MSC01,motor,0.8549999999999999
86,MSC05,MSC01,mem,0.5399999999999999
87,MSC05,MSC02,mixed,0.51
88,MSC05,MSC02,motor,0.58
89,MSC05,MSC02,mem,0.5499999999999999
90,MSC05,MSC03,mixed,0.505
91,MSC05,MSC03,motor,0.6700000000000002
92,MSC05,MSC03,mem,0.5549999999999999
93,MSC05,MSC04,mixed,0.495
94,MSC05,MSC04,motor,0.76
95,MSC05,MSC04,mem,0.5
96,MSC05,MSC06,mixed,0.5149999999999999
97,MSC05,MSC06,motor,0.5849999999999999
98,MSC05,MSC06,mem,0.52
99,MSC05,MSC07,mixed,0.565
100,MSC05,MSC07,motor,0.8249999999999998
101,MSC05,MSC07,mem,0.6500000000000001
102,MSC05,MSC10,mixed,0.48
103,MSC05,MSC10,motor,0.675
104,MSC05,MSC10,mem,0.505
105,MSC06,MSC01,mixed,0.8049999999999999
106,MSC06,MSC01,motor,0.82
107,MSC06,MSC01,mem,0.945
108,MSC06,MSC02,mixed,0.76
109,MSC06,MSC02,motor,0.7449999999999999
110,MSC06,MSC02,mem,0.7350000000000001
111,MSC06,MSC03,mixed,0.545
112,MSC06,MSC03,motor,0.64
113,MSC06,MSC03,mem,0.615
114,MSC06,MSC04,mixed,0.8699999999999999
115,MSC06,MSC04,motor,0.6749999999999999
116,MSC06,MSC04,mem,0.8500000000000002
117,MSC06,MSC05,mixed,0.7550000000000001
118,MSC06,MSC05,motor,0.8799999999999999
119,MSC06,MSC05,mem,0.9199999999999999
120,MSC06,MSC07,mixed,0.74
121,MSC06,MSC07,motor,0.865
122,MSC06,MSC07,mem,0.845
123,MSC06,MSC10,mixed,0.5
124,MSC06,MSC10,motor,0.725
125,MSC06,MSC10,mem,0.505
126,MSC07,MSC01,mixed,0.8
127,MSC07,MSC01,motor,0.58
128,MSC07,MSC01,mem,0.6
129,MSC07,MSC02,mixed,0.7750000000000001
130,MSC07,MSC02,motor,0.5549999999999999
131,MSC07,MSC02,mem,0.58
132,MSC07,MSC03,mixed,0.6950000000000001
133,MSC07,MSC03,motor,0.7050000000000001
134,MSC07,MSC03,mem,0.5999999999999999
135,MSC07,MSC04,mixed,0.805
136,MSC07,MSC04,motor,0.6399999999999999
137,MSC07,MSC04,mem,0.5050000000000001
138,MSC07,MSC05,mixed,0.5599999999999999
139,MSC07,MSC05,motor,0.9
140,MSC07,MSC05,mem,0.845
141,MSC07,MSC06,mixed,0.605
142,MSC07,MSC06,motor,0.515
143,MSC07,MSC06,mem,0.76
144,MSC07,MSC10,mixed,0.5599999999999999
145,MSC07,MSC10,motor,0.58
146,MSC07,MSC10,mem,0.505
147,MSC10,MSC01,mixed,0.575
148,MSC10,MSC01,motor,0.9599999999999997
149,MSC10,MSC01,mem,0.61
150,MSC10,MSC02,mixed,0.5299999999999999
151,MSC10,MSC02,motor,0.7
152,MSC10,MSC02,mem,0.725
153,MSC10,MSC03,mixed,0.45500000000000007
154,MSC10,MSC03,motor,0.6700000000000002
155,MSC10,MSC03,mem,0.5499999999999999
156,MSC10,MSC04,mixed,0.75
157,MSC10,MSC04,motor,0.8399999999999999
158,MSC10,MSC04,mem,0.68
159,MSC10,MSC05,mixed,0.41000000000000003
160,MSC10,MSC05,motor,0.615
161,MSC10,MSC05,mem,0.8800000000000001
162,MSC10,MSC06,mixed,0.665
163,MSC10,MSC06,motor,0.735
