,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9949999999999999
1,mixed,mem,MSC01,0.9949999999999999
2,motor,mixed,MSC01,0.8150000000000001
3,motor,mem,MSC01,0.7999999999999999
4,mem,mixed,MSC01,0.9949999999999999
5,mem,motor,MSC01,1.0
6,mixed,motor,MSC02,0.8549999999999999
7,mixed,mem,MSC02,0.8650000000000002
8,motor,mixed,MSC02,0.5499999999999999
9,motor,mem,MSC02,0.5449999999999999
10,mem,mixed,MSC02,0.7749999999999999
11,mem,motor,MSC02,0.8049999999999999
12,mixed,motor,MSC03,0.95
13,mixed,mem,MSC03,0.8800000000000001
14,motor,mixed,MSC03,0.595
15,motor,mem,MSC03,0.635
16,mem,mixed,MSC03,0.82
17,mem,motor,MSC03,0.9800000000000001
18,mixed,motor,MSC04,0.8949999999999999
19,mixed,mem,MSC04,0.9149999999999998
20,motor,mixed,MSC04,0.635
21,motor,mem,MSC04,0.6900000000000001
22,mem,mixed,MSC04,0.8999999999999998
23,mem,motor,MSC04,0.8149999999999998
24,mixed,motor,MSC05,0.945
25,mixed,mem,MSC05,0.95
26,motor,mixed,MSC05,0.6200000000000001
27,motor,mem,MSC05,0.74
28,mem,mixed,MSC05,0.9000000000000001
29,mem,motor,MSC05,0.99
30,mixed,motor,MSC06,0.8550000000000001
31,mixed,mem,MSC06,0.95
32,motor,mixed,MSC06,0.5549999999999999
33,motor,mem,MSC06,0.59
34,mem,mixed,MSC06,0.71
35,mem,motor,MSC06,0.64
36,mixed,motor,MSC07,0.9349999999999999
37,mixed,mem,MSC07,0.9150000000000003
38,motor,mixed,MSC07,0.5499999999999999
39,motor,mem,MSC07,0.51
40,mem,mixed,MSC07,0.95
41,mem,motor,MSC07,0.9350000000000002
42,mixed,motor,MSC10,0.7899999999999999
43,mixed,mem,MSC10,0.7999999999999999
44,motor,mixed,MSC10,0.5549999999999999
45,motor,mem,MSC10,0.5599999999999998
46,mem,mixed,MSC10,0.9200000000000002
47,mem,motor,MSC10,0.8049999999999999
