train_task,test_task,acc
mixed,motor,0.5549999999999999
mixed,mem,0.6700000000000002
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.4800000000000001
mem,motor,0.5
mixed,motor,0.655
mixed,mem,0.655
motor,mixed,0.6850000000000002
motor,mem,0.6450000000000001
mem,mixed,0.575
mem,motor,0.565
mixed,motor,0.77
mixed,mem,0.73
motor,mixed,0.76
motor,mem,0.7150000000000001
mem,mixed,0.74
mem,motor,0.74
mixed,motor,0.535
mixed,mem,0.6049999999999999
motor,mixed,0.595
motor,mem,0.595
mem,mixed,0.64
mem,motor,0.565
mixed,motor,0.93
mixed,mem,0.875
motor,mixed,0.805
motor,mem,0.7749999999999999
mem,mixed,0.905
mem,motor,0.905
mixed,motor,0.6699999999999999
mixed,mem,0.625
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5599999999999999
mixed,mem,0.565
motor,mixed,0.51
motor,mem,0.5499999999999999
mem,mixed,0.5
mem,motor,0.505
mixed,motor,0.665
mixed,mem,0.5599999999999999
motor,mixed,0.5549999999999999
motor,mem,0.57
mem,mixed,0.7849999999999999
mem,motor,0.9450000000000001
mixed,motor,0.6250000000000001
mixed,mem,0.495
motor,mixed,0.6950000000000001
motor,mem,0.5499999999999999
mem,mixed,0.795
mem,motor,0.805
mixed,motor,0.635
mixed,mem,0.5999999999999999
motor,mixed,0.5
motor,mem,0.5449999999999999
mem,mixed,0.765
mem,motor,0.9
mixed,motor,0.71
mixed,mem,0.9199999999999999
motor,mixed,0.5449999999999999
motor,mem,0.5
mem,mixed,0.9
mem,motor,0.75
mixed,motor,0.8100000000000002
mixed,mem,0.82
motor,mixed,0.825
motor,mem,0.7350000000000001
mem,mixed,0.885
mem,motor,0.905
mixed,motor,0.6199999999999999
mixed,mem,0.625
motor,mixed,0.68
motor,mem,0.52
mem,mixed,0.665
mem,motor,0.6900000000000001
mixed,motor,0.675
mixed,mem,0.475
motor,mixed,0.6400000000000001
motor,mem,0.6099999999999999
mem,mixed,0.8400000000000001
mem,motor,0.885
mixed,motor,0.9099999999999999
mixed,mem,0.745
motor,mixed,0.5599999999999999
motor,mem,0.725
mem,mixed,0.5499999999999999
mem,motor,0.5499999999999999
mixed,motor,0.565
mixed,mem,0.565
motor,mixed,0.5000000000000001
motor,mem,0.7100000000000002
mem,mixed,0.51
mem,motor,0.40499999999999997
mixed,motor,0.765
mixed,mem,0.6900000000000002
motor,mixed,0.5799999999999998
motor,mem,0.6799999999999999
mem,mixed,0.755
mem,motor,0.665
mixed,motor,0.75
mixed,mem,0.76
motor,mixed,0.95
motor,mem,0.95
mem,mixed,0.675
mem,motor,0.66
mixed,motor,0.6499999999999999
mixed,mem,0.62
motor,mixed,0.6049999999999999
motor,mem,0.6950000000000001
mem,mixed,0.565
mem,motor,0.5799999999999998
mixed,motor,0.825
mixed,mem,0.725
motor,mixed,0.745
motor,mem,0.7000000000000001
mem,mixed,0.7699999999999999
mem,motor,0.7949999999999999
mixed,motor,0.64
mixed,mem,0.64
motor,mixed,0.5349999999999999
motor,mem,0.67
mem,mixed,0.6050000000000002
mem,motor,0.655
mixed,motor,0.7550000000000001
mixed,mem,0.6599999999999999
motor,mixed,0.6849999999999999
motor,mem,0.7350000000000001
mem,mixed,0.875
mem,motor,0.9099999999999999
mixed,motor,0.7
mixed,mem,0.8
motor,mixed,0.7999999999999998
motor,mem,0.845
mem,mixed,0.705
mem,motor,0.625
mixed,motor,0.7150000000000001
mixed,mem,0.74
motor,mixed,0.75
motor,mem,0.6100000000000001
mem,mixed,0.625
mem,motor,0.6900000000000001
mixed,motor,0.82
mixed,mem,0.9049999999999999
motor,mixed,0.9949999999999999
motor,mem,0.9949999999999999
mem,mixed,0.9099999999999999
mem,motor,0.8550000000000001
mixed,motor,0.9400000000000001
mixed,mem,0.96
motor,mixed,0.8899999999999999
motor,mem,0.78
mem,mixed,0.8650000000000002
mem,motor,0.8650000000000002
mixed,motor,0.575
mixed,mem,0.575
motor,mixed,0.74
motor,mem,0.6500000000000001
mem,mixed,0.575
mem,motor,0.52
mixed,motor,0.665
mixed,mem,0.685
motor,mixed,0.645
motor,mem,0.6799999999999999
mem,mixed,0.585
mem,motor,0.585
mixed,motor,0.9099999999999999
mixed,mem,0.835
motor,mixed,0.645
motor,mem,0.745
mem,mixed,0.7699999999999999
mem,motor,0.905
mixed,motor,0.54
mixed,mem,0.5599999999999999
motor,mixed,0.585
motor,mem,0.6250000000000001
mem,mixed,0.545
mem,motor,0.545
mixed,motor,0.7949999999999999
mixed,mem,0.6700000000000002
motor,mixed,0.75
motor,mem,0.5999999999999999
mem,mixed,0.8149999999999998
mem,motor,0.82
mixed,motor,0.845
mixed,mem,0.7000000000000001
motor,mixed,0.6950000000000001
motor,mem,0.655
mem,mixed,0.615
mem,motor,0.745
mixed,motor,0.8699999999999999
mixed,mem,0.8299999999999998
motor,mixed,0.8799999999999999
motor,mem,0.8499999999999999
mem,mixed,0.78
mem,motor,0.7699999999999999
mixed,motor,0.74
mixed,mem,0.6900000000000002
motor,mixed,0.82
motor,mem,0.72
mem,mixed,0.675
mem,motor,0.8400000000000001
mixed,motor,0.5149999999999999
mixed,mem,0.5149999999999999
motor,mixed,0.43999999999999995
motor,mem,0.52
mem,mixed,0.5649999999999998
mem,motor,0.5999999999999999
mixed,motor,0.97
mixed,mem,0.875
motor,mixed,0.635
motor,mem,0.6399999999999999
mem,mixed,0.8149999999999998
mem,motor,0.9099999999999999
mixed,motor,0.6900000000000001
mixed,mem,0.6249999999999999
motor,mixed,0.65
motor,mem,0.82
mem,mixed,0.51
mem,motor,0.5
mixed,motor,0.615
mixed,mem,0.43499999999999994
motor,mixed,0.585
motor,mem,0.58
mem,mixed,0.675
mem,motor,0.74
mixed,motor,0.865
mixed,mem,0.675
motor,mixed,0.9099999999999999
motor,mem,0.865
mem,mixed,0.825
mem,motor,0.82
mixed,motor,0.5549999999999999
mixed,mem,0.615
motor,mixed,0.65
motor,mem,0.7400000000000001
mem,mixed,0.505
mem,motor,0.51
mixed,motor,0.6400000000000001
mixed,mem,0.6400000000000001
motor,mixed,0.54
