,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.6600000000000001
1,MSC01,MSC02,motor,0.5
2,MSC01,MSC02,mem,0.5
3,MSC01,MSC03,mixed,0.705
4,MSC01,MSC03,motor,0.635
5,MSC01,MSC03,mem,0.575
6,MSC01,MSC04,mixed,0.77
7,MSC01,MSC04,motor,0.945
8,MSC01,MSC04,mem,0.7699999999999999
9,MSC01,MSC05,mixed,0.61
10,MSC01,MSC05,motor,0.595
11,MSC01,MSC05,mem,0.64
12,MSC01,MSC06,mixed,0.8549999999999999
13,MSC01,MSC06,motor,0.82
14,MSC01,MSC06,mem,0.9299999999999999
15,MSC01,MSC07,mixed,0.7
16,MSC01,MSC07,motor,0.49000000000000005
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.5599999999999999
19,MSC01,MSC10,motor,0.5499999999999999
20,MSC01,MSC10,mem,0.505
21,MSC02,MSC01,mixed,0.675
22,MSC02,MSC01,motor,0.78
23,MSC02,MSC01,mem,0.9099999999999999
24,MSC02,MSC03,mixed,0.68
25,MSC02,MSC03,motor,0.805
26,MSC02,MSC03,mem,0.6900000000000001
27,MSC02,MSC04,mixed,0.66
28,MSC02,MSC04,motor,0.7999999999999999
29,MSC02,MSC04,mem,0.905
30,MSC02,MSC05,mixed,0.845
31,MSC02,MSC05,motor,0.6599999999999999
32,MSC02,MSC05,mem,0.8950000000000001
33,MSC02,MSC06,mixed,0.8949999999999999
34,MSC02,MSC06,motor,0.8149999999999998
35,MSC02,MSC06,mem,0.99
36,MSC02,MSC07,mixed,0.7300000000000001
37,MSC02,MSC07,motor,0.775
38,MSC02,MSC07,mem,0.7249999999999999
39,MSC02,MSC10,mixed,0.68
40,MSC02,MSC10,motor,0.9299999999999999
41,MSC02,MSC10,mem,0.8450000000000001
42,MSC03,MSC01,mixed,0.7000000000000001
43,MSC03,MSC01,motor,0.8549999999999999
44,MSC03,MSC01,mem,0.5499999999999999
45,MSC03,MSC02,mixed,0.5599999999999999
46,MSC03,MSC02,motor,0.765
47,MSC03,MSC02,mem,0.7
48,MSC03,MSC04,mixed,0.765
49,MSC03,MSC04,motor,0.86
50,MSC03,MSC04,mem,0.8149999999999998
51,MSC03,MSC05,mixed,0.76
52,MSC03,MSC05,motor,0.905
53,MSC03,MSC05,mem,0.675
54,MSC03,MSC06,mixed,0.7
55,MSC03,MSC06,motor,0.845
56,MSC03,MSC06,mem,0.63
57,MSC03,MSC07,mixed,0.8700000000000001
58,MSC03,MSC07,motor,0.905
59,MSC03,MSC07,mem,0.7899999999999999
60,MSC03,MSC10,mixed,0.59
61,MSC03,MSC10,motor,0.7699999999999999
62,MSC03,MSC10,mem,0.6050000000000002
63,MSC04,MSC01,mixed,0.7500000000000001
64,MSC04,MSC01,motor,1.0
65,MSC04,MSC01,mem,0.9100000000000001
66,MSC04,MSC02,mixed,0.8150000000000001
67,MSC04,MSC02,motor,0.865
68,MSC04,MSC02,mem,0.9000000000000001
69,MSC04,MSC03,mixed,0.7250000000000001
70,MSC04,MSC03,motor,0.7050000000000001
71,MSC04,MSC03,mem,0.74
72,MSC04,MSC05,mixed,0.9099999999999999
73,MSC04,MSC05,motor,0.9649999999999999
74,MSC04,MSC05,mem,0.97
75,MSC04,MSC06,mixed,0.95
76,MSC04,MSC06,motor,0.89
77,MSC04,MSC06,mem,0.915
78,MSC04,MSC07,mixed,0.585
79,MSC04,MSC07,motor,0.725
80,MSC04,MSC07,mem,0.575
81,MSC04,MSC10,mixed,0.655
82,MSC04,MSC10,motor,0.73
83,MSC04,MSC10,mem,0.585
84,MSC05,MSC01,mixed,0.76
85,MSC05,MSC01,motor,0.7749999999999999
86,MSC05,MSC01,mem,0.8549999999999999
87,MSC05,MSC02,mixed,0.5599999999999999
88,MSC05,MSC02,motor,0.6250000000000001
89,MSC05,MSC02,mem,0.545
90,MSC05,MSC03,mixed,0.755
91,MSC05,MSC03,motor,0.95
92,MSC05,MSC03,mem,0.72
93,MSC05,MSC04,mixed,0.7000000000000001
94,MSC05,MSC04,motor,0.86
95,MSC05,MSC04,mem,0.6950000000000001
96,MSC05,MSC06,mixed,0.93
97,MSC05,MSC06,motor,0.8399999999999999
98,MSC05,MSC06,mem,0.8800000000000001
99,MSC05,MSC07,mixed,0.82
100,MSC05,MSC07,motor,0.7999999999999998
101,MSC05,MSC07,mem,0.7150000000000001
102,MSC05,MSC10,mixed,0.5149999999999999
103,MSC05,MSC10,motor,0.5700000000000001
104,MSC05,MSC10,mem,0.5549999999999999
105,MSC06,MSC01,mixed,0.865
106,MSC06,MSC01,motor,0.6599999999999999
107,MSC06,MSC01,mem,0.925
108,MSC06,MSC02,mixed,0.655
109,MSC06,MSC02,motor,0.5549999999999999
110,MSC06,MSC02,mem,0.795
111,MSC06,MSC03,mixed,0.63
112,MSC06,MSC03,motor,0.64
113,MSC06,MSC03,mem,0.825
114,MSC06,MSC04,mixed,0.8
115,MSC06,MSC04,motor,0.9350000000000002
116,MSC06,MSC04,mem,0.8900000000000002
117,MSC06,MSC05,mixed,0.595
118,MSC06,MSC05,motor,0.7100000000000001
119,MSC06,MSC05,mem,0.74
120,MSC06,MSC07,mixed,0.6900000000000002
121,MSC06,MSC07,motor,0.54
122,MSC06,MSC07,mem,0.6099999999999999
123,MSC06,MSC10,mixed,0.7000000000000001
124,MSC06,MSC10,motor,0.51
125,MSC06,MSC10,mem,0.755
126,MSC07,MSC01,mixed,0.645
127,MSC07,MSC01,motor,0.54
128,MSC07,MSC01,mem,0.8299999999999998
129,MSC07,MSC02,mixed,0.8400000000000001
130,MSC07,MSC02,motor,0.53
131,MSC07,MSC02,mem,0.9000000000000001
132,MSC07,MSC03,mixed,0.765
133,MSC07,MSC03,motor,0.615
134,MSC07,MSC03,mem,0.9349999999999999
135,MSC07,MSC04,mixed,0.9199999999999997
136,MSC07,MSC04,motor,0.7899999999999999
137,MSC07,MSC04,mem,0.8599999999999998
138,MSC07,MSC05,mixed,0.97
139,MSC07,MSC05,motor,0.52
140,MSC07,MSC05,mem,0.9850000000000001
141,MSC07,MSC06,mixed,0.5700000000000001
142,MSC07,MSC06,motor,0.7699999999999999
143,MSC07,MSC06,mem,0.8299999999999998
144,MSC07,MSC10,mixed,0.6950000000000001
145,MSC07,MSC10,motor,0.57
146,MSC07,MSC10,mem,0.8299999999999998
147,MSC10,MSC01,mixed,0.6200000000000001
148,MSC10,MSC01,motor,0.62
149,MSC10,MSC01,mem,0.5449999999999999
150,MSC10,MSC02,mixed,0.72
151,MSC10,MSC02,motor,0.99
152,MSC10,MSC02,mem,0.95
153,MSC10,MSC03,mixed,0.61
154,MSC10,MSC03,motor,0.95
155,MSC10,MSC03,mem,0.82
156,MSC10,MSC04,mixed,0.7200000000000001
157,MSC10,MSC04,motor,0.7749999999999999
158,MSC10,MSC04,mem,0.7950000000000002
159,MSC10,MSC05,mixed,0.745
160,MSC10,MSC05,motor,0.93
161,MSC10,MSC05,mem,0.9200000000000002
162,MSC10,MSC06,mixed,0.585
163,MSC10,MSC06,motor,0.6199999999999999
164,MSC10,MSC06,mem,0.7500000000000001
165,MSC10,MSC07,mixed,0.55
166,MSC10,MSC07,motor,0.8049999999999999
167,MSC10,MSC07,mem,0.745
