train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.9400000000000001
motor,mixed,0.6800000000000002
motor,mem,0.6850000000000002
mem,mixed,0.905
mem,motor,0.97
mixed,motor,0.7000000000000001
mixed,mem,0.9
motor,mixed,0.5349999999999999
motor,mem,0.505
mem,mixed,0.73
mem,motor,0.645
mixed,motor,1.0
mixed,mem,0.82
motor,mixed,0.7300000000000001
motor,mem,0.655
mem,mixed,0.7150000000000001
mem,motor,0.925
mixed,motor,0.945
mixed,mem,0.9800000000000001
motor,mixed,0.705
motor,mem,0.7
mem,mixed,0.9550000000000001
mem,motor,0.9049999999999999
mixed,motor,0.8599999999999998
mixed,mem,1.0
motor,mixed,0.6650000000000001
motor,mem,0.85
mem,mixed,0.915
mem,motor,0.97
mixed,motor,0.9000000000000001
mixed,mem,0.9650000000000001
motor,mixed,0.66
motor,mem,0.7150000000000001
mem,mixed,0.8850000000000001
mem,motor,0.9350000000000002
mixed,motor,0.89
mixed,mem,0.89
motor,mixed,0.5499999999999999
motor,mem,0.5499999999999999
mem,mixed,0.875
mem,motor,0.885
mixed,motor,0.8299999999999998
mixed,mem,0.82
motor,mixed,0.505
motor,mem,0.595
mem,mixed,0.6049999999999999
mem,motor,0.8800000000000001
