,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.51
1,mixed,mem,MSC01,MSC02,0.52
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.5
5,mem,motor,MSC01,MSC02,0.5
6,mixed,motor,MSC01,MSC03,0.5349999999999999
7,mixed,mem,MSC01,MSC03,0.5349999999999999
8,motor,mixed,MSC01,MSC03,0.7000000000000001
9,motor,mem,MSC01,MSC03,0.67
10,mem,mixed,MSC01,MSC03,0.5499999999999999
11,mem,motor,MSC01,MSC03,0.5499999999999999
12,mixed,motor,MSC01,MSC04,0.7000000000000001
13,mixed,mem,MSC01,MSC04,0.6950000000000002
14,motor,mixed,MSC01,MSC04,0.7999999999999999
15,motor,mem,MSC01,MSC04,0.7849999999999999
16,mem,mixed,MSC01,MSC04,0.6049999999999999
17,mem,motor,MSC01,MSC04,0.6049999999999999
18,mixed,motor,MSC01,MSC05,0.52
19,mixed,mem,MSC01,MSC05,0.55
20,motor,mixed,MSC01,MSC05,0.5999999999999999
21,motor,mem,MSC01,MSC05,0.5999999999999999
22,mem,mixed,MSC01,MSC05,0.5
23,mem,motor,MSC01,MSC05,0.48500000000000004
24,mixed,motor,MSC01,MSC06,0.645
25,mixed,mem,MSC01,MSC06,0.645
26,motor,mixed,MSC01,MSC06,0.8099999999999999
27,motor,mem,MSC01,MSC06,0.7899999999999999
28,mem,mixed,MSC01,MSC06,0.51
29,mem,motor,MSC01,MSC06,0.51
30,mixed,motor,MSC01,MSC07,0.515
31,mixed,mem,MSC01,MSC07,0.52
32,motor,mixed,MSC01,MSC07,0.505
33,motor,mem,MSC01,MSC07,0.505
34,mem,mixed,MSC01,MSC07,0.5
35,mem,motor,MSC01,MSC07,0.5
36,mixed,motor,MSC01,MSC10,0.515
37,mixed,mem,MSC01,MSC10,0.52
38,motor,mixed,MSC01,MSC10,0.51
39,motor,mem,MSC01,MSC10,0.5499999999999999
40,mem,mixed,MSC01,MSC10,0.5
41,mem,motor,MSC01,MSC10,0.5
42,mixed,motor,MSC02,MSC01,0.6950000000000001
43,mixed,mem,MSC02,MSC01,0.6049999999999999
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.76
47,mem,motor,MSC02,MSC01,0.9450000000000001
48,mixed,motor,MSC02,MSC03,0.6150000000000001
49,mixed,mem,MSC02,MSC03,0.51
50,motor,mixed,MSC02,MSC03,0.5
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.8149999999999998
53,mem,motor,MSC02,MSC03,0.8649999999999999
54,mixed,motor,MSC02,MSC04,0.535
55,mixed,mem,MSC02,MSC04,0.5
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.775
59,mem,motor,MSC02,MSC04,0.9000000000000001
60,mixed,motor,MSC02,MSC05,0.6450000000000001
61,mixed,mem,MSC02,MSC05,0.7100000000000001
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.905
65,mem,motor,MSC02,MSC05,0.7649999999999999
66,mixed,motor,MSC02,MSC06,0.6900000000000001
67,mixed,mem,MSC02,MSC06,0.59
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.89
71,mem,motor,MSC02,MSC06,0.8950000000000001
72,mixed,motor,MSC02,MSC07,0.67
73,mixed,mem,MSC02,MSC07,0.5599999999999999
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.655
77,mem,motor,MSC02,MSC07,0.665
78,mixed,motor,MSC02,MSC10,0.785
79,mixed,mem,MSC02,MSC10,0.5900000000000001
80,motor,mixed,MSC02,MSC10,0.5
81,motor,mem,MSC02,MSC10,0.5
82,mem,mixed,MSC02,MSC10,0.7999999999999999
83,mem,motor,MSC02,MSC10,0.8300000000000001
84,mixed,motor,MSC03,MSC01,0.82
85,mixed,mem,MSC03,MSC01,0.595
86,motor,mixed,MSC03,MSC01,0.5149999999999999
87,motor,mem,MSC03,MSC01,0.605
88,mem,mixed,MSC03,MSC01,0.525
89,mem,motor,MSC03,MSC01,0.525
90,mixed,motor,MSC03,MSC02,0.825
91,mixed,mem,MSC03,MSC02,0.7900000000000001
92,motor,mixed,MSC03,MSC02,0.6350000000000001
93,motor,mem,MSC03,MSC02,0.7699999999999999
94,mem,mixed,MSC03,MSC02,0.395
95,mem,motor,MSC03,MSC02,0.33499999999999996
96,mixed,motor,MSC03,MSC04,0.885
97,mixed,mem,MSC03,MSC04,0.7150000000000001
98,motor,mixed,MSC03,MSC04,0.4600000000000001
99,motor,mem,MSC03,MSC04,0.595
100,mem,mixed,MSC03,MSC04,0.775
101,mem,motor,MSC03,MSC04,0.6599999999999999
102,mixed,motor,MSC03,MSC05,0.845
103,mixed,mem,MSC03,MSC05,0.8950000000000001
104,motor,mixed,MSC03,MSC05,0.9299999999999999
105,motor,mem,MSC03,MSC05,0.95
106,mem,mixed,MSC03,MSC05,0.615
107,mem,motor,MSC03,MSC05,0.61
108,mixed,motor,MSC03,MSC06,0.8099999999999999
109,mixed,mem,MSC03,MSC06,0.6700000000000002
110,motor,mixed,MSC03,MSC06,0.6250000000000001
111,motor,mem,MSC03,MSC06,0.675
112,mem,mixed,MSC03,MSC06,0.5649999999999998
113,mem,motor,MSC03,MSC06,0.5649999999999998
114,mixed,motor,MSC03,MSC07,0.845
115,mixed,mem,MSC03,MSC07,0.61
116,motor,mixed,MSC03,MSC07,0.635
117,motor,mem,MSC03,MSC07,0.6700000000000002
118,mem,mixed,MSC03,MSC07,0.7899999999999999
119,mem,motor,MSC03,MSC07,0.7699999999999999
120,mixed,motor,MSC03,MSC10,0.835
121,mixed,mem,MSC03,MSC10,0.8099999999999999
122,motor,mixed,MSC03,MSC10,0.6900000000000001
123,motor,mem,MSC03,MSC10,0.7849999999999999
124,mem,mixed,MSC03,MSC10,0.5149999999999999
125,mem,motor,MSC03,MSC10,0.5650000000000001
126,mixed,motor,MSC04,MSC01,0.5
127,mixed,mem,MSC04,MSC01,0.5
128,motor,mixed,MSC04,MSC01,0.7049999999999998
129,motor,mem,MSC04,MSC01,0.7549999999999999
130,mem,mixed,MSC04,MSC01,0.6900000000000001
131,mem,motor,MSC04,MSC01,0.7050000000000001
132,mixed,motor,MSC04,MSC02,0.6
133,mixed,mem,MSC04,MSC02,0.7649999999999999
