,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.505
1,MSC01,MSC02,motor,0.5
2,MSC01,MSC02,mem,0.5
3,MSC01,MSC03,mixed,0.52
4,MSC01,MSC03,motor,0.575
5,MSC01,MSC03,mem,0.5499999999999999
6,MSC01,MSC04,mixed,0.605
7,MSC01,MSC04,motor,0.905
8,MSC01,MSC04,mem,0.5399999999999999
9,MSC01,MSC05,mixed,0.525
10,MSC01,MSC05,motor,0.5599999999999999
11,MSC01,MSC05,mem,0.5
12,MSC01,MSC06,mixed,0.5799999999999998
13,MSC01,MSC06,motor,0.7849999999999999
14,MSC01,MSC06,mem,0.5
15,MSC01,MSC07,mixed,0.5
16,MSC01,MSC07,motor,0.49000000000000005
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.505
19,MSC01,MSC10,motor,0.5499999999999999
20,MSC01,MSC10,mem,0.5
21,MSC02,MSC01,mixed,0.645
22,MSC02,MSC01,motor,0.5
23,MSC02,MSC01,mem,0.8700000000000001
24,MSC02,MSC03,mixed,0.7250000000000001
25,MSC02,MSC03,motor,0.505
26,MSC02,MSC03,mem,0.73
27,MSC02,MSC04,mixed,0.5549999999999999
28,MSC02,MSC04,motor,0.5
29,MSC02,MSC04,mem,0.905
30,MSC02,MSC05,mixed,0.7449999999999999
31,MSC02,MSC05,motor,0.5
32,MSC02,MSC05,mem,0.8949999999999999
33,MSC02,MSC06,mixed,0.6649999999999999
34,MSC02,MSC06,motor,0.5549999999999999
35,MSC02,MSC06,mem,0.9700000000000001
36,MSC02,MSC07,mixed,0.73
37,MSC02,MSC07,motor,0.505
38,MSC02,MSC07,mem,0.7599999999999999
39,MSC02,MSC10,mixed,0.74
40,MSC02,MSC10,motor,0.6950000000000001
41,MSC02,MSC10,mem,0.825
42,MSC03,MSC01,mixed,0.5499999999999999
43,MSC03,MSC01,motor,0.82
44,MSC03,MSC01,mem,0.505
45,MSC03,MSC02,mixed,0.7399999999999999
46,MSC03,MSC02,motor,0.915
47,MSC03,MSC02,mem,0.525
48,MSC03,MSC04,mixed,0.7699999999999999
49,MSC03,MSC04,motor,0.865
50,MSC03,MSC04,mem,0.8150000000000001
51,MSC03,MSC05,mixed,0.9
52,MSC03,MSC05,motor,0.905
53,MSC03,MSC05,mem,0.6300000000000001
54,MSC03,MSC06,mixed,0.665
55,MSC03,MSC06,motor,0.735
56,MSC03,MSC06,mem,0.5999999999999999
57,MSC03,MSC07,mixed,0.7300000000000001
58,MSC03,MSC07,motor,0.8399999999999999
59,MSC03,MSC07,mem,0.8099999999999999
60,MSC03,MSC10,mixed,0.7250000000000001
61,MSC03,MSC10,motor,0.925
62,MSC03,MSC10,mem,0.5349999999999999
63,MSC04,MSC01,mixed,0.5
64,MSC04,MSC01,motor,0.99
65,MSC04,MSC01,mem,0.685
66,MSC04,MSC02,mixed,0.8149999999999998
67,MSC04,MSC02,motor,0.8800000000000001
68,MSC04,MSC02,mem,0.8349999999999997
69,MSC04,MSC03,mixed,0.7000000000000001
