,train_task,test_task,sub,acc
0,mixed,motor,MSC01,1.0
1,mixed,mem,MSC01,0.945
2,motor,mixed,MSC01,0.6850000000000002
3,motor,mem,MSC01,0.6950000000000001
4,mem,mixed,MSC01,0.905
5,mem,motor,MSC01,0.97
6,mixed,motor,MSC02,0.72
7,mixed,mem,MSC02,0.9200000000000002
8,motor,mixed,MSC02,0.51
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.735
11,mem,motor,MSC02,0.645
12,mixed,motor,MSC03,1.0
13,mixed,mem,MSC03,0.8149999999999998
14,motor,mixed,MSC03,0.7100000000000001
15,motor,mem,MSC03,0.645
16,mem,mixed,MSC03,0.6950000000000001
17,mem,motor,MSC03,0.9199999999999999
18,mixed,motor,MSC04,0.945
19,mixed,mem,MSC04,0.975
20,motor,mixed,MSC04,0.685
21,motor,mem,MSC04,0.71
22,mem,mixed,MSC04,0.9550000000000001
23,mem,motor,MSC04,0.915
24,mixed,motor,MSC05,0.8499999999999999
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.68
27,motor,mem,MSC05,0.82
28,mem,mixed,MSC05,0.9100000000000001
29,mem,motor,MSC05,0.9800000000000001
30,mixed,motor,MSC06,0.9000000000000001
31,mixed,mem,MSC06,0.9450000000000001
32,motor,mixed,MSC06,0.675
33,motor,mem,MSC06,0.835
34,mem,mixed,MSC06,0.8850000000000001
35,mem,motor,MSC06,0.9350000000000002
36,mixed,motor,MSC07,0.8949999999999999
37,mixed,mem,MSC07,0.9
38,motor,mixed,MSC07,0.5499999999999999
39,motor,mem,MSC07,0.615
40,mem,mixed,MSC07,0.875
41,mem,motor,MSC07,0.885
42,mixed,motor,MSC10,0.8349999999999997
43,mixed,mem,MSC10,0.82
44,motor,mixed,MSC10,0.5
45,motor,mem,MSC10,0.57
46,mem,mixed,MSC10,0.6099999999999999
47,mem,motor,MSC10,0.89
